Part Type,Part Number,Schematic Part,Part Value,Tolerance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,ERJ-2BQFR39X,resistors\resistor,390m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.167W, 1/6W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.39 OHM 1% 1/6W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±250ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,ERJ-2BQFR56X,resistors\resistor,560m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.167W, 1/6W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.56 OHM 1% 1/6W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±250ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,ERJ-2BQFR62X,resistors\resistor,620m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.167W, 1/6W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.62 OHM 1% 1/6W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±250ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,ERJ-2BQFR24X,resistors\resistor,240m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.167W, 1/6W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.24 OHM 1% 1/6W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±250ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,ERJ-2LWJR010X,resistors\resistor,10m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.2W, 1/5W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.01 OHM 5% 1/5W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,CSR0402FKR250,resistors\resistor,250m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.125W, 1/8W",,https://www.seielect.com/catalog/sei-csr_csrn.pdf,RES 0.25 OHM 1% 1/8W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±200ppm/°C,-55°C ~ 155°C,,Stackpole Electronics Inc,,,
,TLRZ1JTTD,resistors\resistor,,Jumper,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,,,http://www.koaspeer.com/catimages/Products/TLRZ/TLRZ.pdf,RES 0 OHM JUMPER 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,,-55°C ~ 170°C,,"KOA Speer Electronics, Inc.",,,
,CSR0402FKR100,resistors\resistor,100m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.125W, 1/8W",,https://www.seielect.com/catalog/sei-csr_csrn.pdf,RES 0.1 OHM 1% 1/8W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±200ppm/°C,-55°C ~ 155°C,,Stackpole Electronics Inc,,,
,ERJ-L03KF47MV,resistors\resistor,47m,±1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.2W, 1/5W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.047 OHM 1% 1/5W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,RLP73N1ER12JTD,resistors\resistor,120m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.125W, 1/8W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.12 OHM 5% 1/8W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,ERJ-L03KF10CV,resistors\resistor,100m,±1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.2W, 1/5W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.1 OHM 1% 1/5W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,RLP73N1ER43JTD,resistors\resistor,430m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.125W, 1/8W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.43 OHM 5% 1/8W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,CRT0603-BY-10R0ELF,resistors\resistor,10,±0.1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.1W, 1/10W",,https://www.bourns.com/docs/Product-Datasheets/crt.pdf,RES SMD 10 OHM 0.1% 1/10W 0603,Surface Mount,0.061 L x 0.031 W (1.55mm x 0.80mm),2,±25ppm/°C,-55°C ~ 155°C,,Bourns Inc.,,,
,RLP73N1ER20JTD,resistors\resistor,200m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.125W, 1/8W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.2 OHM 5% 1/8W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,CSR0603FK50L0,resistors\resistor,50m,±1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.125W, 1/8W",,https://www.seielect.com/catalog/sei-csr_csrn.pdf,RES 0.05 OHM 1% 1/8W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,±300ppm/°C,-55°C ~ 155°C,,Stackpole Electronics Inc,,,
,RLP73N1ER47JTD,resistors\resistor,470m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.125W, 1/8W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.47 OHM 5% 1/8W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,RLP73N1ER22JTD,resistors\resistor,220m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.125W, 1/8W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.22 OHM 5% 1/8W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,ERJ-3RQJ1R2V,resistors\resistor,1.2,±5%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.1W, 1/10W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 1.2 OHM 5% 1/10W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,RLP73N1ER39JTD,resistors\resistor,390m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.125W, 1/8W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.39 OHM 5% 1/8W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,ERJ-3RQJ2R7V,resistors\resistor,2.7,±5%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.1W, 1/10W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 2.7 OHM 5% 1/10W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,ERJ-2BWFR068X,resistors\resistor,68m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.25W, 1/4W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.068 OHM 1% 1/4W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,Panasonic Electronic Components,,,
,ERJ-3RQF1R0V,resistors\resistor,1,±1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.1W, 1/10W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 1 OHM 1% 1/10W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,ERJ-2BSFR10X,resistors\resistor,100m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.167W, 1/6W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.1 OHM 1% 1/6W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,ERJ-3RSFR10V,resistors\resistor,100m,±1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.1W, 1/10W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.1 OHM 1% 1/10W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,±300ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,CSR0603FKR500,resistors\resistor,500m,±1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.125W, 1/8W",,https://www.seielect.com/catalog/sei-csr_csrn.pdf,RES 0.5 OHM 1% 1/8W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,±300ppm/°C,-55°C ~ 155°C,,Stackpole Electronics Inc,,,
,RL0510S-1R0-F,resistors\resistor,1,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.167W, 1/6W",,http://www.susumu.co.jp/common/pdf/n_catalog_partition08_en.pdf,RES SMD 1 OHM 1% 1/6W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,,-55°C ~ 125°C,,Susumu,,,
