#STEP_FILE ! FILE_SIZE ! MOD_TIME

OSCCC500X320X130L100X185N.step ! 167927 ! 1656155694
OSCCC200X160X85L55X65N.step ! 167912 ! 1656155694
OSCCC700X500X150L120X170N.step ! 167927 ! 1656155694
OSCCC160X120X60L35X45N.step ! 167905 ! 1656155694
OSCCC250X200X90L67X77N.step ! 167915 ! 1656155694
OSCCC320X250X100L75X100N.step ! 167923 ! 1656155694
XTAL1140X480X410D1270L450X100N.step ! 86683 ! 1656160935
XTAL1140X480X330D1270L450X100N.step ! 86683 ! 1656173977

