"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Output","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency - Switching","Function","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Outputs","Operating Temperature","Output Configuration","Output Type","Package / Case","Packaging","Part Status","Price","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Synchronous Rectifier","Topology","Type","Value","Voltage - Input (Max)","Voltage - Input (Min)","Voltage - Output (Max)","Voltage - Output (Min/Fixed)"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps61020,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/TPS61024DRCR/296-15753-1-ND/593892,"","","","","","","","","1.5A (Switch)",IC REG BOOST 3V 1.5A 10VSON,"",footprints/Leadless - SON/PCB - LEADLESS - SON - TI PVSON-10 3X3MM DRC.PCBLIB,"","",TI PVSON-10 3X3MM DRC,"","","600kHz",Step-Up,"2020-09-02 01:24:52.117000",Active,Texas Instruments,TPS61024DRCR,"1",Surface Mount,"1",-40°C ~ 85°C (TA),Positive,Fixed,"10-VFDFN Exposed Pad",TapeAndReel,Active,"0.92",-,DigiKey,"296-15753-1-ND","","","","","","","","","","","10-VSON (3x3)",symbols/Power - Switchmode/SCH - POWER - SWITCHMODE - TI TPS6102X.SCHLIB,TI TPS6102X,Yes,Boost,"","","6.5V","0.9V","","3V"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps563201,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/TPS563201DDCT/296-43393-2-ND/5813458,"","","","","","","","","3A",IC REG BUCK ADJ 3A TSOT23-6,"SOT-23-6 Thin, TSOT-23-6",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - TI SOT-23-6 DDC.PCBLIB,"","",TI SOT-23-6 DDC,"","","580kHz",Step-Down,"2019-12-12 10:07:22.100000","0",Texas Instruments,TPS563201DDCT,"1",Surface Mount,"1",-40°C ~ 125°C (TJ),Positive,Adjustable,"SOT-23-6 Thin, TSOT-23-6",TapeAndReel,Active,"0.54","D-CAP2™, Eco-Mode™",DigiKey,"296-43393-2-ND","","","","","","","","","","",TSOT-23-6,symbols/Power - Switchmode/SCH - POWER - SWITCHMODE - TI TPS563201.SCHLIB,TI TPS563201,Yes,Buck,"","","17V","4.5V","7V","0.768V"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps55340,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/TPS55340RTER/296-37677-2-ND/3503781,"","","","","","","","","5.25A (Switch)",IC REG BOOST ADJ 5.25A 16WQFN,"16-WFQFN Exposed Pad",footprints/Leadless - QFN/PCB - LEADLESS - QFN - TI PWQFN-16 3X3MM RTE.PCBLIB,"","",TI PWQFN-16 3X3MM RTE,"","","94kHz ~ 1.14MHz",Step-Up,"2019-12-12 10:10:37.147000","0",Texas Instruments,TPS55340RTER,"1",Surface Mount,"1",-40°C ~ 125°C (TA),"Positive, Isolation Capable",Adjustable,"16-WFQFN Exposed Pad",TapeAndReel,Active,"1.58",-,DigiKey,"296-37677-2-ND","","","","","","","","","","","16-WQFN (3x3)",symbols/Power - Switchmode/SCH - POWER - SWITCHMODE - TI TPS55340 QFN.SCHLIB,TI TPS55340 QFN,No,Boost,"","","32V","2.9V","38V","2.9V"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps55340-q1,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/TPS55340QRTERQ1/296-40811-2-ND/4899808,"","","","","","","","","5.25A (Switch)",IC REG BOOST ADJ 5.25A 16WQFN,"16-WFQFN Exposed Pad",footprints/Leadless - QFN/PCB - LEADLESS - QFN - TI PWQFN-16 3X3MM RTE.PCBLIB,"","",TI PWQFN-16 3X3MM RTE,"","","94kHz ~ 2.55MHz",Step-Up,"2019-12-12 10:10:52.840000","0",Texas Instruments,TPS55340QRTERQ1,"1",Surface Mount,"1",-40°C ~ 125°C (TA),"Positive, Isolation Capable",Adjustable,"16-WFQFN Exposed Pad",TapeAndReel,Active,"1.97","Automotive, AEC-Q100",DigiKey,"296-40811-2-ND","","","","","","","","","","","16-WQFN (3x3)",symbols/Power - Switchmode/SCH - POWER - SWITCHMODE - TI TPS55340 QFN.SCHLIB,TI TPS55340 QFN,No,Boost,"","","38V","2.9V","38V","2.9V"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps55340,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/TPS55340PWPR/296-39426-2-ND/3727185,"","","","","","","","","5.25A (Switch)",IC REG BOOST ADJ 5.25A 14HTSSOP,"14-TSSOP (0.173, 4.40mm Width) Exposed Pad",footprints/Leaded - SOP/PCB - LEADED - SOP - TI HTSSOP-14 PWP.PCBLIB,"","",TI HTSSOP-14 PWP,"","","94kHz ~ 1.14MHz",Step-Up,"2019-12-12 10:11:47.123000","0",Texas Instruments,TPS55340PWPR,"1",Surface Mount,"1",-40°C ~ 125°C (TA),"Positive, Isolation Capable",Adjustable,"14-TSSOP (0.173, 4.40mm Width) Exposed Pad",TapeAndReel,Active,"1.58",-,DigiKey,"296-39426-2-ND","","","","","","","","","","","14-HTSSOP",symbols/Power - Switchmode/SCH - POWER - SWITCHMODE - TI TPS55340 HTSSOP.SCHLIB,TI TPS55340 HTSSOP,No,Boost,"","","32V","2.9V","38V","2.9V"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps55330,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/TPS55330RTET/296-36219-2-ND/4212800,"","","","","","","","","5.25A (Switch)",IC REG MULTI CONFG ADJ 16WQFN,"16-WFQFN Exposed Pad",footprints/Leadless - QFN/PCB - LEADLESS - QFN - TI PWQFN-16 3X3MM RTE.PCBLIB,"","",TI PWQFN-16 3X3MM RTE,"","","94kHz ~ 1.14MHz","Step-Up, Step-Up/Step-Down","2019-12-12 10:12:56.130000","0",Texas Instruments,TPS55330RTET,"1",Surface Mount,"1",-40°C ~ 125°C (TA),"Positive, Isolation Capable",Adjustable,"16-WFQFN Exposed Pad",TapeAndReel,Active,"2.18",-,DigiKey,"296-36219-2-ND","","","","","","","","","","","16-WQFN (3x3)",symbols/Power - Switchmode/SCH - POWER - SWITCHMODE - TI TPS55330.SCHLIB,TI TPS55330,No,"Boost, Flyback, SEPIC","","","16V","2.9V","22V","2.9V"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps5401,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/TPS5401DGQR/296-39412-2-ND/2600495,"","","","","","","","","500mA",IC REG BUCK ADJ 500MA 10MSOP,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad",footprints/Leaded - SOP/PCB - LEADED - SOP - TI MSOP-10 DGQ.PCBLIB,"","",TI MSOP-10 DGQ,"","","100kHz ~ 2.5MHz",Step-Down,"2019-12-12 10:15:07.560000","0",Texas Instruments,TPS5401DGQR,"1",Surface Mount,"1",-40°C ~ 150°C (TJ),Positive,Adjustable,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad",TapeAndReel,Active,"0.80","SWIFT™, Eco-Mode™",DigiKey,"296-39412-2-ND","","","","","","","","","","","10-MSOP-PowerPad",symbols/Power - Switchmode/SCH - POWER - SWITCHMODE - TI TPS5401.SCHLIB,TI TPS5401,No,Buck,"","","42V","3.5V","39V","0.8V"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmr62014,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/LMR62014XMF-NOPB/LMR62014XMF-NOPBTR-ND/3179256,"","","","","","","","","2A (Switch)",IC REG BOOST ADJ 2A SOT23-5,"SC-74A, SOT-753",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - TI SOT-23-5 DBV.PCBLIB,"","",TI SOT-23-5 DBV,"","","1.6MHz",Step-Up,"2019-12-12 10:17:21.613000","0",Texas Instruments,LMR62014XMF/NOPB,"1",Surface Mount,"1",-40°C ~ 125°C (TJ),Positive,Adjustable,"SC-74A, SOT-753",TapeAndReel,Active,"0.68",SIMPLE SWITCHER®,DigiKey,LMR62014XMF/NOPBTR-ND,"","","","","","","","","","",SOT-23-5,symbols/Power - Switchmode/SCH - POWER - SWITCHMODE - TI LMR62014.SCHLIB,TI LMR62014,No,Boost,"","","14V","2.7V","20V","3V"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmr61428,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/LMR61428XMM-NOPB/LMR61428XMM-NOPBTR-ND/3693587,"","","","","","","","","2.85A (Switch)",IC REG BOOST ADJ 2.85A 8VSSOP,"8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",footprints/Leaded - SOP/PCB - LEADED - SOP - TI VSSOP-8 DGK.PCBLIB,"","",TI VSSOP-8 DGK,"","","300kHz ~ 2MHz",Step-Up,"2019-12-12 10:18:12.390000","0",Texas Instruments,LMR61428XMM/NOPB,"1",Surface Mount,"1",-40°C ~ 85°C (TA),Positive,Adjustable,"8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",TapeAndReel,Active,"0.77",SIMPLE SWITCHER®,DigiKey,LMR61428XMM/NOPBTR-ND,"","","","","","","","","","","8-VSSOP",symbols/Power - Switchmode/SCH - POWER - SWITCHMODE - TI LMR61428.SCHLIB,TI LMR61428,No,Boost,"","","14V","1.2V","14V","1.24V"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm5161,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/LM5161PWPT/296-44860-2-ND/6205543,"","","","","","","","","1A",IC REG BCK FLYBCK ADJ 14HTSSOP,"14-TSSOP (0.173, 4.40mm Width) Exposed Pad",footprints/Leaded - SOP/PCB - LEADED - SOP - TI HTSSOP-14 PWP.PCBLIB,"","",TI HTSSOP-14 PWP,"","","50kHz ~ 1MHz",Step-Down,"2019-12-12 10:19:53.487000","0",Texas Instruments,LM5161PWPT,"1",Surface Mount,"1",-40°C ~ 125°C (TJ),"Positive, Isolation Capable",Adjustable,"14-TSSOP (0.173, 4.40mm Width) Exposed Pad",TapeAndReel,Active,"3.02",-,DigiKey,"296-44860-2-ND","","","","","","","","","","","14-HTSSOP",symbols/Power - Switchmode/SCH - POWER - SWITCHMODE - TI LM5161.SCHLIB,TI LM5161,Yes,"Buck, Flyback","","","100V","4.5V","92V","2V"
