"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
"Medical, Non-Critical","100pF",=Value,Datasheet,http://datasheets.avx.com/AVX-MM.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/MM061A101JCT2A/478-10622-1-ND/7344883,"","","","","","","","",CAP CER 100PF 100V C0G/NP0 1206,"1206 (3216 Metric)","","",,,,"C1206N,C1206L,C1206M",,,"","2020-09-02 01:04:46.390000","","",Active,AVX Corporation,MM061A101JCT2A,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"18685",Active,"0.52","",MM,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"478-10622-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.029 (0.74mm)",±5%,"","100pF","100V"
"Medical, Non-Critical","1000pF",=Value,Datasheet,http://datasheets.avx.com/AVX-MM.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/MM062C102KCZ2A/478-10625-1-ND/7344886,"","","","","","","","",CAP CER 1000PF 200V X7R 1206,"1206 (3216 Metric)","","",,,,"C1206N,C1206L,C1206M",,,"","2020-09-02 01:04:46.370000","","",Active,AVX Corporation,MM062C102KCZ2A,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"18686",Active,"0.57","",MM,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"478-10625-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.029 (0.74mm)",±10%,"","1000pF","200V"
General Purpose,"2700pF",=Value,Datasheet,http://www.yageo.com/documents/recent/UPY-NP0X7R_MV_100-to-630V_21.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/CC1206JRNPO0BN272/311-4396-1-ND/8025485,"","","","","","","","",CAP CER 2700PF 100V NPO 1206,"1206 (3216 Metric)","","",,,,"C1206N,C1206L,C1206M",,,"","2020-09-02 01:04:46.367000","","",Active,Yageo,CC1206JRNPO0BN272,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"18687",Active,"0.08","",CC,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"311-4396-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.028 (0.70mm)",±5%,"","2700pF","100V"
Automotive,"2200pF",=Value,Datasheet,http://www.yageo.com/NewPortal/_en/search/productDocs.jsp?YageoPartNumber=AC1206JRNPO9BN222,DigiKey Link,http://digikey.com/product-detail/en/yageo/AC1206JRNPO9BN222/311-3205-1-ND/6643457,"","","","","","","","",CAP CER 2200PF 50V NPO 1206,"1206 (3216 Metric)","","",,,,"C1206N,C1206L,C1206M",,,"","2020-09-02 01:04:46.363000","","",Active,Yageo,AC1206JRNPO9BN222,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"18688",Active,"0.08",AEC-Q200,AC,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"311-3205-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.028 (0.70mm)",±5%,"","2200pF","50V"
General Purpose,"1000pF",=Value,Datasheet,http://www.yageo.com/documents/recent/UPY-NP0X7R_MV_100-to-630V_21.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/CC1206JRNPO0BN102/311-1927-1-ND/5195829,"","","","","","","","",CAP CER 1000PF 100V C0G/NPO 1206,"1206 (3216 Metric)","","",,,,"C1206N,C1206L,C1206M",,,"","2020-09-02 01:04:46.357000","","",Active,Yageo,CC1206JRNPO0BN102,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"18689",Active,"0.05","",CC,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"311-1927-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.028 (0.70mm)",±5%,"","1000pF","100V"
General Purpose,"1200pF",=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_17.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/CC1206JRNPO9BN122/311-4409-1-ND/8025498,"","","","","","","","",CAP CER 1200PF 50V NPO 1206,"1206 (3216 Metric)","","",,,,"C1206N,C1206L,C1206M",,,"","2020-09-02 01:04:46.353000","","",Active,Yageo,CC1206JRNPO9BN122,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"18690",Active,"0.05","",CC,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"311-4409-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.028 (0.70mm)",±5%,"","1200pF","50V"
General Purpose,"220pF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C3216CH2J221J060AA/445-11644-1-ND/3953310,"","","","","","","","",CAP CER 220PF 630V CH 1206,"1206 (3216 Metric)","","",,,,"C1206N,C1206L,C1206M",,,"","2020-09-02 01:04:46.350000","","",Active,TDK Corporation,C3216CH2J221J060AA,"1","Surface Mount, MLCC",-25°C ~ 85°C,"1206 (3216 Metric)",TapeAndReel,"18691",Active,"0.04","",C,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"445-11644-1-ND","","","","","","","","","","",,capacitors\capacitor,CH,"0.030 (0.75mm)",±5%,"","220pF","630V"
Automotive,"1000pF",=Value,Datasheet,http://www.yageo.com/NewPortal/_en/search/productDocs.jsp?YageoPartNumber=AC1206JRNPO9BN102,DigiKey Link,http://digikey.com/product-detail/en/yageo/AC1206JRNPO9BN102/311-3202-1-ND/6643454,"","","","","","","","",CAP CER 1000PF 50V NPO 1206,"1206 (3216 Metric)","","",,,,"C1206N,C1206L,C1206M",,,"","2020-09-02 01:04:46.330000","","",Active,Yageo,AC1206JRNPO9BN102,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"18692",Active,"0.07",AEC-Q200,AC,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"311-3202-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.028 (0.70mm)",±5%,"","1000pF","50V"
General Purpose,"51pF",=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_17.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/CC1206JRNPO9BN510/311-1219-1-ND/372932,"","","","","","","","",CAP CER 51PF 50V C0G/NPO 1206,"1206 (3216 Metric)","","",,,,"C1206N,C1206L,C1206M",,,"","2020-09-02 01:04:46.327000","","",Active,Yageo,CC1206JRNPO9BN510,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"18693",Active,"0.05","",CC,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"311-1219-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.024 (0.60mm)",±5%,"","51pF","50V"
General Purpose,"0.33uF",=Value,Datasheet,http://www.yageo.com/NewPortal/_en/search/productDocs.jsp?YageoPartNumber=CC1206ZRY5V9BB334,DigiKey Link,http://digikey.com/product-detail/en/yageo/CC1206ZRY5V9BB334/311-4507-1-ND/8025596,"","","","","","","","",CAP CER 0.33UF 50V Y5V 1206,"1206 (3216 Metric)","","",,,,"C1206N,C1206L,C1206M",,,"","2020-09-02 01:04:46.320000","","",Active,Yageo,CC1206ZRY5V9BB334,"","Surface Mount, MLCC",-30°C ~ 85°C,"1206 (3216 Metric)",TapeAndReel,"18694",Active,"0.07","",CC,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"311-4507-1-ND","","","","","","","","","","",,capacitors\capacitor,Y5V (F),"0.028 (0.70mm)","-20%, +80%","","0.33uF","50V"
