"Applications","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Connector Style","Connector Type","Contact Termination","Description","Device Package","Failure Rate","Features","Frequency - Max","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Impedance","Series","Size / Dimension","Shield Termination","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Type","Value"
,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1909763&DocType=Customer+Drawing&DocLang=English,DigiKey Link,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1909763-1/4731728,,,,,,,,,U.FL (UMCC),"Jack, Male Pin",Solder,"U.FL (UMCC) Connector Jack, Male Pin 50Ohm Surface Mount Solder",,,,"6 GHz",footprints/Connector - Coaxial Connectors (RF)/PCB - CONNECTORS - COAXIAL CONNECTOR.PcbLib,,,U.FL_Hirose_U.FL-R-SMT-1_Vertical,,,,,,,,TE Connectivity AMP Connectors,"1909763-1","1",Surface Mount,-40°C ~ 90°C,,,"1",,,,"50 OHM",,,,DigiKey,"1909763-1",,,,,,,,,,,symbols/Connectors/SCH - CONNECTORS - COAXIAL CONNECTOR.SchLib,U.FL_Hirose_U.FL-R-SMT-1,,,
,=Part Number,Datasheet,https://linxtechnologies.com/wp/wp-content/uploads/consma001-c-g-ds.pdf,DigiKey Link,https://www.digikey.com/en/products/detail/linx-technologies-inc/CONSMA001-C-G/11482824,,,,,,,,,SMA,"Receptacle, Female Socket",Solder,"SMA Connector Receptacle, Female Socket 50Ohm Through Hole Solder",,,,"18 GHz",footprints/Connector - Coaxial Connectors (RF)/PCB - CONNECTORS - COAXIAL CONNECTOR.PcbLib,,,SMA_Amphenol_132291_Vertical,,,,,,,,TE Connectivity AMP Connectors,CONSMA001-C-G,"1",Through Hole,-65°C ~ 165°C,,,"2",,,,"50 OHM",,,,DigiKey,CONSMA001-C-G,,,,,,,,,,,symbols/Connectors/SCH - CONNECTORS - COAXIAL CONNECTOR.SchLib,SMA_Amphenol_132291,,,
