"Actuator Height off PCB, Vertical","Actuator Length, Right Angle","Actuator Orientation","Actuator Type","Circuit","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Contact Rating @ Voltage","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Illumination","Illumination Type, Color","Illumination Voltage (Nominal)","Ingress Protection","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Force","Operating Temperature","Outline","Packaging","Part Status","Price","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Switch Function","Library Path","Library Ref","Termination Style","Type","Value"
"4.30mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3s.pdf,DigiKey Link,http://digikey.com/product-detail/en/omron-electronics-inc-emc-div/B3S-1000P/SW836CT-ND/700012,"","","","","","","","","0.05A @ 24VDC",SWITCH TACTILE SPST-NO 0.05A 24V,"",Sealed - Fully,footprints/Switch/PCB - SWITCH - OMRON B3S-1000P.PcbLib,"","",OMRON B3S-1000P,"","",Non-Illuminated,"","","IP67 - Dust Tight, Waterproof","2020-04-09 09:57:12.903000",Active,Omron Electronics Inc-EMC Div,B3S-1000P,"1",Surface Mount,"160gf",-25°C ~ 70°C,"6.60mm x 6.00mm",TapeAndReel,Active,"0.39",B3S,DigiKey,SW836CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,Gull Wing,"",""
"4.30mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf,DigiKey Link,http://digikey.com/product-detail/en/omron-electronics-inc-emc-div/B3FS-1012P/SW1237CT-ND/2747253,"","","","","","","","","0.05A @ 24VDC",SWITCH TACTILE SPST-NO 0.05A 24V,"","",footprints/Switch/PCB - SWITCH - OMRON B3FS-1012P.PcbLib,"","",OMRON B3FS-1012P,"","",Non-Illuminated,"","","","2020-03-30 15:12:45.550000",Active,Omron Electronics Inc-EMC Div,B3FS-1012P,"1",Surface Mount,"150gf",-25°C ~ 70°C,"6.30mm x 6.00mm",TapeAndReel,Active,"0.35",B3FS,DigiKey,SW1237CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,Gull Wing,"",""
"3.10mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://industrial.panasonic.com/ac/cdn/e/control/switch/light-touch/catalog/sw_lt_eng_6s_th.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EVQ-Q2Y03W/P12961SCT-ND/762951,"","","","","","","","","0.02A @ 15VDC",SWITCH TACTILE SPST-NO 0.02A 15V,"","",footprints/Switch/PCB - SWITCH - PANASONIC EVQQ2.PcbLib,"","",PANASONIC EVQQ2,"","",Non-Illuminated,"","","","2020-04-09 09:55:12.503000",Active,Panasonic Electronic Components,EVQ-Q2Y03W,"1",Surface Mount,"350gf",-40°C ~ 85°C,"6.50mm x 6.00mm",TapeAndReel,Active,"0.16",EVQQ2,DigiKey,P12961SCT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,J Lead,"",""
"","",Side Actuated,Rectangular Button,SPST-NO,=Part Number,Datasheet,https://dznh3ojzb2azq.cloudfront.net/products/Tactile/KSS/documents/datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/c-k/KSS331GLFS/401-1101-1-ND/417673,"","","","","","","","","0.05A @ 50VDC",SWITCH TACTILE SPST-NO 0.05A 50V,"",Tactile Feedback,footprints/Switch/PCB - SWITCH - C&K KSS.PcbLib,"","",C&K KSS,"","",Non-Illuminated,"","",IP40,"2020-04-09 09:55:46.287000",Active,C&K,KSS331GLFS,"1","Surface Mount, Right Angle","250gf",-40°C ~ 85°C,"7.60mm x 3.70mm",TapeAndReel,Active,"0.35",KSS,DigiKey,"401-1101-1-ND","","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,Gull Wing,"",""
"","3.40mm",Side Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://www.e-switch.com/system/asset/product_line/data_sheet/164/TL3340.pdf,DigiKey Link,http://digikey.com/product-detail/en/e-switch/TL3340AF160QG/EG4627CT-ND/1885974,"","","","","","","","","0.05A @ 12VDC",SWITCH TACTILE SPST-NO 0.05A 12V,"","",footprints/Switch/PCB - SWITCH - E-SWITCH TL3340.PcbLib,"","",E-SWITCH TL3340,"","",Non-Illuminated,"","","","2020-04-09 09:56:30.433000",Active,E-Switch,TL3340AF160QG,"1","Surface Mount, Right Angle","160gf",-35°C ~ 85°C,"4.00mm x 3.30mm",TapeAndReel,Active,"0.25",TL3340,DigiKey,EG4627CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,Gull Wing,"",""
"0.55mm","",Top Actuated,Snap Dome,SPST-NO,=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/E-Switch%20PDFs/TL3315.pdf,DigiKey Link,http://digikey.com/product-detail/en/e-switch/TL3315NF100Q/EG4620CT-ND/1870400,"","","","","","","","","0.05A @ 15VDC",SWITCH TACTILE SPST-NO 0.05A 15V,"","",footprints/Switch/PCB - SWITCH - E-SWITCH TL3315.PcbLib,"","",E-SWITCH TL3315,"","",Non-Illuminated,"","","","2020-04-09 09:57:57.870000",Active,E-Switch,TL3315NF100Q,"1",Surface Mount,"100gf",-20°C ~ 70°C,"4.50mm x 4.50mm",TapeAndReel,Active,"0.06",TL3315,DigiKey,EG4620CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,Gull Wing,"",""
"4.30mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://dznh3ojzb2azq.cloudfront.net/products/Tactile/PTS645/documents/datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/c-k/PTS645SM43SMTR92-LFS/CKN9112CT-ND/1146934,"","","","","","","","","0.05A @ 12VDC",SWITCH TACTILE SPST-NO 0.05A 12V,"",Blue Actuator,footprints/Switch/PCB - SWITCH - C&K PTS645.PcbLib,"","",C&K PTS645,"","",Non-Illuminated,"","","","2020-04-09 09:58:59.827000",Active,C&K,PTS645SM43SMTR92 LFS,"1",Surface Mount,"160gf",-20°C ~ 60°C,"6.00mm x 6.00mm",TapeAndReel,Active,"0.09",PTS645,DigiKey,CKN9112CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,Gull Wing,"",""
"2.50mm","",Top Actuated,Oval Button,SPST-NO,=Part Number,Datasheet,https://dznh3ojzb2azq.cloudfront.net/products/Tactile/PTS810/documents/datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/c-k/PTS810-SJM-250-SMTR-LFS/CKN10502CT-ND/4176673,"","","","","","","","","0.05A @ 16VDC",SWITCH TACTILE SPST-NO 0.05A 16V,"","",footprints/Switch/PCB - SWITCH - C&K PTS810.PcbLib,"","",C&K PTS810,"","",Non-Illuminated,"","","","2020-04-09 10:00:13.177000",Active,C&K,PTS810 SJM 250 SMTR LFS,"1",Surface Mount,"160gf",-40°C ~ 85°C,"4.20mm x 3.20mm",TapeAndReel,Active,"0.16",PTS810,DigiKey,CKN10502CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,J Lead,"",""
"2.50mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://dznh3ojzb2azq.cloudfront.net/products/Tactile/KMR7/documents/datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/c-k/KMR741NG-ULC-LFS/CKN10688CT-ND/6035360,"","","","","","","","","0.05A @ 32VDC",SWITCH TACTILE SPST-NO 50MA 32V,"","",footprints/Switch/PCB - SWITCH - C&K KMR7.PcbLib,"","",C&K KMR7,"","",Non-Illuminated,"","","IP67 - Dust Tight, Waterproof","2020-04-09 10:01:04.710000",Active,C&K,KMR741NG ULC LFS,"1",Surface Mount,"400gf",-40°C ~ 85°C,"4.20mm x 2.80mm",TapeAndReel,Active,"0.16",KMR7,DigiKey,CKN10688CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,Gull Wing,"",""
"2.10mm","",Top Actuated,Rectangular Button,SPST-NO,=Part Number,Datasheet,https://industrial.panasonic.com/ac/cdn/e/control/switch/light-touch/catalog/sw_lt_eng_4735s.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EVQ-P2202M/P12298SCT-ND/593598,"","","","","","","","","0.02A @ 15VDC",SWITCH TACTILE SPST-NO 0.02A 15V,"","",footprints/Switch/PCB - SWITCH - PANASONIC EVQP2.PcbLib,"","",PANASONIC EVQP2,"","",Non-Illuminated,"","","","2020-04-09 10:02:04.250000",Active,Panasonic Electronic Components,EVQ-P2202M,"1",Surface Mount,"160gf",-40°C ~ 85°C,"4.70mm x 3.50mm",TapeAndReel,Active,"0.37",EVQP2,DigiKey,P12298SCT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,J Lead,"",""
"5.00mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308111-1_SWITCHES_CORE_PROGRAM_CATALOG&DocType=CS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/1977223-9/1977223-9-ND/5597033,"","","","","","","","","0.05A @ 24VDC",SWITCH TACTILE SPST-NO 0.05A 24V,"","",footprints/Buttons/PCB - BUTTONS - TE FSM4JSMA.PCBLIB,"","",TE FSM4JSMA,"","",Non-Illuminated,"","","","2020-08-30 21:06:45.133000",Active,TE Connectivity ALCOSWITCH Switches,"1977223-9","30000",Surface Mount,"160gf","","6.00mm x 6.00mm",Bulk,"","0.16",FSMJSMA,DigiKey,"1977223-9-ND","","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,Gull Wing,"",""
"5.00mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308111-1_SWITCHES_CORE_PROGRAM_CATALOG&DocType=CS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/1-1977223-1/1-1977223-1-ND/5597032,"","","","","","","","","0.05A @ 24VDC",SWITCH TACTILE SPST-NO 0.05A 24V,"","",footprints/Buttons/PCB - BUTTONS - TE FSM4JSMA.PCBLIB,"","",TE FSM4JSMA,"","",Non-Illuminated,"","","","2020-09-02 01:27:07.347000",Active,TE Connectivity ALCOSWITCH Switches,"1-1977223-1","",Surface Mount,"260gf","","6.00mm x 6.00mm","","","0",FSMJSMA,DigiKey,"1-1977223-1-ND","","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,Gull Wing,"",""
"7.00mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308111-1_SWITCHES_CORE_PROGRAM_CATALOG&DocType=CS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/1-1977223-9/1-1977223-9-ND/5401299,"","","","","","","","","0.05A @ 24VDC",SWITCH TACTILE SPST-NO 0.05A 24V,"","",footprints/Buttons/PCB - BUTTONS - TE FSM6JSMA.PCBLIB,"","",TE FSM6JSMA,"","",Non-Illuminated,"","","","2020-09-02 01:27:07.697000",Active,TE Connectivity ALCOSWITCH Switches,"1-1977223-9","1500",Surface Mount,"260gf","","6.00mm x 6.00mm",Bulk,"","0.36",FSMJSMA,DigiKey,"1-1977223-9-ND","","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,Gull Wing,"",""
"","11.85mm",Side Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308111-1_SWITCHES_CORE_PROGRAM_CATALOG&DocType=CS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/2-1825027-0/450-1661-ND/1632547,"","","","","","","","","0.05A @ 24VDC",SWITCH TACTILE SPST-NO 0.05A 24V,"","",footprints/Switch/PCB - SWITCH - TE 2-1825027-0.PcbLib,"","",TE 2-1825027-0,"","",Non-Illuminated,"","","","2020-09-06 11:08:26.943000",Active,TE Connectivity ALCOSWITCH Switches,"2-1825027-0","1","Through Hole, Right Angle","160gf",-35°C ~ 85°C,"7.11mm x 6.60mm",Bulk,Active,"0.22",FSMRAJ,DigiKey,"450-1661-ND","","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,PC Pin,"",""
