"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Dielectric Material","ESR (Equivalent Series Resistance)","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Termination","Tolerance","Type","Value","Voltage Rating - AC","Voltage Rating - DC"
General Purpose,"0.033uF",=Value,Datasheet,https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECWF6333HL,DigiKey Link,https://www.digikey.cn/zh/products/detail/panasonic-electronic-components/ECW-F6333HL/585200,"","","","","","","","",CAP FILM 0.033UF 3% 630VDC RAD,Radial,"Polypropylene (PP), Metallized","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - RADIAL-10.0MM.PCBLIB,"","",CAP RADIAL-10.0MM 13.0x7.1x11.2MM,"","","0.441 (11.20mm)","2020-09-02 01:24:42.780000","",Active,Panasonic Electronic Components,ECW-F6333HL,"1",Through Hole,-40°C ~ 105°C,Radial,Bulk,Active,"1.13","",ECW-F(L),"0.512 L x 0.280 W (13.00mm x 7.10mm)",DigiKey,P12133-ND,"","","","","","","","","","",,capacitors\capacitor,PC Pins,±3%,"","0.033uF","223V","630V"
"DC Link, DC Filtering","0.22uF",=Value,Datasheet,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/e_MU.pdf,DigiKey Link,http://digikey.com/product-detail/en/rubycon/16MU224MZ22012/1189-2514-1-ND/4969572,"","","","","","","","",CAP FILM 0.22UF 20% 16VDC 0805,"0805 (2012 Metric)","Acrylic, Metallized","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.047 (1.20mm)","2020-09-02 01:24:42.770000","",Active,Rubycon,"16MU224MZ22012","1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"1.13","","PMLCAP®, MU","0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,"1189-2514-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±20%,"","0.22uF","","16V"
General Purpose,"1500pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H152JB5/PCF1014CT-ND/112255,"","","","","","","","",CAP FILM 1500PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.763000","",Active,Panasonic Electronic Components,ECH-U1H152JB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.18","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1014CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","1500pF","","50V"
"EMI, RFI Suppression","0.1uF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0012+ECPU1C104MA5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECP-U1C104MA5/PCF1126CT-ND/285453,"","","","","","","","",CAP FILM 0.1UF 20% 16VDC 0805,"0805 (2012 Metric)","Acrylic, Metallized - Stacked","",Low ESR,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.047 (1.20mm)","2020-09-02 01:24:42.740000","",Active,Panasonic Electronic Components,ECP-U1C104MA5,"1",Surface Mount,-40°C ~ 85°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.16","",ECP-U(A),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1126CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±20%,"","0.1uF","","16V"
General Purpose,"100pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H101JX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H101JX5/PCF1316CT-ND/353788,"","","","","","","","",CAP FILM 100PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.10mm)","2020-09-02 01:24:42.737000","",Active,Panasonic Electronic Components,ECH-U1H101JX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.10","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1316CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","100pF","","50V"
General Purpose,"4700pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C472GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1C472GX5/PCF1173CT-ND/353720,"","","","","","","","",CAP FILM 4700PF 2% 16VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.10mm)","2020-09-02 01:24:42.733000","",Active,Panasonic Electronic Components,ECH-U1C472GX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.11","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1173CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","4700pF","","16V"
General Purpose,"10000pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C103GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1C103GX5/PCF1177CT-ND/353724,"","","","","","","","",CAP FILM 10000PF 2% 16VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.051 (1.30mm)","2020-09-02 01:24:42.730000","",Active,Panasonic Electronic Components,ECH-U1C103GX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.12","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1177CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","10000pF","","16V"
General Purpose,"1000pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H102JX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H102JX5/PCF1328CT-ND/353800,"","","","","","","","",CAP FILM 1000PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.10mm)","2020-09-02 01:24:42.723000","",Active,Panasonic Electronic Components,ECH-U1H102JX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.12","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1328CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","1000pF","","50V"
General Purpose,"1000pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H102GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H102GX5/PCF1296CT-ND/353768,"","","","","","","","",CAP FILM 1000PF 2% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.10mm)","2020-09-02 01:24:42.720000","",Active,Panasonic Electronic Components,ECH-U1H102GX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.12","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1296CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","1000pF","","50V"
General Purpose,"3300pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C332GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1C332GX5/PCF1171CT-ND/353718,"","","","","","","","",CAP FILM 3300PF 2% 16VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.10mm)","2020-09-02 01:24:42.717000","",Active,Panasonic Electronic Components,ECH-U1C332GX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.12","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1171CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","3300pF","","16V"
General Purpose,"10000pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C103JX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1C103JX5/PCF1196CT-ND/353743,"","","","","","","","",CAP FILM 10000PF 5% 16VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.051 (1.30mm)","2020-09-02 01:24:42.697000","",Active,Panasonic Electronic Components,ECH-U1C103JX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.12","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1196CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","10000pF","","16V"
General Purpose,"1000pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H102JB5/PCF1012CT-ND/129177,"","","","","","","","",CAP FILM 1000PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.693000","",Active,Panasonic Electronic Components,ECH-U1H102JB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.18","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1012CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","1000pF","","50V"
General Purpose,"0.1uF",=Value,Datasheet,http://www.cde.com/resources/catalogs/FCA.pdf,DigiKey Link,http://digikey.com/product-detail/en/cornell-dubilier-electronics-cde/FCA0805C104M-J2/338-2772-1-ND/2614421,"","","","","","","","",CAP FILM 0.1UF 20% 16VDC 0805,"0805 (2012 Metric)","Acrylic, Metallized","",Low ESR,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.047 (1.20mm)","2020-09-02 01:24:42.670000","",Active,Cornell Dubilier Electronics (CDE),FCA0805C104M-J2,"1",Surface Mount,-40°C ~ 85°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.21","",FCA,"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,"338-2772-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±20%,"","0.1uF","12V","16V"
General Purpose,"5600pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C562GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1C562GX5/PCF1174DKR-ND/1806083,"","","","","","","","",CAP FILM 5600PF 2% 16VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.10mm)","2020-09-02 01:24:42.637000","",Active,Panasonic Electronic Components,ECH-U1C562GX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.13","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1174DKR-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","5600pF","","16V"
"High Frequency, Switching","330pF",=Value,Datasheet,http://www.cde.com/resources/catalogs/FCP.pdf,DigiKey Link,http://digikey.com/product-detail/en/cornell-dubilier-electronics-cde/FCP0805H331J-J1/338-4080-1-ND/5700235,"","","","","","","","",CAP FILM 330PF 5% 50VDC 0805,"0805 (2012 Metric)",Polyphenylene Sulfide (PPS),"","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.09mm)","2020-09-02 01:24:42.620000","",Active,Cornell Dubilier Electronics (CDE),FCP0805H331J-J1,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.14","",FCP,"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,"338-4080-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","330pF","","50V"
General Purpose,"8200pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C822GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1C822GX5/PCF1176CT-ND/353723,"","","","","","","","",CAP FILM 8200PF 2% 16VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.051 (1.30mm)","2020-09-02 01:24:42.617000","",Active,Panasonic Electronic Components,ECH-U1C822GX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.14","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1176CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","8200pF","","16V"
General Purpose,"1800pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H182JB5/PCF1015CT-ND/129194,"","","","","","","","",CAP FILM 1800PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.613000","",Active,Panasonic Electronic Components,ECH-U1H182JB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.18","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1015CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","1800pF","","50V"
"High Frequency, Switching","2200pF",=Value,Datasheet,http://www.cde.com/resources/catalogs/FCP.pdf,DigiKey Link,http://digikey.com/product-detail/en/cornell-dubilier-electronics-cde/FCP0805H222J-J1/338-4079-1-ND/5700234,"","","","","","","","",CAP FILM 2200PF 5% 50VDC 0805,"0805 (2012 Metric)",Polyphenylene Sulfide (PPS),"","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.09mm)","2020-09-02 01:24:42.597000","",Active,Cornell Dubilier Electronics (CDE),FCP0805H222J-J1,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",CutTape,Active,"0.63","",FCP,"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,"338-4079-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","2200pF","","50V"
"High Frequency, Switching","1000pF",=Value,Datasheet,http://www.cde.com/resources/catalogs/FCP.pdf,DigiKey Link,http://digikey.com/product-detail/en/cornell-dubilier-electronics-cde/FCP0805H102J-J1/338-4078-1-ND/5700233,"","","","","","","","",CAP FILM 1000PF 5% 50VDC 0805,"0805 (2012 Metric)",Polyphenylene Sulfide (PPS),"","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.09mm)","2020-09-02 01:24:42.577000","",Active,Cornell Dubilier Electronics (CDE),FCP0805H102J-J1,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.15","",FCP,"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,"338-4078-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","1000pF","","50V"
General Purpose,"560pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H561JB5/PCF1009CT-ND/129156,"","","","","","","","",CAP FILM 560PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.573000","",Active,Panasonic Electronic Components,ECH-U1H561JB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.19","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1009CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","560pF","","50V"
General Purpose,"680pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H681JB5/PCF1010CT-ND/129165,"","","","","","","","",CAP FILM 680PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.570000","",Active,Panasonic Electronic Components,ECH-U1H681JB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.19","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1010CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","680pF","","50V"
General Purpose,"390pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H391JB5/PCF1007CT-ND/108331,"","","","","","","","",CAP FILM 390PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.567000","",Active,Panasonic Electronic Components,ECH-U1H391JB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.19","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1007CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","390pF","","50V"
General Purpose,"470pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H471JB5/PCF1008CT-ND/112253,"","","","","","","","",CAP FILM 470PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.560000","",Active,Panasonic Electronic Components,ECH-U1H471JB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.19","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1008CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","470pF","","50V"
General Purpose,"10000pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1C103JB5/PCF1076CT-ND/248409,"","","","","","","","",CAP FILM 10000PF 5% 16VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.047 (1.20mm)","2020-09-02 01:24:42.537000","",Active,Panasonic Electronic Components,ECH-U1C103JB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.18","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1076CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","10000pF","","16V"
General Purpose,"330pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H331GB5/PCF1095CT-ND/255980,"","","","","","","","",CAP FILM 330PF 2% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.533000","",Active,Panasonic Electronic Components,ECH-U1H331GB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.23","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1095CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","330pF","","50V"
General Purpose,"560pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H561GB5/PCF1098CT-ND/255983,"","","","","","","","",CAP FILM 560PF 2% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.530000","",Active,Panasonic Electronic Components,ECH-U1H561GB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.23","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1098CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","560pF","","50V"
General Purpose,"390pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H391GB5/PCF1096CT-ND/850558,"","","","","","","","",CAP FILM 390PF 2% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.527000","",Active,Panasonic Electronic Components,ECH-U1H391GB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.23","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1096CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","390pF","","50V"
General Purpose,"150pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H151GB5/PCF1091CT-ND/255976,"","","","","","","","",CAP FILM 150PF 2% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.523000","",Active,Panasonic Electronic Components,ECH-U1H151GB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.23","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1091CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","150pF","","50V"
