"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Dielectric Material","ESR (Equivalent Series Resistance)","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Termination","Tolerance","Type","Value","Voltage Rating - AC","Voltage Rating - DC"
Automotive,"5600pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/LDECA1560JA0N00.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/LDECA1560JA0N00/399-18507-1-ND/9486483,"","","","","","","","",CAP FILM 5600PF 5% 50VDC 1206,"1206 (3216 Metric)","Polyester, Polyethylene Naphthalate (PEN), Metallized - Stacked","",High Temperature,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.547000","",Active,KEMET,LDECA1560JA0N00,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",AEC-Q200,LDE,"0.130 L x 0.067 W (3.30mm x 1.70mm)",DigiKey,"399-18507-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","5600pF","40V","50V"
Automotive,"8200pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/LDECA1820JA0N00.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/LDECA1820JA0N00/399-18509-1-ND/9486485,"","","","","","","","",CAP FILM 8200PF 5% 50VDC 1206,"1206 (3216 Metric)","Polyester, Polyethylene Naphthalate (PEN), Metallized - Stacked","",High Temperature,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.540000","",Active,KEMET,LDECA1820JA0N00,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",AEC-Q200,LDE,"0.130 L x 0.067 W (3.30mm x 1.70mm)",DigiKey,"399-18509-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","8200pF","40V","50V"
Automotive,"1000pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/LDECA1100JA0N00.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/LDECA1100JA0N00/399-18499-1-ND/9486475,"","","","","","","","",CAP FILM 1000PF 5% 50VDC 1206,"1206 (3216 Metric)","Polyester, Polyethylene Naphthalate (PEN), Metallized - Stacked","",High Temperature,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.537000","",Active,KEMET,LDECA1100JA0N00,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.35",AEC-Q200,LDE,"0.130 L x 0.067 W (3.30mm x 1.70mm)",DigiKey,"399-18499-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","1000pF","40V","50V"
Automotive,"10000pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/LDEEA2100JA0N00.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/LDEEA2100JA0N00/399-18530-1-ND/9486506,"","","","","","","","",CAP FILM 10000PF 5% 100VDC 1206,"1206 (3216 Metric)","Polyester, Polyethylene Naphthalate (PEN), Metallized - Stacked","",High Temperature,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.533000","",Active,KEMET,LDEEA2100JA0N00,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.31",AEC-Q200,LDE,"0.130 L x 0.067 W (3.30mm x 1.70mm)",DigiKey,"399-18530-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","10000pF","63V","100V"
Automotive,"0.027uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/LDECA2270JA0N00.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/LDECA2270JA0N00/399-18513-1-ND/9486489,"","","","","","","","",CAP FILM 0.027UF 5% 50VDC 1206,"1206 (3216 Metric)","Polyester, Polyethylene Naphthalate (PEN), Metallized - Stacked","",High Temperature,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.530000","",Active,KEMET,LDECA2270JA0N00,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.35",AEC-Q200,LDE,"0.130 L x 0.067 W (3.30mm x 1.70mm)",DigiKey,"399-18513-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","0.027uF","40V","50V"
Automotive,"6800pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/LDECA1680JA0N00.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/LDECA1680JA0N00/399-18508-1-ND/9486484,"","","","","","","","",CAP FILM 6800PF 5% 50VDC 1206,"1206 (3216 Metric)","Polyester, Polyethylene Naphthalate (PEN), Metallized - Stacked","",High Temperature,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.527000","",Active,KEMET,LDECA1680JA0N00,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.36",AEC-Q200,LDE,"0.130 L x 0.067 W (3.30mm x 1.70mm)",DigiKey,"399-18508-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","6800pF","40V","50V"
Automotive,"0.012uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/LDECA2120JA0N00.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/LDECA2120JA0N00/399-18510-1-ND/9486486,"","","","","","","","",CAP FILM 0.012UF 5% 50VDC 1206,"1206 (3216 Metric)","Polyester, Polyethylene Naphthalate (PEN), Metallized - Stacked","",High Temperature,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.523000","",Active,KEMET,LDECA2120JA0N00,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.36",AEC-Q200,LDE,"0.130 L x 0.067 W (3.30mm x 1.70mm)",DigiKey,"399-18510-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","0.012uF","40V","50V"
Automotive,"0.015uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/LDEEA2150JA0N00.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/LDEEA2150JA0N00/399-18531-1-ND/9486507,"","","","","","","","",CAP FILM 0.015UF 5% 100VDC 1206,"1206 (3216 Metric)","Polyester, Polyethylene Naphthalate (PEN), Metallized - Stacked","",High Temperature,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.047 (1.20mm)","2020-09-02 01:24:44.500000","",Active,KEMET,LDEEA2150JA0N00,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.46",AEC-Q200,LDE,"0.130 L x 0.067 W (3.30mm x 1.70mm)",DigiKey,"399-18531-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","0.015uF","63V","100V"
Automotive,"1500pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/LDEEA1150JA0N00.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/LDEEA1150JA0N00/399-18524-1-ND/9486500,"","","","","","","","",CAP FILM 1500PF 5% 100VDC 1206,"1206 (3216 Metric)","Polyester, Polyethylene Naphthalate (PEN), Metallized - Stacked","",High Temperature,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.497000","",Active,KEMET,LDEEA1150JA0N00,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.46",AEC-Q200,LDE,"0.130 L x 0.067 W (3.30mm x 1.70mm)",DigiKey,"399-18524-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","1500pF","63V","100V"
General Purpose,"0.018uF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C183GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1C183GX5/PCF1180CT-ND/353727,"","","","","","","","",CAP FILM 0.018UF 2% 16VDC 1206,"1206 (3216 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.493000","",Active,Panasonic Electronic Components,ECH-U1C183GX5,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.10","",ECH-U(X),"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,PCF1180CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","0.018uF","","16V"
General Purpose,"1500pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0015+ECWU1152JX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECW-U1152JX5/PCF1350CT-ND/353835,"","","","","","","","",CAP FILM 1500PF 5% 100VDC 1206,"1206 (3216 Metric)","Polyester, Polyethylene Naphthalate (PEN), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.051 (1.30mm)","2020-09-02 01:24:44.487000","",Active,Panasonic Electronic Components,ECW-U1152JX5,"1",Surface Mount,-55°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.11","",ECW-U(X),"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,PCF1350CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","1500pF","","100V"
General Purpose,"6800pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H682JX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H682JX5/PCF1338CT-ND/353810,"","","","","","","","",CAP FILM 6800PF 5% 50VDC 1206,"1206 (3216 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.483000","",Active,Panasonic Electronic Components,ECH-U1H682JX5,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.11","",ECH-U(X),"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,PCF1338CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","6800pF","","50V"
General Purpose,"5600pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H562JX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H562JX5/PCF1337CT-ND/353809,"","","","","","","","",CAP FILM 5600PF 5% 50VDC 1206,"1206 (3216 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.480000","",Active,Panasonic Electronic Components,ECH-U1H562JX5,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.12","",ECH-U(X),"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,PCF1337CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","5600pF","","50V"
General Purpose,"3300pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H332GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H332GX5/PCF1302CT-ND/353774,"","","","","","","","",CAP FILM 3300PF 2% 50VDC 1206,"1206 (3216 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 1206.PCBLIB,"","",CAP FILM 1206,"","","0.043 (1.10mm)","2020-09-02 01:24:44.477000","",Active,Panasonic Electronic Components,ECH-U1H332GX5,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.12","",ECH-U(X),"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,PCF1302CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","3300pF","","50V"
