"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"1000pF",=Value,Datasheet,http://datasheets.avx.com/AVX-HV_MLCC.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/1812WC102KAT1A/478-11410-1-ND/8019100,"","","","","","","","",CAP CER 1000PF 2.5KV X7R 1812,"1812 (4532 Metric)","",High Voltage,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.687000","","",Active,AVX Corporation,"1812WC102KAT1A","1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.53","",-,"0.181 L x 0.126 W (4.60mm x 3.20mm)",DigiKey,"478-11410-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","1000pF","2500V (2.5kV)"
General Purpose,"0.015uF",=Value,Datasheet,http://datasheets.avx.com/AVX-HV_MLCC.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/1812SC153KAT1A/478-11643-1-ND/8564201,"","","","","","","","",CAP CER 0.015UF 1.5KV X7R 1812,"1812 (4532 Metric)","",High Voltage,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.683000","","",Active,AVX Corporation,"1812SC153KAT1A","1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.60","",-,"0.181 L x 0.126 W (4.60mm x 3.20mm)",DigiKey,"478-11643-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","0.015uF","1500V (1.5kV)"
General Purpose,"1000pF",=Value,Datasheet,http://www.vishay.com/docs/45228/hvseries.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-vitramon/HV1812Y102KXHATHV/720-1548-1-ND/6137131,"","","","","","","","",CAP CER 1000PF 3KV X7R 1812,"1812 (4532 Metric)","",High Voltage,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.680000","","",Active,Vishay Vitramon,HV1812Y102KXHATHV,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.19","",HV,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"720-1548-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","1000pF","3000V (3kV)"
"SMPS Filtering, Boardflex Sensitive","0.027uF",=Value,Datasheet,http://datasheets.avx.com/HV-FlexitermMLCC.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/1812AC273KAZ1A/478-4662-1-ND/1680762,"","","","","","","","",CAP CER 0.027UF 1KV X7R 1812,"1812 (4532 Metric)","","Soft Termination, High Voltage",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.670000","","",Active,AVX Corporation,"1812AC273KAZ1A","1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"1.00","",FLEXITERM®,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"478-4662-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","0.027uF","1000V (1kV)"
General Purpose,"10uF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/NTS_NTF_Series_E1002W.pdf,DigiKey Link,http://digikey.com/product-detail/en/united-chemi-con/KTS250B106M43N0T00/565-5035-1-ND/8123971,"","","","","","","","",CAP CER 10UF 25V X7R 1812,"1812 (4532 Metric)","","",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.667000","","",Active,United Chemi-Con,KTS250B106M43N0T00,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.69","",NTS,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"565-5035-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±20%,"","10uF","25V"
Automotive,"1.5uF",=Value,Datasheet,http://www.chemi-con.co.jp/e/catalog/pdf/ce-e/ce-sepa-e/ce-kvf-e-2019.pdf,DigiKey Link,http://digikey.com/product-detail/en/united-chemi-con/KVF500L155M43NHT00/565-4759-1-ND/6210807,"","","","","","","","",CAP CER 1.5UF 50V X8L 1812,"1812 (4532 Metric)","",High Temperature,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.663000","","",Active,United Chemi-Con,KVF500L155M43NHT00,"1","Surface Mount, MLCC",-55°C ~ 150°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.48",AEC-Q200,KVF,"0.180 L x 0.126 W (4.57mm x 3.20mm)",DigiKey,"565-4759-1-ND","","","","","","","","","","",,capacitors\capacitor,X8L,"0.110 (2.80mm)",±20%,"","1.5uF","50V"
General Purpose,"15uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C4532X5R1E156M250KA/445-13431-1-ND/3955097,"","","","","","","","",CAP CER 15UF 25V X5R 1812,"1812 (4532 Metric)","",Low ESL,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.647000","","",Active,TDK Corporation,C4532X5R1E156M250KA,"1","Surface Mount, MLCC",-55°C ~ 85°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.50","",C,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-13431-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.110 (2.80mm)",±20%,"","15uF","25V"
Automotive,"0.68uF",=Value,Datasheet,http://www.chemi-con.co.jp/e/catalog/pdf/ce-e/ce-sepa-e/ce-kvf-e-2019.pdf,DigiKey Link,http://digikey.com/product-detail/en/united-chemi-con/KVF101L684M43NLT00/565-4744-1-ND/6210792,"","","","","","","","",CAP CER 0.68UF 100V X8L 1812,"1812 (4532 Metric)","",High Temperature,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.643000","","",Active,United Chemi-Con,KVF101L684M43NLT00,"1","Surface Mount, MLCC",-55°C ~ 150°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.49",AEC-Q200,KVF,"0.180 L x 0.126 W (4.57mm x 3.20mm)",DigiKey,"565-4744-1-ND","","","","","","","","","","",,capacitors\capacitor,X8L,"0.110 (2.80mm)",±20%,"","0.68uF","100V"
General Purpose,"6800pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C1812C682KGRACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C1812C682KGRACTU/399-10479-1-ND/4172934,"","","","","","","","",CAP CER 6800PF 2KV X7R 1812,"1812 (4532 Metric)","","Low ESL, High Voltage",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.623000","","",Active,KEMET,C1812C682KGRACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.54","",SMD Comm X7R HV,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"399-10479-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","6800pF","2000V (2kV)"
"SMPS Filtering, Boardflex Sensitive","2200pF",=Value,Datasheet,http://datasheets.avx.com/HV-FlexitermMLCC.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/1812HC222KAZ1A/478-5353-1-ND/1957585,"","","","","","","","",CAP CER 2200PF 3KV X7R 1812,"1812 (4532 Metric)","","Soft Termination, High Voltage",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.620000","","",Active,AVX Corporation,"1812HC222KAZ1A","1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.57","",FLEXITERM®,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"478-5353-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","2200pF","3000V (3kV)"
