"Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","ESR (Equivalent Series Resistance)","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lifecycle Status","Lifetime @ Temp","Manufacturer","Part Number","Manufacturer Size Code","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Tolerance","Type","Value","Voltage - Rated"
"1uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CWR11MH105KB.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CWR11MH105KB/1001-2230-1-ND/3317720,"","","","","","","","",CAP TANT 1UF 10% 35V 1411,"1411 (3528 Metric)","6.5Ohm",B (0.1%),High Reliability,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.453000","",Active,"",KEMET,CWR11MH105KB,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"1",Active,"1.20","","Military, MIL-PRF-55365/8, CWR11","0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"1001-2230-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"1uF","35V"
"4.7uF",=Value,Datasheet,http://www.vishay.com/docs/40080/tr3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-sprague/TR3B475K025C0700/718-1523-1-ND/1859998,"","","","","","","","",CAP TANT 4.7UF 10% 25V 1411,"1411 (3528 Metric)","700mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.11mm)","2020-09-02 01:15:46.450000","",Active,"",Vishay Sprague,TR3B475K025C0700,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"2",Active,"0.45","","TANTAMOUNT®, TR3","0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"718-1523-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"4.7uF","25V"
"47uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T494B476K010AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T494B476K010AT/399-18791-1-ND/9642326,"","","","","","","","",CAP TANT 47UF 10% 10V 1411,"1411 (3528 Metric)","650mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.433000","",Active,"2000 Hrs @ 125°C",KEMET,T494B476K010AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"3",Active,"0.45","",T494,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-18791-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"47uF","10V"
"15uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T494B156K025AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T494B156K025AT/399-5299-1-ND/1842105,"","","","","","","","",CAP TANT 15UF 10% 25V 1411,"1411 (3528 Metric)","3Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.430000","",Active,"2000 Hrs @ 125°C",KEMET,T494B156K025AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"4",Active,"0.45","",T494,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-5299-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"15uF","25V"
"10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491T106K016AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491T106K016AT/399-8400-1-ND/3472123,"","","","","","","","",CAP TANT 10UF 10% 16V 1411,"1411 (3528 Metric)","8Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.047 (1.20mm)","2020-09-02 01:15:46.423000","",Active,"2000 Hrs @ 125°C",KEMET,T491T106K016AT,T,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"5",Active,"0.46","",T491,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-8400-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"10uF","16V"
"22uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495B226K010ATE500.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495B226K010ATE500/399-18339-1-ND/9460195,"","","","","","","","",CAP TANT 22UF 10% 10V 1411,"1411 (3528 Metric)","500mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.420000","",Active,"2000 Hrs @ 125°C",KEMET,T495B226K010ATE500,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"6",Active,"0.46","",T495,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-18339-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"22uF","10V"
"100uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T494B107M006AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T494B107M006AT/399-3833-1-ND/819158,"","","","","","","","",CAP TANT 100UF 20% 6.3V 1411,"1411 (3528 Metric)","1.5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.403000","",Active,"2000 Hrs @ 125°C",KEMET,T494B107M006AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"7",Active,"0.48","",T494,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3833-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"100uF","6.3V"
"22uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491T226K010AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491T226K010AT/399-10204-1-ND/3759321,"","","","","","","","",CAP TANT 22UF 10% 10V 1411,"1411 (3528 Metric)","8Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.047 (1.20mm)","2020-09-02 01:15:46.400000","",Active,"2000 Hrs @ 125°C",KEMET,T491T226K010AT,T,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"8",Active,"0.49","",T491,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-10204-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"22uF","10V"
"330uF",=Value,Datasheet,http://datasheets.avx.com/F95.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F950G337KTAAQ2/478-8377-1-ND/4005744,"","","","","","","","",CAP TANT 330UF 10% 4V 1411,"1411 (3528 Metric)","800mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.063 (1.60mm)","2020-09-02 01:15:46.393000","",Active,"",AVX Corporation,F950G337KTAAQ2,T,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"9",Active,"0.48","","F95, Frameless™","0.138 L x 0.106 W (3.50mm x 2.70mm)",DigiKey,"478-8377-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Conformal Coated,"330uF","4V"
"6.8uF",=Value,Datasheet,http://www.vishay.com/docs/40080/tr3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-sprague/TR3B685K025C0400/718-1530-1-ND/1860005,"","","","","","","","",CAP TANT 6.8UF 10% 25V 1411,"1411 (3528 Metric)","400mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.11mm)","2020-09-02 01:15:46.390000","",Active,"",Vishay Sprague,TR3B685K025C0400,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"10",Active,"0.49","","TANTAMOUNT®, TR3","0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"718-1530-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"6.8uF","25V"
"4.7uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T496B475M016ATE3K5.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T496B475M016ATE3K5/399-3922-1-ND/819247,"","","","","","","","",CAP TANT 4.7UF 20% 16V 1411,"1411 (3528 Metric)","3.5Ohm","",Fail Safe with Built-in Fuse,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.387000","",Active,"2000 Hrs @ 85°C",KEMET,T496B475M016ATE3K5,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"11",Active,"0.51","",T496,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3922-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"4.7uF","16V"
"2.2uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T496B225M016ATE3K5.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T496B225M016ATE3K5/399-3917-1-ND/819242,"","","","","","","","",CAP TANT 2.2UF 20% 16V 1411,"1411 (3528 Metric)","3.5Ohm","",Fail Safe with Built-in Fuse,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.383000","",Active,"2000 Hrs @ 85°C",KEMET,T496B225M016ATE3K5,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"12",Active,"0.51","",T496,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3917-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"2.2uF","16V"
"1uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/specsheet/T496B105M035ATE5K0.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T496B105M035ATE5K0/399-3910-1-ND/819235,"","","","","","","","",CAP TANT 1UF 20% 35V 1411,"1411 (3528 Metric)","","",Fail Safe with Built-in Fuse,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.363000","",Active,"",KEMET,T496B105M035ATE5K0,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"13",Active,"0.51","",T496,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3910-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"1uF","35V"
"150uF",=Value,Datasheet,http://datasheets.avx.com/TLJ.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TLJH157M006R0900/478-5347-1-ND/1957565,"","","","","","","","",CAP TANT 150UF 20% 6.3V 1411,"","900mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.059 (1.50mm)","2020-09-02 01:15:46.360000","",Active,"",AVX Corporation,TLJH157M006R0900,H,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric), 1210",TapeAndReel,"14",Active,"0.52","",TLJ,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"478-5347-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"150uF","6.3V"
"100uF",=Value,Datasheet,http://datasheets.avx.com/TPS.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TPSB107K006H0400/478-9055-1-ND/4561921,"","","","","","","","",CAP TANT 100UF 10% 6.3V 1411,"","400mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.353000","",Active,"",AVX Corporation,TPSB107K006H0400,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric), 1210",TapeAndReel,"15",Active,"0.30","",TPS,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"478-9055-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"100uF","6.3V"
"10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495B106K016ATE500.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495B106K016ATE500/399-18417-1-ND/9460261,"","","","","","","","",CAP TANT 10UF 10% 16V 1411,"1411 (3528 Metric)","500mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.350000","",Active,"2000 Hrs @ 125°C",KEMET,T495B106K016ATE500,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"16",Active,"0.62","",T495,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-18417-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"10uF","16V"
"47uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495B476K006ATE450.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495B476K006ATE450/399-18422-1-ND/9460266,"","","","","","","","",CAP TANT 47UF 10% 6.3V 1411,"1411 (3528 Metric)","450mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.343000","",Active,"2000 Hrs @ 125°C",KEMET,T495B476K006ATE450,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"17",Active,"0.62","",T495,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-18422-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"47uF","6.3V"
"10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495T106M016ATE4K0.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495T106M016ATE4K0/399-8525-1-ND/3472248,"","","","","","","","",CAP TANT 10UF 20% 16V 1411,"1411 (3528 Metric)","4Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.047 (1.20mm)","2020-09-02 01:15:46.340000","",Active,"2000 Hrs @ 85°C",KEMET,T495T106M016ATE4K0,T,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"18",Active,"0.62","",T495,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-8525-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"10uF","16V"
"68uF",=Value,Datasheet,http://datasheets.avx.com/F95.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F951A686KBAAQ2/478-8448-1-ND/4005971,"","","","","","","","",CAP TANT 68UF 10% 10V 1411,"1411 (3528 Metric)","400mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.079 (2.00mm)","2020-09-02 01:15:46.337000","",Active,"",AVX Corporation,F951A686KBAAQ2,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"19",Active,"0.41","","F95, Frameless™","0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"478-8448-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Conformal Coated,"68uF","10V"
"10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T496B106M016ATE3K5.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T496B106M016ATE3K5/399-3914-1-ND/819239,"","","","","","","","",CAP TANT 10UF 20% 16V 1411,"1411 (3528 Metric)","3.5Ohm","",Fail Safe with Built-in Fuse,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.333000","",Active,"2000 Hrs @ 85°C",KEMET,T496B106M016ATE3K5,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"20",Active,"0.55","",T496,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3914-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"10uF","16V"
"10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T496B106K006ATE3K5.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T496B106K006ATE3K5/399-3911-1-ND/819236,"","","","","","","","",CAP TANT 10UF 10% 6.3V 1411,"1411 (3528 Metric)","3.5Ohm","",Fail Safe with Built-in Fuse,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.310000","",Active,"2000 Hrs @ 85°C",KEMET,T496B106K006ATE3K5,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"21",Active,"0.55","",T496,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3911-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"10uF","6.3V"
"2.2uF",=Value,Datasheet,https://content.kemet.com/datasheets/KEM_T2010_T496.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T496B225K020AT/399-3916-1-ND/819241,"","","","","","","","",CAP TANT 2.2UF 10% 20V 1411,"1411 (3528 Metric)","3.5Ohm","",Fail Safe with Built-in Fuse,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.290000","",Active,"2000 Hrs @ 85°C",KEMET,T496B225K020AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"22",Active,"0.55","",T496,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3916-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"2.2uF","20V"
"1uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T494B105K050AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T494B105K050AT/399-18785-1-ND/9642320,"","","","","","","","",CAP TANT 1UF 10% 50V 1411,"1411 (3528 Metric)","4Ohm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.270000","",Active,"2000 Hrs @ 125°C",KEMET,T494B105K050AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"23",Active,"0.56","",T494,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-18785-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"1uF","50V"
"68uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495B686K010ATE750.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495B686K010ATE750/399-18424-1-ND/9460268,"","","","","","","","",CAP TANT 68UF 10% 10V 1411,"1411 (3528 Metric)","750mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.263000","",Active,"2000 Hrs @ 125°C",KEMET,T495B686K010ATE750,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"24",Active,"0.65","",T495,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-18424-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"68uF","10V"
"100uF",=Value,Datasheet,https://abracon.com/Magnetics/inductors/ATCC-211.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ATCC-211B-010-107M-T/ATCC-211B-010-107M-TCT-ND/4843477,"","","","","","","","",CAP TANT 100UF 20% 10V 1411,"1411 (3528 Metric)","1.5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.260000","",Active,"",Abracon LLC,ATCC-211B-010-107M-T,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"25",Active,"0.68","",ATCC-211,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,ATCC-211B-010-107M-TCT-ND,"","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"100uF","10V"
"47uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495B476K010ATE500.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495B476K010ATE500/399-10432-1-ND/3907779,"","","","","","","","",CAP TANT 47UF 10% 10V 1411,"1411 (3528 Metric)","500mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.257000","",Active,"2000 Hrs @ 85°C",KEMET,T495B476K010ATE500,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"26",Active,"0.59","",T495,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-10432-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"47uF","10V"
"100uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495B107M010ATE500.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495B107M010ATE500/399-10433-1-ND/3907776,"","","","","","","","",CAP TANT 100UF 20% 10V 1411,"1411 (3528 Metric)","500mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.253000","",Active,"2000 Hrs @ 85°C",KEMET,T495B107M010ATE500,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"27",Active,"0.59","",T495,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-10433-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"100uF","10V"
"10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495B106M016ATE500.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495B106M016ATE500/399-18815-1-ND/9642350,"","","","","","","","",CAP TANT 10UF 20% 16V 1411,"1411 (3528 Metric)","500mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.250000","",Active,"2000 Hrs @ 125°C",KEMET,T495B106M016ATE500,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"28",Active,"0.59","",T495,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-18815-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"10uF","16V"
"100uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495B107M006ATE700.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495B107M006ATE700/399-3875-1-ND/819200,"","","","","","","","",CAP TANT 100UF 20% 6.3V 1411,"1411 (3528 Metric)","700mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.233000","",Active,"2000 Hrs @ 85°C",KEMET,T495B107M006ATE700,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"29",Active,"0.59","",T495,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3875-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"100uF","6.3V"
"10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495B106M016ATE650.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495B106M016ATE650/399-18338-1-ND/9460194,"","","","","","","","",CAP TANT 10UF 20% 16V 1411,"1411 (3528 Metric)","650mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.227000","",Active,"2000 Hrs @ 125°C",KEMET,T495B106M016ATE650,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"30",Active,"0.59","",T495,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-18338-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"10uF","16V"
