"Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","ESR (Equivalent Series Resistance)","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lifecycle Status","Lifetime @ Temp","Manufacturer","Part Number","Manufacturer Size Code","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Tolerance","Type","Value","Voltage - Rated"
"33uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T494D336M020AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T494D336M020AT/399-10435-1-ND/3907773,"","","","","","","","",CAP TANT 33UF 20% 20V 2917,"2917 (7343 Metric)","250mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 2917_7343.PCBLIB,"","",CAP POL 2917_7343,"","","0.122 (3.10mm)","2020-09-02 01:16:14.793000","",Active,"2000 Hrs @ 125°C",KEMET,T494D336M020AT,D,"1",Surface Mount,-55°C ~ 125°C,"2917 (7343 Metric)",TapeAndReel,"2680",Active,"0.79","",T494,"0.287 L x 0.169 W (7.30mm x 4.30mm)",DigiKey,"399-10435-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"33uF","20V"
"22uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T494D226M025AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T494D226M025AT/399-8473-1-ND/3472196,"","","","","","","","",CAP TANT 22UF 20% 25V 2917,"2917 (7343 Metric)","300mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 2917_7343.PCBLIB,"","",CAP POL 2917_7343,"","","0.122 (3.10mm)","2020-09-02 01:16:14.790000","",Active,"2000 Hrs @ 125°C",KEMET,T494D226M025AT,D,"1",Surface Mount,-55°C ~ 125°C,"2917 (7343 Metric)",TapeAndReel,"2681",Active,"0.79","",T494,"0.287 L x 0.169 W (7.30mm x 4.30mm)",DigiKey,"399-8473-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"22uF","25V"
"100uF",=Value,Datasheet,http://datasheets.avx.com/TAJ_LOW_PROFILE.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TAJX107M010RNJ/478-3971-1-ND/1127017,"","","","","","","","",CAP TANT 100UF 20% 10V 2917,"2917 (7343 Metric)","900mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 2917_7343.PCBLIB,"","",CAP POL 2917_7343,"","","0.059 (1.50mm)","2020-09-02 01:16:14.787000","",Active,"",AVX Corporation,TAJX107M010RNJ,X,"1",Surface Mount,-55°C ~ 125°C,"2917 (7343 Metric)",TapeAndReel,"2682",Active,"0.70","",TAJ,"0.287 L x 0.169 W (7.30mm x 4.30mm)",DigiKey,"478-3971-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"100uF","10V"
"68uF",=Value,Datasheet,http://www.vishay.com/docs/40178/tmcm.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-sprague/TMCME1C686MTRF/718-2475-1-ND/10107652,"","","","","","","","",CAP TANT 68UF 20% 16V 2917,"2917 (7343 Metric)","600mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 2917_7343.PCBLIB,"","",CAP POL 2917_7343,"","","0.118 (3.00mm)","2020-09-02 01:16:14.783000","",Active,"",Vishay Sprague,TMCME1C686MTRF,E,"1",Surface Mount,-55°C ~ 125°C,"2917 (7343 Metric)",TapeAndReel,"2683",Active,"0.71","",TMCM,"0.287 L x 0.169 W (7.30mm x 4.30mm)",DigiKey,"718-2475-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"68uF","16V"
"10uF",=Value,Datasheet,http://www.vishay.com/docs/40080/tr3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-sprague/TR3D106K035C0135/718-1533-1-ND/1860008,"","","","","","","","",CAP TANT 10UF 10% 35V 2917,"2917 (7343 Metric)","135mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 2917_7343.PCBLIB,"","",CAP POL 2917_7343,"","","0.122 (3.10mm)","2020-09-02 01:16:14.780000","",Active,"",Vishay Sprague,TR3D106K035C0135,D,"1",Surface Mount,-55°C ~ 125°C,"2917 (7343 Metric)",TapeAndReel,"2684",Active,"0.79","","TANTAMOUNT®, TR3","0.287 L x 0.169 W (7.30mm x 4.30mm)",DigiKey,"718-1533-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"10uF","35V"
"330uF",=Value,Datasheet,http://www.vishay.com/docs/40080/tr3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-sprague/TR3D337K6R3C0125/718-1356-1-ND/1663078,"","","","","","","","",CAP TANT 330UF 10% 6.3V 2917,"2917 (7343 Metric)","125mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 2917_7343.PCBLIB,"","",CAP POL 2917_7343,"","","0.122 (3.10mm)","2020-09-02 01:16:14.777000","",Active,"",Vishay Sprague,TR3D337K6R3C0125,D,"1",Surface Mount,-55°C ~ 125°C,"2917 (7343 Metric)",TapeAndReel,"2685",Active,"0.71","","TANTAMOUNT®, TR3","0.287 L x 0.169 W (7.30mm x 4.30mm)",DigiKey,"718-1356-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"330uF","6.3V"
"330uF",=Value,Datasheet,http://datasheets.avx.com/TAJ_AUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TAJE337K010TNJV/478-11236-1-ND/7567082,"","","","","","","","",CAP TANT 330UF 10% 10V 2917,"2917 (7343 Metric)","900mOhm @ 100kHz","",Automotive,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 2917_7343.PCBLIB,"","",CAP POL 2917_7343,"","","0.169 (4.30mm)","2020-09-02 01:16:14.773000","",Active,"",AVX Corporation,TAJE337K010TNJV,E,"1",Surface Mount,-55°C ~ 125°C,"2917 (7343 Metric)",TapeAndReel,"2686",Active,"0.84",AEC-Q200,TAJ,"0.287 L x 0.169 W (7.30mm x 4.30mm)",DigiKey,"478-11236-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"330uF","10V"
"33uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495D336K025ATE100.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495D336K025ATE100/399-18094-1-ND/9342363,"","","","","","","","",CAP TANT 33UF 10% 25V 2917,"2917 (7343 Metric)","100mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 2917_7343.PCBLIB,"","",CAP POL 2917_7343,"","","0.122 (3.10mm)","2020-09-02 01:16:14.770000","",Active,"2000 Hrs @ 85°C",KEMET,T495D336K025ATE100,D,"1",Surface Mount,-55°C ~ 125°C,"2917 (7343 Metric)",TapeAndReel,"2687",Active,"0.80","",T495,"0.287 L x 0.169 W (7.30mm x 4.30mm)",DigiKey,"399-18094-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"33uF","25V"
"220uF",=Value,Datasheet,http://datasheets.avx.com/F93.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F931A227MNC/478-10952-1-ND/7536304,"","","","","","","","",CAP TANT 220UF 20% 10V 2917,"2917 (7343 Metric)","500mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 2917_7343.PCBLIB,"","",CAP POL 2917_7343,"","","0.118 (3.00mm)","2020-09-02 01:16:14.750000","",Active,"2000 Hrs @ 125°C",AVX Corporation,F931A227MNC,N,"1",Surface Mount,-55°C ~ 125°C,"2917 (7343 Metric)",TapeAndReel,"2688",Active,"0.72","",F93,"0.287 L x 0.169 W (7.30mm x 4.30mm)",DigiKey,"478-10952-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"220uF","10V"
"220uF",=Value,Datasheet,http://datasheets.avx.com/TPS.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TPSD227M006R0050/478-9183-1-ND/4562048,"","","","","","","","",CAP TANT 220UF 20% 6.3V 2917,"2917 (7343 Metric)","50mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 2917_7343.PCBLIB,"","",CAP POL 2917_7343,"","","0.122 (3.10mm)","2020-09-02 01:16:14.747000","",Active,"",AVX Corporation,TPSD227M006R0050,D,"1",Surface Mount,-55°C ~ 125°C,"2917 (7343 Metric)",TapeAndReel,"2689",Active,"0.73","",TPS,"0.287 L x 0.169 W (7.30mm x 4.30mm)",DigiKey,"478-9183-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"220uF","6.3V"
