"Capacitance @ Vr, F","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Average Rectified (Io)","Current - Reverse Leakage @ Vr","Description","Device Package","Diode Type","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature - Junction","Package / Case","Packaging","PartId","Part Status","Price","Reverse Recovery Time (trr)","Series","Speed","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - DC Reverse (Vr) (Max)","Voltage - Forward (Vf) (Max) @ If"
"",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30258.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BAS116T-7-F/BAS116T-FDICT-ND/815338,"","","","","","","","","215mA (DC)","5nA @ 75V",DIODE GEN PURP 85V 215MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.940000",Active,Diodes Incorporated,BAS116T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"1",Active,"0.06","3µs",-,"Standard Recovery >500ns, > 200mA (Io)",DigiKey,BAS116T-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","85V","1.25V @ 150mA"
"",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30260.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BAS16T-7-F/BAS16T-7FDICT-ND/2181053,"","","","","","","","","75mA (DC)","2µA @ 75V",DIODE GP 85V 75MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.920000",Active,Diodes Incorporated,BAS16T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"2",Active,"0.08","4ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS16T-7FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","85V","1V @ 50mA"
"3.5pF @ 6V, 1MHz",=Part Number,Datasheet,https://www.mccsemi.com/pdf/Products/MMBD4448HT_HTC_HTA_HTS(SOT-523).pdf,DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/MMBD4448HT-TP/MMBD4448HT-TPMSCT-ND/2041561,"","","","","","","","","250mA","100nA @ 70V",DIODE GEN PURP 80V 250MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.900000",Active,Micro Commercial Co,MMBD4448HT-TP,"1",Surface Mount,"150°C (Max)",SOT-523,TapeAndReel,"3",Active,"0.09","4ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,MMBD4448HT-TPMSCT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","80V","1.25V @ 150mA"
"3.5pF @ 6V, 1MHz",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30263.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/MMBD4448HT-7-F/MMBD4448HT-FDICT-ND/815718,"","","","","","","","","250mA","100nA @ 70V",DIODE GEN PURP 80V 250MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.883000",Active,Diodes Incorporated,MMBD4448HT-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"4",Active,"0.05","4ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,MMBD4448HT-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","80V","1.25V @ 150mA"
"",=Part Number,Datasheet,"https://www.mccsemi.com/pdf/Products/BAS16T,BAW56T,BAV70T,BAV99T(SOT-523).PDF",DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/BAS16T-TP/BAS16T-TPCT-ND/819648,"","","","","","","","","75mA (DC)","2µA @ 75V",DIODE GEN PURP 85V 75MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.860000",Active,Micro Commercial Co,BAS16T-TP,"1",Surface Mount,-55°C ~ 150°C,SOT-523,TapeAndReel,"5",Active,"0.06","4ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS16T-TPCT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","85V","1V @ 50mA"
"",=Part Number,Datasheet,https://www.mccsemi.com/pdf/Products/BAS21T(SOT-523).PDF,DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/BAS21T-TP/BAS21T-TPCT-ND/819650,"","","","","","","","","200mA","100nA @ 250V",DIODE GEN PURP 250V 200MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.837000",Active,Micro Commercial Co,BAS21T-TP,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"6",Active,"0.04","50ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS21T-TPCT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","250V","1.25V @ 200mA"
"",=Part Number,Datasheet,https://toshiba.semicon-storage.com/info/docget.jsp?did=3386&prodName=1SS397,DigiKey Link,http://digikey.com/product-detail/en/toshiba-semiconductor-and-storage/1SS397TE85LF/1SS397TE85LFCT-ND/4304081,"","","","","","","","","100mA","1µA @ 400V",DIODE GEN PURP 400V 100MA SC70,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.997000",Active,Toshiba Semiconductor and Storage,"1SS397TE85LF","1",Surface Mount,"125°C (Max)","SC-70, SOT-323",TapeAndReel,"7",Active,"0.11","500ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,"1SS397TE85LFCT-ND","","","","","","","","","","",SC-70,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","400V","1.3V @ 100mA"
"",=Part Number,Datasheet,http://www.onsemi.com/pub/Collateral/M1MA141KT1-D.PDF,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/M1MA141KT1G/M1MA141KT1GOSCT-ND/917953,"","","","","","","","","100mA (DC)","100nA @ 35V",DIODE GEN PURP 40V 100MA SC70-3,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.983000",Active,ON Semiconductor,M1MA141KT1G,"1",Surface Mount,"150°C (Max)","SC-70, SOT-323",TapeAndReel,"8",Active,"0.03","3ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,M1MA141KT1GOSCT-ND,"","","","","","","","","","",SC-70-3 (SOT323),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","40V","1.2V @ 100mA"
"",=Part Number,Datasheet,http://www.onsemi.com/pub/Collateral/BAS16WT1-D.PDF,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/SBAS16WT1G/SBAS16WT1GOSCT-ND/8538870,"","","","","","","","","200mA","1µA @ 75V",DIODE GEN PURP 75V 200MA SC70,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.963000",Active,ON Semiconductor,SBAS16WT1G,"1",Surface Mount,-55°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"9",Active,"0.08","6ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,SBAS16WT1GOSCT-ND,"","","","","","","","","","",SC-70,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","75V","1.25V @ 150mA"
"",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/Ds30118.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BAS20W-7-F/BAS20W-FDICT-ND/815342,"","","","","","","","","200mA","100nA @ 150V",DIODE GEN PURP 150V 200MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.957000",Active,Diodes Incorporated,BAS20W-7-F,"1",Surface Mount,-65°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"10",Active,"0.05","50ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS20W-FDICT-ND,"","","","","","","","","","",SOT-323,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","150V","1.25V @ 200mA"
"",=Part Number,Datasheet,https://assets.nexperia.com/documents/data-sheet/BAS21W_SER.pdf,DigiKey Link,http://digikey.com/product-detail/en/nexperia-usa-inc/BAS21W115/1727-2082-1-ND/5221611,"","","","","","","","","225mA (DC)","100nA @ 200V",DIODE GEN PURP 250V 225MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.937000",Active,Nexperia USA Inc.,"BAS21W,115","1",Surface Mount,"150°C (Max)","SC-70, SOT-323",TapeAndReel,"11",Active,"0.04","50ns","Automotive, AEC-Q101","Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,"1727-2082-1-ND","","","","","","","","","","",SC-70,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","250V","1.25V @ 200mA"
"",=Part Number,Datasheet,https://assets.nexperia.com/documents/data-sheet/BAS16_SER.pdf,DigiKey Link,http://digikey.com/product-detail/en/nexperia-usa-inc/BAS16W115/1727-2888-1-ND/763424,"","","","","","","","","175mA (DC)","500nA @ 80V",DIODE GEN PURP 100V 175MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.917000",Active,Nexperia USA Inc.,"BAS16W,115","1",Surface Mount,-65°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"12",Active,"0.03","4ns","Automotive, AEC-Q101, BAS16","Small Signal =< 200mA (Io), Any Speed",DigiKey,"1727-2888-1-ND","","","","","","","","","","",SC-70,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","100V","1.25V @ 150mA"
"",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30094.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/MMBD4148W-7-F/MMBD4148W-FDICT-ND/768828,"","","","","","","","","150mA","1µA @ 75V",DIODE GEN PURP 75V 150MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.903000",Active,Diodes Incorporated,MMBD4148W-7-F,"1",Surface Mount,-65°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"13",Active,"0.04","4ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,MMBD4148W-FDICT-ND,"","","","","","","","","","",SOT-323,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","75V","1.25V @ 150mA"
"",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30094.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BAS16W-7-F/BAS16W-FDICT-ND/815339,"","","","","","","","","150mA","1µA @ 75V",DIODE GEN PURP 75V 150MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.883000",Active,Diodes Incorporated,BAS16W-7-F,"1",Surface Mount,-65°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"14",Active,"0.04","4ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS16W-FDICT-ND,"","","","","","","","","","",SOT-323,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","75V","1.25V @ 150mA"
"",=Part Number,Datasheet,https://www.mccsemi.com/pdf/Products/BAS19WT-BAS21WT(SOT-323).PDF,DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/BAS21WT-TP/BAS21WTTPMSCT-ND/717327,"","","","","","","","","200mA (DC)","100nA @ 200V",DIODE GEN PURP 200V 200MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.863000",Active,Micro Commercial Co,BAS21WT-TP,"1",Surface Mount,-55°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"15",Active,"0.05","50ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS21WTTPMSCT-ND,"","","","","","","","","","",SOT-323,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","200V","1.25V @ 200mA"
"",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/Ds30118.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BAS19W-7-F/BAS19W-FDICT-ND/815340,"","","","","","","","","200mA","100nA @ 100V",DIODE GEN PURP 100V 200MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.850000",Active,Diodes Incorporated,BAS19W-7-F,"1",Surface Mount,-65°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"16",Active,"0.05","50ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS19W-FDICT-ND,"","","","","","","","","","",SOT-323,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","100V","1.25V @ 200mA"
"",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/Ds30118.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BAS21W-7-F/BAS21W-FDICT-ND/815343,"","","","","","","","","200mA","100nA @ 200V",DIODE GEN PURP 200V 200MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.837000",Active,Diodes Incorporated,BAS21W-7-F,"1",Surface Mount,-65°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"17",Active,"0.05","50ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS21W-FDICT-ND,"","","","","","","","","","",SOT-323,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","200V","1.25V @ 200mA"
"",=Part Number,Datasheet,https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=CMSD4448.PDF,DigiKey Link,http://digikey.com/product-detail/en/central-semiconductor-corp/CMSD4448-TR-PBFREE/1514-CMSD4448TRPBFREECT-ND/5324540,"","","","","","","","","250mA (DC)","25nA @ 20V",DIODE GEN PURP 75V 250MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.823000",Active,Central Semiconductor Corp,CMSD4448 TR PBFREE,"1",Surface Mount,-65°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"18",Active,"0.27","4ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,"1514-CMSD4448TRPBFREECT-ND","","","","","","","","","","",SOT-323,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","75V","1V @ 100mA"
"",=Part Number,Datasheet,http://www.onsemi.com/pub/Collateral/BAS16WT1-D.PDF,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/BAS16WT1G/BAS16WT1GOSCT-ND/917797,"","","","","","","","","200mA (DC)","1µA @ 75V",DIODE GEN PURP 100V 200MA SC70-3,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.803000",Active,ON Semiconductor,BAS16WT1G,"1",Surface Mount,-55°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"19",Active,"0.02","6ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS16WT1GOSCT-ND,"","","","","","","","","","",SC-70-3 (SOT323),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","100V","1.25V @ 150mA"
"",=Part Number,Datasheet,https://www.mccsemi.com/pdf/Products/MMBD4448WT(SOT-323).pdf,DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/MMBD4448WT-TP/MMBD4448WTTPMSCT-ND/717391,"","","","","","","","","250mA","2.5µA @ 75V",DIODE GEN PURP 75V 250MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.783000",Active,Micro Commercial Co,MMBD4448WT-TP,"1",Surface Mount,-55°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"20",Active,"0.07","4ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,MMBD4448WTTPMSCT-ND,"","","","","","","","","","",SOT-323,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","75V","1.25V @ 150mA"
"",=Part Number,Datasheet,https://www.mccsemi.com/pdf/Products/MMBD4148WT(SOT-323).PDF,DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/MMBD4148WT-TP/MMBD4148WTTPMSCT-ND/717387,"","","","","","","","","150mA (DC)","1µA @ 75V",DIODE GEN PURP 75V 150MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.763000",Active,Micro Commercial Co,MMBD4148WT-TP,"1",Surface Mount,-55°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"21",Active,"0.05","4ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,MMBD4148WTTPMSCT-ND,"","","","","","","","","","",SOT-323,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","75V","1.25V @ 150mA"
"15pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.mccsemi.com/pdf/Products/ER1A-L~ER1J-L(DO-214AA).pdf,DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/ER1J-LTP/ER1J-LTPMSCT-ND/2512837,"","","","","","","","","1A","5µA @ 600V",DIODE GEN PURP 600V 1A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:53.223000",Active,Micro Commercial Co,ER1J-LTP,"1",Surface Mount,-65°C ~ 175°C,"DO-214AA, SMB",TapeAndReel,"22",Active,"0.08","35ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,ER1J-LTPMSCT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","600V","1.7V @ 1A"
"",=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Micro%20Commercial%20PDFs/S2A_%20thru_S2M_RevC_12-27-13.pdf,DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/S2D-TP/S2D-TPMSTR-ND/773663,"","","","","","","","","2A","10µA @ 200V",DIODE GEN PURP 200V 2A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:53.217000",Active,Micro Commercial Co,S2D-TP,"",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"23",Active,"0.08","2µs",-,"Standard Recovery >500ns, > 200mA (Io)",DigiKey,S2D-TPMSTR-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","200V","1.15V @ 2A"
"16pF @ 4V, 1MHz",=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Vishay%20Semiconductors/S2x.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/S2M-E3-5BT/S2M-E3-5BTGICT-ND/3711851,"","","","","","","","","1.5A","1µA @ 1000V",DIODE GEN PURP 1KV 1.5A DO214,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:53.207000",Active,Vishay Semiconductor Diodes Division,S2M-E3/5BT,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"24",Active,"0.08","2µs",-,"Standard Recovery >500ns, > 200mA (Io)",DigiKey,S2M-E3/5BTGICT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","1000V","1.15V @ 1.5A"
"30pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.onsemi.com/pub/Collateral/S2M-D.pdf,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/S2D/S2DFSCT-ND/4744685,"","","","","","","","","2A","1µA @ 200V",DIODE GEN PURP 200V 2A SMB,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:53.197000",Active,ON Semiconductor,S2D,"1",Surface Mount,-65°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"25",Active,"0.08","2µs",-,"Standard Recovery >500ns, > 200mA (Io)",DigiKey,S2DFSCT-ND,"","","","","","","","","","",SMB (DO-214AA),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","200V","1.15V @ 2A"
"30pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.onsemi.com/pub/Collateral/S2M-D.pdf,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/S2B/S2BFSCT-ND/3504362,"","","","","","","","","2A","1µA @ 100V",DIODE GEN PURP 100V 2A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:53.160000",Active,ON Semiconductor,S2B,"1",Surface Mount,-65°C ~ 150°C,"DO-214AA, SMB",TapeAndBox,"26",Active,"0.09","2µs",-,"Standard Recovery >500ns, > 200mA (Io)",DigiKey,S2BFSCT-ND,"","","","","","","","","","",SMB (DO-214AA),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","100V","1.15V @ 2A"
"15pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds15002.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/RS1AB-13-F/RS1AB-FDICT-ND/815907,"","","","","","","","","1A","5µA @ 50V",DIODE GEN PURP 50V 1A SMB,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:53.157000",Active,Diodes Incorporated,RS1AB-13-F,"1",Surface Mount,-65°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"27",Active,"0.09","150ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,RS1AB-FDICT-ND,"","","","","","","","","","",SMB,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","50V","1.3V @ 1A"
"15pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds15002.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/RS1DB-13-F/RS1DB-FDICT-ND/815909,"","","","","","","","","1A","5µA @ 200V",DIODE GEN PURP 200V 1A SMB,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:53.147000",Active,Diodes Incorporated,RS1DB-13-F,"1",Surface Mount,-65°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"28",Active,"0.09","150ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,RS1DB-FDICT-ND,"","","","","","","","","","",SMB,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","200V","1.3V @ 1A"
"40pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.mccsemi.com/pdf/Products/S3AB-S3MB(SMB).PDF,DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/S3JB-TP/S3JB-TPMSCT-ND/1793398,"","","","","","","","","3A","10µA @ 600V",DIODE GEN PURP 600V 3A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:53.137000",Active,Micro Commercial Co,S3JB-TP,"1",Surface Mount,"","DO-214AA, SMB",TapeAndReel,"29",Active,"0.13","",-,"Standard Recovery >500ns, > 200mA (Io)",DigiKey,S3JB-TPMSCT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","600V","1.15V @ 3A"
"",=Part Number,Datasheet,"//media.digikey.com/pdf/Data%20Sheets/Vishay%20Semiconductors/MURS240,260.pdf",DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/MURS260-E3-5BT/MURS260-E3-5BTGICT-ND/9600800,"","","","","","","","","2A","5µA @ 600V",DIODE GEN PURP 600V 2A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:53.133000",Active,Vishay Semiconductor Diodes Division,MURS260-E3/5BT,"1",Surface Mount,-65°C ~ 175°C,"DO-214AA, SMB",TapeAndReel,"30",Active,"0.15","75ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,MURS260-E3/5BTGICT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","600V","1.45V @ 2A"
