"Capacitance @ Vr, F","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Average Rectified (Io)","Current - Reverse Leakage @ Vr","Description","Device Package","Diode Type","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature - Junction","Package / Case","Packaging","PartId","Part Status","Price","Reverse Recovery Time (trr)","Series","Speed","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - DC Reverse (Vr) (Max)","Voltage - Forward (Vf) (Max) @ If"
"",=Part Number,Datasheet,http://www.st.com/content/ccc/resource/technical/document/datasheet/59/8d/cf/2a/cc/37/45/18/CD00199070.pdf/files/CD00199070.pdf/jcr:content/translations/en.CD00199070.pdf,DigiKey Link,http://digikey.com/product-detail/en/stmicroelectronics/STTH3R04U/497-15792-1-ND/5287064,"","","","","","","","","3A","5µA @ 400V",DIODE GEN PURP 400V 3A SMB,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.130000",Active,STMicroelectronics,STTH3R04U,"1",Surface Mount,"175°C (Max)","DO-214AA, SMB",TapeAndReel,"177",Active,"0.16","35ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,"497-15792-1-ND","","","","","","","","","","",SMB,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","400V","1.5V @ 3A"
"40pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.taiwansemi.com/products/datasheet/S5GB%20SERIES_C1701.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/S5KBHR5G/S5KBHR5GCT-ND/7358557,"","","","","","","","","5A","10µA @ 800V",DIODE GEN PURP 800V 5A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.123000",Active,Taiwan Semiconductor Corporation,S5KBHR5G,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"178",Active,"0.17","",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,S5KBHR5GCT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","800V","1.1V @ 5A"
"20pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.taiwansemi.com/products/datasheet/ES2A%20SERIES_K1701.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/ES2G-R5G/ES2GR5GCT-ND/7357522,"","","","","","","","","2A","10µA @ 400V",DIODE GEN PURP 400V 2A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.120000",Active,Taiwan Semiconductor Corporation,ES2G R5G,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"179",Active,"0.17","35ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,ES2GR5GCT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","400V","1.3V @ 2A"
"",=Part Number,Datasheet,http://www.onsemi.com/pub/Collateral/MURS220T3-D.PDF,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/SURS8220T3G/SURS8220T3GOSCT-ND/3487490,"","","","","","","","","2A","2µA @ 200V",DIODE GP ULT FAST 200V 2A SMB,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.117000",Active,ON Semiconductor,SURS8220T3G,"1",Surface Mount,-65°C ~ 175°C,"DO-214AA, SMB",TapeAndReel,"180",Active,"0.16","35ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,SURS8220T3GOSCT-ND,"","","","","","","","","","",SMB,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","200V","950mV @ 2A"
"80pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.taiwansemi.com/products/datasheet/HS3AB%20SERIES_K1701.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/HS3BB-R5G/HS3BBR5GCT-ND/7357724,"","","","","","","","","3A","10µA @ 100V",DIODE GEN PURP 100V 3A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.110000",Active,Taiwan Semiconductor Corporation,HS3BB R5G,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"181",Active,"0.18","50ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,HS3BBR5GCT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","100V","1V @ 3A"
"50pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.taiwansemi.com/products/datasheet/HS3AB%20SERIES_K1701.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/HS3JB-R5G/HS3JBR5GCT-ND/7357739,"","","","","","","","","3A","10µA @ 600V",DIODE GEN PURP 600V 3A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.107000",Active,Taiwan Semiconductor Corporation,HS3JB R5G,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"182",Active,"0.18","75ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,HS3JBR5GCT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","600V","1.7V @ 3A"
"",=Part Number,Datasheet,http://www.vishay.com/docs/89462/murs140.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/MURS160-M3-52T/MURS160-M3-52TGICT-ND/5231553,"","","","","","","","","1A","5µA @ 600V",DIODE GEN PURP 600V 2A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.103000",Active,Vishay Semiconductor Diodes Division,MURS160-M3/52T,"1",Surface Mount,-65°C ~ 175°C,"DO-214AA, SMB",TapeAndReel,"183",Active,"0.18","75ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,MURS160-M3/52TGICT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","600V","1.25V @ 1A"
"30pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds15004.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/RS2G-13-F/RS2G-FDICT-ND/815918,"","","","","","","","","1.5A","5µA @ 400V",DIODE GEN PURP 400V 1.5A SMB,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.100000",Active,Diodes Incorporated,RS2G-13-F,"1",Surface Mount,-65°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"184",Active,"0.18","150ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,RS2G-FDICT-ND,"","","","","","","","","","",SMB,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","400V","1.3V @ 1.5A"
"30pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.taiwansemi.com/products/datasheet/HS2A%20SERIES_K1701.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/HS2K-R5G/HS2KR5GCT-ND/7357706,"","","","","","","","","2A","5µA @ 800V",DIODE GEN PURP 800V 2A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.097000",Active,Taiwan Semiconductor Corporation,HS2K R5G,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"185",Active,"0.19","75ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,HS2KR5GCT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","800V","1.7V @ 2A"
"20pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.taiwansemi.com/products/datasheet/ES2A%20SERIES_K1701.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/ES2J-R5G/ES2JR5GCT-ND/7357531,"","","","","","","","","2A","10µA @ 600V",DIODE GEN PURP 600V 2A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.087000",Active,Taiwan Semiconductor Corporation,ES2J R5G,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"186",Active,"0.20","35ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,ES2JR5GCT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","600V","1.7V @ 2A"
