"Applications","Capacitance @ Frequency","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Surge","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Maximum AC Volts","Maximum DC Volts","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Type","Value","Varistor Voltage (Min)","Varistor Voltage (Typ)","Varistor Voltage (Max)"
Circuit Protection,"3600 pF @ 1 kHz",=Part Number,Datasheet,https://www.bourns.com/docs/Product-Datasheets/MOV14D.pdf,DigiKey Link,https://www.digikey.com/en/products/detail/bourns-inc/MOV-14D560KTR/2798318,,,,,,,,,"1 kA",VARISTOR 56V 1KA DISC 14MM,,,,footprints/TVS - MOVs/PCB - TVS - MOVs - TH 2 PIN.PcbLib,,,RV_Disc_D1550_W440_P750,,,,,,,,"35V","45V",Bourns Inc,MOV-14D560KTR,"1",Through Hole,-40°C ~ 85°C (TA),Disc 14mm,,"1",,,,,,DigiKey,MOV-14D560KTRTR-ND,,,,,,,,,,,symbols/TVS/SCH - TVS - MOVs.SCHLIB,Varistor,,,,"50V","52V","62V"
Circuit Protection,"1100 pF @ 1 kHz",=Part Number,Datasheet,https://www.tdk-electronics.tdk.com/inf/75/db/CTVS_14/Standard_series.pdf,DigiKey Link,https://www.digikey.cn/en/products/detail/epcos-tdk-electronics/B72520T0300K062/1091376,SZLCSC,https://item.szlcsc.com/177158.html,,,,,,,"200A",VARISTOR 47V 200A 1206,,,,footprints/TVS - MOVs/PCB - TVS - MOVs - MOV 1206_3216 1.0MM.PcbLib,,,MOV 1206_3216 1.0MM,,,"1.07mm",,,,,"30V","38V",EPCOS - TDK Electronics,B72520T0300K062,,"Surface Mount, MLCV",-55°C ~ 125°C (TA),"1206 (3216 Metric)",,,,,,,,Digikey,"495-2602-2-ND",SZLCSC,C165775,,,,,,,,,symbols/TVS/SCH - TVS - MOVs.SCHLIB,Varistor,,,,"42.3V","47V","51.7V"
