"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Connector Type","Current Rating (Amps)","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Gender","Ingress Protection","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Mating Cycles","Minimum Order","Mounting Feature","Mounting Type","Number of Contacts","Number of Ports","Operating Temperature","Packaging","Part Status","Price","Series","Shielding","Specifications","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Termination","Type","Value","Voltage - Rated"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20210907/710715671108C1B4AC840DDE52C701D3.pdf,立创商城,https://item.szlcsc.com/3132590.html,,,,,,,,,USB - C (Type - C),"3A",CONN RCPT USB3.1 TYPEC 24POS SMD,,立贴,,,,HC-ACM009-1A1H1K003-0HR,,,,,,,HCTL(华灿天禄),HC-ACM009-1A1H1K003-0HR,,"1","Vertical, Mid Mount","Surface Mount, Vertical","24","1",-25°C ~ 85°C,,,,,,"USB 3.1 (USB 3.1 Gen 2, Superspeed+)",立创商城,C2894914,,,,,,,,,,,,Connector_USB\USB-TYPEC-24P,Solder,,,"30V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20210607/C2837092_4B7D50FE42E911C84B6EC978FAA417B2.pdf,立创商城,https://item.szlcsc.com/3006460.html,,,,,,,,,USB - C (Type - C),"5A",CONN RCPT USB3.1 TYPEC 16POS SMD,,-,footprints/Connector - USB/PCB - CONNECTOR - USB - G-SWITCH GT-USB-7010B.PcbLib,,,,,,,,,,G-Switch(品赞),GT-USB-7010B,,"1",Mid Mount,Surface Mount,"16","1",-25°C ~ 85°C,,,,,,"USB 3.1 (USB 3.1 Gen 2, Superspeed+)",立创商城,C2837092,,,,,,,,,,,,Connector_USB\USB-TYPEC-16P,Solder,,,"30V"
