"Applications","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Output (Max)","Current - Supply","Delay Time - OFF","Delay Time - ON","Description","Device Package","FET Type","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Internal Switch(s)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Ratio - Input:Output","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - Supply"
"Battery Backup, Industrial/Automotive, High Current Switch",=Part Number,Datasheet,http://www.linear.com/docs/9037,DigiKey Link,http://digikey.com/product-detail/en/linear-technology-analog-devices/LTC4414EMS8-PBF/LTC4414EMS8-PBF-ND/1620230,"","","","","","","","","","33µA","20µs","600µs",IC OR CTRLR SRC SELECT 8MSOP,"8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",P-Channel,footprints/Leaded - SOP/PCB - LEADED - SOP - ANALOG MSOP-8 RM-8.PCBLIB,"","",ANALOG MSOP-8 RM-8,"","",No,"2020-02-02 11:30:25.917000",Active,Linear Technology/Analog Devices,LTC4414EMS8#PBF,"1",Surface Mount,-40°C ~ 85°C,"8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",Tube,Active,"4.49","2:1",PowerPath™,DigiKey,LTC4414EMS8#PBF-ND,"","","","","","","","","","","8-MSOP",symbols/Power - Controller/SCH - POWER - CONTROLLER - ANALOG LTC4414.SCHLIB,ANALOG LTC4414,Source Selector Switch,"","3V ~ 36V"
"Battery Backup, Industrial/Automotive, High Current Switch",=Part Number,Datasheet,http://www.linear.com/docs/9037,DigiKey Link,http://digikey.com/product-detail/en/linear-technology-analog-devices/LTC4414IMS8-PBF/LTC4414IMS8-PBF-ND/1620227,"","","","","","","","","","31µA","20µs","600µs",IC OR CTRLR SRC SELECT 8MSOP,"8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",P-Channel,footprints/Leaded - SOP/PCB - LEADED - SOP - ANALOG MSOP-8 RM-8.PCBLIB,"","",ANALOG MSOP-8 RM-8,"","",No,"2020-02-02 11:30:38.270000",Active,Linear Technology/Analog Devices,LTC4414IMS8#PBF,"1",Surface Mount,-40°C ~ 125°C,"8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",Tube,Active,"4.97","2:1",PowerPath™,DigiKey,LTC4414IMS8#PBF-ND,"","","","","","","","","","","8-MSOP",symbols/Power - Controller/SCH - POWER - CONTROLLER - ANALOG LTC4414.SCHLIB,ANALOG LTC4414,Source Selector Switch,"","3V ~ 36V"
