"Actuator Type","Circuit","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current Rating (Amps)","Description","Device Package","Differential Travel","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Ingress Protection","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Force","Operating Temperature","Overtravel","Packaging","Part Status","Pretravel","Price","Release Force","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Switch Function","Library Path","Library Ref","Termination Style","Type","Value","Voltage Rating - AC","Voltage Rating - DC"
Angled Toggle (Detector),SPST-NO,=Part Number,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000C12.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ESE-22MV21T/P13585SCT-ND/1245512,"","","","","","","","","10mA (DC)",SWITCH DETECTOR SPST-NO 10MA 5V,"","",Board Guide,footprints/Switch/PCB - SWITCH - PANASONIC ESE22MV21.PcbLib,"","",PANASONIC ESE22MV21,"","","","2020-04-09 09:53:54.203000",Active,Panasonic Electronic Components,ESE-22MV21T,"1",Surface Mount,"30gf",-10°C ~ 70°C,"",TapeAndReel,Active,"","0.26","",ESE22,DigiKey,P13585SCT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,SMD (SMT) Tab,"","","","5V"
Angled Toggle (Detector),SPST-NO,=Part Number,Datasheet,https://dznh3ojzb2azq.cloudfront.net/products/Detect/HDT/documents/datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/c-k/HDT0001/401-1733-1-ND/948513,"","","","","","","","","1mA (DC)",SWITCH DETECTOR SPST-NO 1MA 5V,"","",Board Guide,footprints/Switch/PCB - SWITCH - C&K HDT.PcbLib,"","",C&K HDT,"","","","2020-04-09 09:54:33.927000",Active,C&K,HDT0001,"1",Surface Mount,"35gf",-40°C ~ 85°C,"0.039 (1.0mm)",TapeAndReel,Active,"0.012 (0.3mm)","0.69","",HDT,DigiKey,"401-1733-1-ND","","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 4 PIN.SCHLIB,SPST-NO 4 PIN,SMD (SMT) Tab,"","","","5V"
