"Battery Cell Size","Battery Series","Battery Type, Function","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height Above Board","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Cells","Operating Temperature","Packaging","PartId","Part Status","Price","Series","Style","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Termination Style","Type","Value"
AA,"","Cylindrical, Holder",=Part Number,Datasheet,http://keyelco.com/userAssets/file/M65p28.pdf,DigiKey Link,//digikey.com/product-detail/en/keystone-electronics/2462/36-2462-ND/303811,"","","","","","","","",BATTERY HOLDER AA 2 CELL PC PIN,"","",footprints/Battery Holder/PCB - BATTERY HOLDER - KEYSTONE 2462.PCBLIB,"","",KEYSTONE 2462,"","","0.630 (16.00mm)","2019-12-03 00:18:49.157000","0",Keystone Electronics,"2462","1","PCB, Through Hole","2","",Unknown,"1",Active,"1.15",-,Holder (Open),DigiKey,"36-2462-ND","","","","","","","","","","",symbols/Battery/SCH - BATTERY - KEYSTONE 2462.SCHLIB,KEYSTONE 2462,PC Pin,"",""
"18650","","Cylindrical, Holder",=Part Number,Datasheet,http://keyelco.com/userAssets/file/M65p27.pdf,DigiKey Link,http://digikey.com/product-detail/en/keystone-electronics/1043/36-1043-ND/2745669,"","","","","","","","",BATTERY HOLDER 18650 PC PIN,"","",footprints/Battery Holder/PCB - BATTERY HOLDER - KEYSTONE 1043.PCBLIB,"","",KEYSTONE 1043,"","","0.585 (14.86mm)","2020-02-02 09:19:55.877000",Active,Keystone Electronics,"1043","1","PCB, Through Hole","1",-50°C ~ 145°C,Unknown,"2",Active,"2.58",-,Holder (Open),DigiKey,"36-1043-ND","","","","","","","","","","",symbols/Battery/SCH - BATTERY - KEYSTONE 1043.SCHLIB,KEYSTONE 1043,PC Pin,"",""
