"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
"RF, Microwave, High Frequency","2.7pF",=Value,"","",DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/885392004006/732-13220-1-ND/9816431,"","","","","","","","",CAP CER 2.7PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:09.857000","","",Active,Würth Elektronik,"885392004006","1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"115",Active,"0.03","",WCAP-CSRF,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"732-13220-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.1pF,"","2.7pF","25V"
"RF, Microwave, High Frequency","3.3pF",=Value,"","",DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/885392004007/732-13221-1-ND/9816432,"","","","","","","","",CAP CER 3.3PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:09.747000","","",Active,Würth Elektronik,"885392004007","1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"116",Active,"0.03","",WCAP-CSRF,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"732-13221-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.1pF,"","3.3pF","25V"
General Purpose,"2.2pF",=Value,Datasheet,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GRM0335C1E2R2BA01D/490-11292-1-ND/5333132,"","","","","","","","",CAP CER 2.2PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:09.660000","","",Active,Murata Electronics,GRM0335C1E2R2BA01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"117",Active,"0.10","",GRM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-11292-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.1pF,"","2.2pF","25V"
General Purpose,"0.22uF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033C80J224ME90-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GRM033C80J224ME90D/490-9982-1-ND/5026268,"","","","","","","","",CAP CER 0.22UF 6.3V X6S 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:09.563000","","",Active,Murata Electronics,GRM033C80J224ME90D,"1","Surface Mount, MLCC",-55°C ~ 105°C,"0201 (0603 Metric)",TapeAndReel,"118",Active,"0.01","",GRM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-9982-1-ND","","","","","","","","","","",,capacitors\capacitor,X6S,"0.013 (0.33mm)",±20%,"","0.22uF","6.3V"
General Purpose,"0.1uF",=Value,Datasheet,http://datasheets.avx.com/cx5r.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/02016D104MAT4A/478-12445-1-ND/9749297,"","","","","","","","",CAP CER 0.1UF 6.3V X5R 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:09.477000","","",Active,AVX Corporation,"02016D104MAT4A","1","Surface Mount, MLCC",-55°C ~ 85°C,"0201 (0603 Metric)",TapeAndReel,"119",Active,"0.01","",-,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"478-12445-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.013 (0.33mm)",±20%,"","0.1uF","6.3V"
General Purpose,"10000pF",=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_25.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/CC0201KRX5R8BB103/311-1598-1-ND/5195500,"","","","","","","","",CAP CER 10000PF 25V X5R 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:09.393000","","",Active,Yageo,CC0201KRX5R8BB103,"1","Surface Mount, MLCC",-55°C ~ 85°C,"0201 (0603 Metric)",CutTape,"120",Active,"0.10","",CC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"311-1598-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.013 (0.33mm)",±10%,"","10000pF","25V"
"RF, Microwave, High Frequency","6.8pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1H6R8CB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1H6R8CB01D/490-17209-1-ND/7602208,"","","","","","","","",CAP CER 6.8PF 50V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:09.303000","","",Active,Murata Electronics,GJM0335C1H6R8CB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"121",Active,"0.01","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-17209-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.25pF,"","6.8pF","50V"
General Purpose,"0.4pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1HR40WA01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GRM0335C1HR40WA01D/490-17824-1-ND/8540060,"","","","","","","","",CAP CER 0.4PF 50V NP0 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:09.207000","","",Active,Murata Electronics,GRM0335C1HR40WA01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"122",Active,"0.01","",GRM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-17824-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","0.4pF","50V"
General Purpose,"1500pF",=Value,Datasheet,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GRM033R71C152KA01D/490-5406-1-ND/2175213,"","","","","","","","",CAP CER 1500PF 16V X7R 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:09.117000","","",Active,Murata Electronics,GRM033R71C152KA01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"123",Active,"0.10","",GRM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-5406-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.013 (0.33mm)",±10%,"","1500pF","16V"
General Purpose,"0.5pF",=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_17.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/CC0201CRNPO8BNR50/311-3672-1-ND/8024761,"","","","","","","","",CAP CER 0.5PF 25V NPO 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:09.027000","","",Active,Yageo,CC0201CRNPO8BNR50,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"124",Active,"0.10","",CC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"311-3672-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.25pF,"","0.5pF","25V"
"Automotive, SMPS Filtering","6.2pF",=Value,Datasheet,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=UMK063CG6R2DTHF &u=M,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/UMK063CG6R2DTHF/587-5350-1-ND/7066212,"","","","","","","","",CAP CER 6.2PF 50V C0G/NP0 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:08.937000","","",Active,Taiyo Yuden,UMK063CG6R2DTHF,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"125",Active,"0.01",AEC-Q200,M,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"587-5350-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.5pF,"","6.2pF","50V"
General Purpose,"6.8pF",=Value,Datasheet,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=UMK063CG6R8DT-F  &u=M,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/UMK063CG6R8DT-F/587-3187-1-ND/3195033,"","","","","","","","",CAP CER 6.8PF 50V NP0 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:08.840000","","",Active,Taiyo Yuden,UMK063CG6R8DT-F,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"126",Active,"0.01","",M,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"587-3187-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.5pF,"","6.8pF","50V"
