"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Control Features","Current - Output","Current - Quiescent (Iq)","Current - Supply (Max)","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Regulators","Operating Temperature","Output Configuration","Output Type","Package / Case","Packaging","Part Status","Price","Protection Features","PSRR","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage Dropout (Max)","Voltage - Input (Max)","Voltage - Output (Max)","Voltage - Output (Min/Fixed)"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/AP7313.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/AP7313-18SRG-7/AP7313-18SRG-7DICT-ND/2270839,"","","","","","","","","","150mA","75µA","85µA",IC REG LIN 1.8V 150MA SOT23R-3,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - DIODES SOT-23-3.PCBLIB,"","",DIODES SOT-23-3,"","","2020-09-02 01:24:49.567000",Active,Diodes Incorporated,AP7313-18SRG-7,"1",Surface Mount,"1",-40°C ~ 85°C,Positive,Fixed,"TO-236-3, SC-59, SOT-23-3",TapeAndReel,Active,"0.10","Over Current, Over Temperature, Short Circuit","65dB (100Hz)",-,DigiKey,AP7313-18SRG-7DICT-ND,"","","","","","","","","","",SOT-23R-3,symbols/Power - Linear VReg/SCH - POWER - LINEAR VREG - DIODES INC AP7313R.SCHLIB,DIODES INC AP7313R,"","","","6V","","1.8V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/AP7381.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/AP7381-50Y-13/AP7381-50Y-13DICT-ND/7914857,"","","","","","","","","","150mA","2.5µA","25µA",IC REG LINEAR 5V 150MA SOT89,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES INC SOT-89.PCBLIB,"","",DIODES INC SOT-89,"","","2020-09-02 01:24:49.933000",Active,Diodes Incorporated,AP7381-50Y-13,"1",Surface Mount,"1",-40°C ~ 125°C (TJ),Positive,Fixed,TO-243AA,TapeAndReel,Active,"0.10","Current Limit, Thermal Shutdown","",-,DigiKey,AP7381-50Y-13DICT-ND,"","","","","","","","","","",SOT-89,symbols/Power - Linear VReg/SCH - POWER - LINEAR VREG - DIODES INC AP7381.SCHLIB,DIODES INC AP7381,"","","1V @ 100mA","40V","","5V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/AP7381.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/AP7381-33Y-13/AP7381-33Y-13DICT-ND/7914856,"","","","","","","","","","150mA","2.5µA","25µA",IC REG LINEAR 3.3V 150MA SOT89,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES INC SOT-89.PCBLIB,"","",DIODES INC SOT-89,"","","2020-09-02 01:24:49.910000",Active,Diodes Incorporated,AP7381-33Y-13,"1",Surface Mount,"1",-40°C ~ 125°C (TJ),Positive,Fixed,TO-243AA,TapeAndReel,Active,"0.10","Current Limit, Thermal Shutdown","",-,DigiKey,AP7381-33Y-13DICT-ND,"","","","","","","","","","",SOT-89,symbols/Power - Linear VReg/SCH - POWER - LINEAR VREG - DIODES INC AP7381.SCHLIB,DIODES INC AP7381,"","","1V @ 100mA","40V","","3.3V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ZLDO485.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/ZLDO485T8TA/ZLDO485T8CT-ND/243070,"","","","","","","","",Low Battery Detection,"300mA","1mA","",IC REG LINEAR 4.85V 300MA SM8,"",footprints/Leaded - Misc/PCB - LEADED - MISC - DIODES SM-8.PCBLIB,"","",DIODES SM-8,"","","2020-09-02 01:24:50.330000",Active,Diodes Incorporated,ZLDO485T8TA,"1",Surface Mount,"1",-40°C ~ 85°C,Positive,Fixed,"8-SMD, Gull Wing",TapeAndReel,Active,"0.68",Over Temperature,"",-,DigiKey,ZLDO485T8CT-ND,"","","","","","","","","","",SM-8,symbols/Power - Linear VReg/SCH - POWER - LINEAR VREG - DIODES INC ZLDO.SCHLIB,DIODES INC ZLDO,"","","0.2V @ 300mA","20V","","4.85V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ZLDO500.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/ZLDO500T8TA/ZLDO500T8CT-ND/243071,"","","","","","","","",Low Battery Detection,"300mA","1mA","",IC REG LINEAR 5V 300MA SM8,"",footprints/Leaded - Misc/PCB - LEADED - MISC - DIODES SM-8.PCBLIB,"","",DIODES SM-8,"","","2020-09-02 01:24:50.313000",Active,Diodes Incorporated,ZLDO500T8TA,"1",Surface Mount,"1",-40°C ~ 85°C,Positive,Fixed,"8-SMD, Gull Wing",TapeAndReel,Active,"0.68",Over Temperature,"",-,DigiKey,ZLDO500T8CT-ND,"","","","","","","","","","",SM-8,symbols/Power - Linear VReg/SCH - POWER - LINEAR VREG - DIODES INC ZLDO.SCHLIB,DIODES INC ZLDO,"","","0.2V @ 300mA","20V","","5V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ZLDO330.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/ZLDO330T8TA/ZLDO330T8CT-ND/243069,"","","","","","","","",Low Battery Detection,"300mA","1mA","",IC REG LINEAR 3.3V 300MA SM8,"",footprints/Leaded - Misc/PCB - LEADED - MISC - DIODES SM-8.PCBLIB,"","",DIODES SM-8,"","","2020-09-02 01:24:50.293000",Active,Diodes Incorporated,ZLDO330T8TA,"1",Surface Mount,"1",-40°C ~ 85°C,Positive,Fixed,"8-SMD, Gull Wing",TapeAndReel,Active,"0.68",Over Temperature,"",-,DigiKey,ZLDO330T8CT-ND,"","","","","","","","","","",SM-8,symbols/Power - Linear VReg/SCH - POWER - LINEAR VREG - DIODES INC ZLDO.SCHLIB,DIODES INC ZLDO,"","","0.2V @ 300mA","20V","","3.3V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/AP2112.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/AP2112K-3.3TRG1/AP2112K-3.3TRG1DICT-ND/4505257,"","","","","","","","",Enable,"600mA","80µA","",IC REG LINEAR 3.3V 600MA SOT25,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - DIODES SOT-23-5 W5.PCBLIB,"","",DIODES SOT-23-5 W5,"","","2020-09-02 01:25:56.160000",Active,Diodes Incorporated,AP2112K-3.3TRG1,"1",Surface Mount,"1",-40°C ~ 85°C,Positive,Fixed,"SC-74A, SOT-753",TapeAndReel,Active,"0.10","Over Current, Over Temperature","65sB (100Hz ~ 1KHz)",-,DigiKey,AP2112K-3.3TRG1DICT-ND,"","","","","","","","","","",SOT-25,symbols/Power - Linear VReg/SCH - POWER - LINEAR VREG - DIODES INC AP2112K.SchLib,DIODES INC AP2112K,"","","0.4V @ 600mA","6V","","3.3V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/AP2112.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/AP2112K-1.8TRG1/AP2112K-1.8TRG1DICT-ND/4505256,"","","","","","","","",Enable,"600mA","80µA","",IC REG LINEAR 1.8V 600MA SOT25,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - DIODES SOT-23-5 W5.PCBLIB,"","",DIODES SOT-23-5 W5,"","","2020-09-02 01:25:56.140000",Active,Diodes Incorporated,AP2112K-1.8TRG1,"1",Surface Mount,"1",-40°C ~ 85°C,Positive,Fixed,"SC-74A, SOT-753",TapeAndReel,Active,"0.10","Over Current, Over Temperature","65sB (100Hz ~ 1KHz)",-,DigiKey,AP2112K-1.8TRG1DICT-ND,"","","","","","","","","","",SOT-25,symbols/Power - Linear VReg/SCH - POWER - LINEAR VREG - DIODES INC AP2112K.SchLib,DIODES INC AP2112K,"","","0.7V @ 600mA","6V","","1.8V"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl1963a,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/TL1963A-18DCQR/296-24532-1-ND/2071151,"","","","","","","","",Enable,"1.5A","1mA","80mA",IC REG LINEAR 1.8V 1.5A SOT223-6,"",footprints/Leaded - SOT/PCB - LEADED - SOT - TI SOT-223-6 DCQ.PCBLIB,"","",TI SOT-223-6 DCQ,"","","2020-09-02 01:30:17.583000",Active,Texas Instruments,TL1963A-18DCQR,"1",Surface Mount,"1",-40°C ~ 125°C,Positive,Fixed,SOT-223-6,TapeAndReel,Active,"1.35","Over Current, Over Temperature, Reverse Polarity","63dB (120Hz)",-,DigiKey,"296-24532-1-ND","","","","","","","","","","",SOT-223-6,symbols/Power - Linear VReg/SCH - POWER - LINEAR VREG - TI TL1963A DCQ.SCHLIB,TI TL1963A DCQ,"","","0.55V @ 1.5A","20V","","1.8V"
=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl1963a,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/TL1963A-33DCQR/296-24534-1-ND/2071153,"","","","","","","","",Enable,"1.5A","1mA","80mA",IC REG LINEAR 3.3V 1.5A SOT223-6,"",footprints/Leaded - SOT/PCB - LEADED - SOT - TI SOT-223-6 DCQ.PCBLIB,"","",TI SOT-223-6 DCQ,"","","2020-09-02 01:30:17.603000",Active,Texas Instruments,TL1963A-33DCQR,"1",Surface Mount,"1",-40°C ~ 125°C,Positive,Fixed,SOT-223-6,TapeAndReel,Active,"1.35","Over Temperature, Reverse Polarity","63dB (120Hz)",-,DigiKey,"296-24534-1-ND","","","","","","","","","","",SOT-223-6,symbols/Power - Linear VReg/SCH - POWER - LINEAR VREG - TI TL1963A DCQ.SCHLIB,TI TL1963A DCQ,"","","0.55V @ 1.5A","20V","","3.3V"
