"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - DC Forward (If) (Max)","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Orientation","Package / Case","Packaging","Part Status","Price","Radiant Intensity (Ie) Min @ If","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value","Viewing Angle","Voltage - Forward (Vf) (Typ)","Wavelength"
=Part Number,Datasheet,https://dammedia.osram.info/media/resource/hires/osram-dam-2496307/SFH%204641.pdf,DigiKey Link,//digikey.com/product-detail/en/osram-opto-semiconductors-inc/SFH-4641-Z/475-2872-2-ND/2205961,"","","","","","","","","70mA",EMITTER IR 950NM 70MA MIDLED,"2-SMD, No Lead",footprints/LED/PCB - LED - OSRAM SFH 4641.PCBLIB,"","",OSRAM SFH 4641,"","","2019-12-09 02:30:24.023000","0",OSRAM Opto Semiconductors Inc.,SFH 4641-Z,"1",Surface Mount,-40°C ~ 100°C (TA),Top View,"2-SMD, No Lead",TapeAndReel,Active,"0.31","55mW/sr @ 70mA",MIDLED,DigiKey,"475-2872-2-ND","","","","","","","","","","",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,Infrared (IR),"","20°","1.6V","950nm"
=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Everlight%20PDFs/DHE-0003548_Rev3_1-24-19.pdf,DigiKey Link,http://digikey.com/product-detail/en/everlight-electronics-co-ltd/ELUA3535OG5-P0010U23240500-VD1M/1080-1617-1-ND/9951455,"","","","","","","","","1A",EMITTER UV 385NM 1000MA SMD,"1414 (3535 Metric)",footprints/LED/PCB - LED - Everlight 1414_3535.PCBLIB,"","",Everlight 1414_3535,"","","2020-03-30 15:13:32.993000",Active,Everlight Electronics Co Ltd,ELUA3535OG5-P0010U23240500-VD1M,"1",Surface Mount,-10°C ~ 100°C,Top View,"1414 (3535 Metric)",TapeAndReel,Active,"2.18","",ELUA3535OG5,DigiKey,"1080-1617-1-ND","","","","","","","","","","",symbols/Diodes/SCH - DIODES - LED W.THERMAL PAD.SCHLIB,LED W.THERMAL PAD,Ultraviolet (UV),"","50°","3.6V","405nm (400nm ~ 410nm)"
