"Applications","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - On State (It (RMS)) (Max)","Current - Non Rep Surge 50, 60Hz (Itsm)","Current - Gate Trigger (Igt) (Max)","Current - Hold (Ih) (Max)","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Triac Type","Value","Voltage - Off State","Voltage - Gate Trigger (Vgt) (Max)"
"",=Part Number,Datasheet,https://www.st.com/content/ccc/resource/technical/document/datasheet/81/19/20/e7/c8/45/42/c4/CD00002266.pdf/files/CD00002266.pdf/jcr:content/translations/en.CD00002266.pdf,DigiKey Link,https://www.digikey.cn/en/products/detail/stmicroelectronics/BTA08-600BRG/1037709,"","","","","","","","","8 A","80A, 84A","50 mA","50 mA",TRIAC 600V 8A TO220AB,TO-220,"","",footprints/Leaded - DPAK/PCB - LEADED - DPAK - ST TO-220AB.PcbLib,"","",ST TO-220AAB Vertical,"","","16mm","","","","",STMicroelectronics,BTA08-600BRG,"1",Through Hole,-40°C ~ 125°C (TJ),TO-220-3,"","1","","","","","",Digikey,"497-6663-5-ND","","","","","","","","","","",symbols/Thyristors - TRIACs/SCH - THYRISTORS - TRIACS - ST BTA.SchLib,ST BTA,Standard,"","600 V","1.3 V"
"",=Part Number,Datasheet,https://www.ween-semi.com/sites/default/files/2018-10/bt138-600e.pdf,DigiKey Link,https://www.digikey.com/en/products/detail/ween-semiconductors/BT138-600E-127/1155157,"","","","","","","","","12A","95A, 105A","10 mA","30 mA",TRIAC SENS GATE 600V 12A TO220AB,TO-220,"","",footprints/Leaded - DPAK/PCB - LEADED - DPAK - WeEn Semiconductors TO-220AB.PcbLib,"","",WeEn Semiconductors TO-220AAB Vertical,"","","16mm","","","","",WeEn Semiconductors,"BT138-600E,127","1",Through Hole,-40°C ~ 125°C (TJ),TO-220-3,"","2","","","","","",Digikey,"1740-1042-ND","","","","","","","","","","",symbols/Thyristors - TRIACs/SCH - THYRISTORS - TRIACS - WeEn Semiconductors BT13.SchLib,WeEn Semiconductors BT13,Standard,"","600 V","1.5 V"
