"Applications","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Control Features","Current - Output (Max)","Description","Device Package","Efficiency","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Outputs","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Power (Watts)","Price","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - Input (Max)","Voltage - Input (Min)","Voltage - Isolation","Voltage - Output 1","Voltage - Output 2","Voltage - Output 3","Voltage - Output 4"
"ITE (Commercial), Medical",=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxj1.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXJ1S1205MC-R7/811-3095-1-ND/5697922,"","","","","","","","","","200mA",DC DC CONVERTER 5V 1W,"","72%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXJ1.PCBLIB,"","",MURATA NXJ1,"","","2020-09-02 01:23:09.743000",Active,Murata Power Solutions Inc.,NXJ1S1205MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"11",Active,"1W","3.21",NXJ1 (1W),"0.54 L x 0.41 W x 0.17 H (13.7mm x 10.5mm x 4.4mm)",DigiKey,"811-3095-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXJ1.SCHLIB,MURATA NXJ1,Isolated Module,"","13.2V","10.8V","4.2kV","5V","","",""
"ITE (Commercial), Medical",=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxj1.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXJ1S1212MC-R7/811-3096-1-ND/5697923,"","","","","","","","","","83mA",DC DC CONVERTER 12V 1W,"","71%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXJ1.PCBLIB,"","",MURATA NXJ1,"","","2020-09-02 01:23:09.720000",Active,Murata Power Solutions Inc.,NXJ1S1212MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"12",Active,"1W","3.21",NXJ1 (1W),"0.54 L x 0.41 W x 0.17 H (13.7mm x 10.5mm x 4.4mm)",DigiKey,"811-3096-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXJ1.SCHLIB,MURATA NXJ1,Isolated Module,"","13.2V","10.8V","4.2kV","12V","","",""
"ITE (Commercial), Medical",=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxj1.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXJ1S0303MC-R7/811-3092-1-ND/5697919,"","","","","","","","","","333mA",DC DC CONVERTER 3.3V 1W,"","69.5%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXJ1.PCBLIB,"","",MURATA NXJ1,"","","2020-09-02 01:23:09.700000",Active,Murata Power Solutions Inc.,NXJ1S0303MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"13",Active,"1W","3.21",NXJ1 (1W),"0.54 L x 0.41 W x 0.17 H (13.7mm x 10.5mm x 4.4mm)",DigiKey,"811-3092-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXJ1.SCHLIB,MURATA NXJ1,Isolated Module,"","3.63V","2.97V","4.2kV","3.3V","","",""
"ITE (Commercial), Medical",=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxj1.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXJ1S0305MC-R7/811-3093-1-ND/5697920,"","","","","","","","","","200mA",DC DC CONVERTER 5V 1W,"","72%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXJ1.PCBLIB,"","",MURATA NXJ1,"","","2020-09-02 01:23:09.677000",Active,Murata Power Solutions Inc.,NXJ1S0305MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"14",Active,"1W","3.21",NXJ1 (1W),"0.54 L x 0.41 W x 0.17 H (13.7mm x 10.5mm x 4.4mm)",DigiKey,"811-3093-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXJ1.SCHLIB,MURATA NXJ1,Isolated Module,"","3.63V","2.97V","4.2kV","5V","","",""
ITE (Commercial),=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmz21701,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/LMZ21701SILT/296-38545-2-ND/5034142,"","","","","","","","","Enable, Active High","1A",DC DC CONVERTER 0.9-6V 6W,"8-SMD Module","95%","OCP, OTP, SCP, UVLO",footprints/Power Module/PCB - POWER MODULE - TI MICROSIP-8 SIL0008E.PCBLIB,"","",TI MICROSIP-8 SIL0008E,"","","2019-12-12 07:43:20.153000","0",Texas Instruments,LMZ21701SILT,"1",Surface Mount,"1",-40°C ~ 125°C,"8-SMD Module",TapeAndReel,"15",Active,"","2.94",SIMPLE SWITCHER® Nano,"0.14 L x 0.14 W x 0.07 H (3.5mm x 3.5mm x 1.8mm)",DigiKey,"296-38545-2-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - TI LMZ21701.SCHLIB,TI LMZ21701,Non-Isolated PoL Module,"","17V","3V","","0.9 ~ 6V","","",""
ITE (Commercial),=Part Number,Datasheet,https://www.cui.com/product/resource/digikeypdf/v78-500-smt.pdf,DigiKey Link,http://digikey.com/product-detail/en/cui-inc/V7812-500-SMT-TR/102-1959-1-ND/2057059,"","","","","","","","","Enable, Active High","500mA",DC DC CONVERTER 12V 6W,"","95%","Remote On/Off, OTP, SCP",footprints/Power Module/PCB - POWER MODULE - CUI V78.PCBLIB,"","",CUI V78,"","","2020-09-02 01:24:50.777000",Active,CUI Inc.,V7812-500-SMT-TR,"",Surface Mount,"1",-40°C ~ 85°C,"10-SMD Module, 6 Leads",TapeAndReel,"16",Active,"6W","5.71",V78-500-SMT,"0.60 L x 0.33 W x 0.29 H (15.2mm x 8.3mm x 7.3mm)",DigiKey,"102-1959-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - CUI V78.SCHLIB,CUI V78,Linear Regulator Replacement,"","28V","14V","","12V","","",""
ITE (Commercial),=Part Number,Datasheet,https://www.cui.com/product/resource/digikeypdf/v78-500-smt.pdf,DigiKey Link,http://digikey.com/product-detail/en/cui-inc/V7805-500-SMT-TR/102-1958-1-ND/2057058,"","","","","","","","","Enable, Active High","500mA",DC DC CONVERTER 5V 2.5W,"","94%","Remote On/Off, OTP, SCP",footprints/Power Module/PCB - POWER MODULE - CUI V78.PCBLIB,"","",CUI V78,"","","2020-09-02 01:24:50.757000",Active,CUI Inc.,V7805-500-SMT-TR,"1",Surface Mount,"1",-40°C ~ 85°C,"10-SMD Module, 6 Leads",TapeAndReel,"17",Active,"2.5W","5.71",V78-500-SMT,"0.60 L x 0.33 W x 0.29 H (15.2mm x 8.3mm x 7.3mm)",DigiKey,"102-1958-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - CUI V78.SCHLIB,CUI V78,Linear Regulator Replacement,"","28V","6V","","5V","","",""
ITE (Commercial),=Part Number,Datasheet,https://www.cui.com/product/resource/digikeypdf/v78-500-smt.pdf,DigiKey Link,http://digikey.com/product-detail/en/cui-inc/V7803-500-SMT-TR/102-1957-1-ND/2057057,"","","","","","","","","Enable, Active High","500mA",DC DC CONVERTER 3.3V 1.65W,"","90%","Remote On/Off, OTP, SCP",footprints/Power Module/PCB - POWER MODULE - CUI V78.PCBLIB,"","",CUI V78,"","","2020-09-02 01:24:50.737000",Active,CUI Inc.,V7803-500-SMT-TR,"1",Surface Mount,"1",-40°C ~ 85°C,"10-SMD Module, 6 Leads",TapeAndReel,"18",Active,"1.65W","5.71",V78-500-SMT,"0.60 L x 0.33 W x 0.29 H (15.2mm x 8.3mm x 7.3mm)",DigiKey,"102-1957-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - CUI V78.SCHLIB,CUI V78,Linear Regulator Replacement,"","28V","4.5V","","3.3V","","",""
ITE (Commercial),=Part Number,Datasheet,https://www.cui.com/product/resource/digikeypdf/v78-500-smt.pdf,DigiKey Link,http://digikey.com/product-detail/en/cui-inc/V7815-500-SMT-TR/102-1960-1-ND/2057060,"","","","","","","","","Enable, Active High","500mA",DC DC CONVERTER 15V 7.5W,"","96%","Remote On/Off, OTP, SCP",footprints/Power Module/PCB - POWER MODULE - CUI V78.PCBLIB,"","",CUI V78,"","","2020-09-02 01:24:50.713000",Active,CUI Inc.,V7815-500-SMT-TR,"",Surface Mount,"1",-40°C ~ 85°C,"10-SMD Module, 6 Leads",TapeAndReel,"19",Active,"7.5W","5.71",V78-500-SMT,"0.60 L x 0.33 W x 0.29 H (15.2mm x 8.3mm x 7.3mm)",DigiKey,"102-1960-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - CUI V78.SCHLIB,CUI V78,Linear Regulator Replacement,"","28V","17V","","15V","","",""
ITE (Commercial),=Part Number,Datasheet,https://www.cui.com/product/resource/digikeypdf/v78-1000-smt.pdf,DigiKey Link,http://digikey.com/product-detail/en/cui-inc/V7803-1000-SMT-TR/102-2504-1-ND/2803551,"","","","","","","","","Enable, Active High","1A",DC DC CONVERTER 3.3V 3W,"","84%","Remote On/Off, OTP, SCP",footprints/Power Module/PCB - POWER MODULE - CUI V78.PCBLIB,"","",CUI V78,"","","2020-09-02 01:24:51.183000",Active,CUI Inc.,V7803-1000-SMT-TR,"",Surface Mount,"1",-40°C ~ 85°C,"10-SMD Module, 6 Leads",TapeAndReel,"20",Active,"3W","7.09",V78-1000-SMT,"0.60 L x 0.33 W x 0.29 H (15.2mm x 8.5mm x 7.3mm)",DigiKey,"102-2504-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - CUI V78.SCHLIB,CUI V78,Linear Regulator Replacement,"","18V","5V","","3.3V","","",""
