"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current Rating (Amps)","Current - Saturation","DC Resistance (DCR)","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency - Self Resonant","Height - Seated (Max)","Inductance","Inductance Frequency - Test","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Material - Core","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Q @ Freq","Ratings","Series","Shielding","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Tolerance","Type","Value"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN33NJ8ZD/490-15410-1-ND/6800075,"","","","","","","","","620mA","","336mOhm Max",FIXED IND 33NH 620MA 336 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","3.6GHz","0.024 (0.60mm)","33nH","100MHz","2020-09-02 01:22:27.493000",Active,Murata Electronics,LQW15AN33NJ8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"194",Active,"0.07","30 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15410-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±5%,Wirewound,"33nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN9N5G8ZD/490-15617-1-ND/6800282,"","","","","","","","","1.4A","","81mOhm Max",FIXED IND 9.5NH 1.4A 81 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","6GHz","0.024 (0.60mm)","9.5nH","100MHz","2020-09-02 01:22:27.487000",Active,Murata Electronics,LQW15AN9N5G8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"195",Active,"0.08","32 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15617-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±2%,Wirewound,"9.5nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN1N3D8ZD/490-15352-1-ND/6800017,"","","","","","","","","3.15A","","12mOhm Max",FIXED IND 1.3NH 3.15A 12 MOHM,"0402 (1005 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","18GHz","0.024 (0.60mm)","1.3nH","100MHz","2020-09-02 01:22:27.483000",Active,Murata Electronics,LQW15AN1N3D8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"196",Active,"0.07","20 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15352-1-ND","","","","","","","","","","","0402 (1005 Metric)",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±0.5nH,Wirewound,"1.3nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN30NG8ZD/490-15407-1-ND/6800072,"","","","","","","","","660mA","","309mOhm Max",FIXED IND 30NH 660MA 309 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","3.8GHz","0.024 (0.60mm)","30nH","100MHz","2020-09-02 01:22:27.480000",Active,Murata Electronics,LQW15AN30NG8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"197",Active,"0.08","30 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15407-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±2%,Wirewound,"30nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN14NG8ZD/490-15339-1-ND/6800004,"","","","","","","","","1.15A","","111mOhm Max",FIXED IND 14NH 1.15A 111 MOHM,"0402 (1005 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","5.2GHz","0.024 (0.60mm)","14nH","100MHz","2020-09-02 01:22:27.477000",Active,Murata Electronics,LQW15AN14NG8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"198",Active,"0.08","31 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15339-1-ND","","","","","","","","","","","0402 (1005 Metric)",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±2%,Wirewound,"14nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN56NG8ZD/490-15495-1-ND/6800160,"","","","","","","","","340mA","","996mOhm Max",FIXED IND 56NH 340MA 996 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","2.9GHz","0.024 (0.60mm)","56nH","100MHz","2020-09-02 01:22:27.470000",Active,Murata Electronics,LQW15AN56NG8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"199",Active,"0.08","25 @ 200MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15495-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±2%,Wirewound,"56nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN5N0B8ZD/490-15497-1-ND/6800162,"","","","","","","","","1.77A","","40mOhm Max",FIXED IND 5NH 1.77A 40 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","10GHz","0.024 (0.60mm)","5nH","100MHz","2020-09-02 01:22:27.467000",Active,Murata Electronics,LQW15AN5N0B8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"200",Active,"0.08","32 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15497-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±0.1nH,Wirewound,"5nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN22NJ8ZD/490-15364-1-ND/6800029,"","","","","","","","","780mA","","202mOhm Max",FIXED IND 22NH 780MA 202 MOHM,"0402 (1005 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","4.5GHz","0.024 (0.60mm)","22nH","100MHz","2020-09-02 01:22:27.460000",Active,Murata Electronics,LQW15AN22NJ8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"201",Active,"0.07","30 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15364-1-ND","","","","","","","","","","","0402 (1005 Metric)",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±5%,Wirewound,"22nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN4N4B8ZD/490-15467-1-ND/6800132,"","","","","","","","","1.6A","","52mOhm Max",FIXED IND 4.4NH 1.6A 52 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","9.6GHz","0.024 (0.60mm)","4.4nH","100MHz","2020-09-02 01:22:27.457000",Active,Murata Electronics,LQW15AN4N4B8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"202",Active,"0.08","34 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15467-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±0.1nH,Wirewound,"4.4nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN7N1G80D/490-7671-1-ND/4292200,"","","","","","","","","1.42A","","69mOhm Max",FIXED IND 7.1NH 1.42A 69 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","7GHz","0.024 (0.60mm)","7.1nH","100MHz","2020-09-02 01:22:27.453000",Active,Murata Electronics,LQW15AN7N1G80D,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"203",Active,"0.08","32 @ 250MHz","",LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-7671-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±2%,Wirewound,"7.1nH"
