"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Timekeeping (Max)","Date Format","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Memory Size","Minimum Order","Mounting Type","Operating Temperature","Interface","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Time Format","Type","Value","Voltage - Supply","Voltage - Supply, Battery"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20171204/C143289_15123771759421162560.pdf,SZLCSC,https://item.szlcsc.com/154620.html,,,,,,,,,"150µA @ 5.5V",YY-MM-DD-dd,IC RTC CLK/CALENDAR I2C 8-SOIC,,,"Leap Year, Trickle-Charger",footprints/Leaded - SOIC/PCB - LEADED - SOIC - MAXIM SOIC-8 150MIL WIDE.PCBLIB,,,MAXIM SOIC-8 150mil Wide,,,"1.7mm",,,,,Analog Devices Inc./Maxim Integrated,DS1340Z-33+,-,,Surface Mount,-40°C ~ 85°C,"I²C, 2-Wire Serial","8-SOIC (0.154"", 3.90mm Width)",,,,,,,,SZLCSC,C143289,,,,,,,,,,,symbols/Clock Timing/SCH - CLOCK TIMING - MAXIM DS1340Z-33.SchLib,MAXIM DS1340 8PIN,HH:MM:SS (24 hr),Clock/Calendar,,"2.97V ~ 5.5V","1.3V ~ 5.5V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20190830/C404360_2F3F6A734682580FE5C4C8EBC2B385C2.pdf,SZLCSC,https://item.szlcsc.com/391697.html,,,,,,,,,"0.6µA @ 3.3V",YY-MM-DD-dd,IC RTC CLK/CALENDAR I2C 10-SON,"10-DFN (2.6x2.6)",,,footprints/Leadless - DFN/PCB - LEADLESS - DFN - NXP DFN2626-10.PCBLIB,,,PQFN50P260X260X50_HS-11N,,,,,,,,NXP USA Inc.,"PCF85063ATL/1,118",-,"1",Surface Mount,-40°C ~ 85°C,"I²C, 2-Wire Serial","10-XFDFN Exposed Pad",,,,,,,,SZLCSC,C404360,Digikey,"568-10235-2-ND",,,,,,,,,symbols/Clock Timing/SCH - CLOCK TIMING - NXP PCF85063A.SchLib,NXP PCF85063A,HH:MM:SS (12/24 hr),Clock/Calendar,,"0.9V ~ 5.5V",-
