"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","ESR (Equivalent Series Resistance)","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","Impedance","LastUpdated","Lead Spacing","Lifecycle Status","Lifetime @ Temp","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Polarization","Price","Ratings","Ripple Current @ High Frequency","Ripple Current @ Low Frequency","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Surface Mount Land Size","Library Path","Library Ref","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"330uF",=Value,Datasheet,https://katalog.we-online.de/pbs/datasheet/865060453008.pdf,DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/865060453008/732-8537-1-ND/5728494,"","","","","","","","",CAP 330 UF 20% 25 V,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","170 mOhms","2020-09-02 01:25:15.320000","",Active,"5000 Hrs @ 105°C",Würth Elektronik,"865060453008","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"7530",Active,Polar,"0.50","","600mA @ 100kHz","390mA @ 120Hz",WCAP-ASLL,"0.315 Dia (8.00mm)",DigiKey,"732-8537-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","330uF","25V"
General Purpose,"10uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-uux.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/UUX2A100MNL1GS/493-6279-1-ND/3438792,"","","","","","","","",CAP ALUM 10UF 20% 100V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","","2020-09-02 01:25:15.300000","",Active,"2000 Hrs @ 105°C",Nichicon,UUX2A100MNL1GS,"1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"7531",Active,Polar,"0.18","","125.25mA @ 10kHz","75mA @ 120Hz",UUX,"0.315 Dia (8.00mm)",DigiKey,"493-6279-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","10uF","100V"
General Purpose,"47uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/UUR1J470MNL1GS/493-6235-1-ND/3438748,"","","","","","","","",CAP ALUM 47UF 20% 63V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","","2020-09-02 01:25:15.293000","",Active,"2000 Hrs @ 85°C",Nichicon,UUR1J470MNL1GS,"1",Surface Mount,-40°C ~ 85°C,"Radial, Can - SMD",TapeAndReel,"7532",Active,"","0.17","","233.8mA @ 10kHz","140mA @ 120Hz",UUR,"0.315 Dia (8.00mm)",DigiKey,"493-6235-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","47uF","63V"
Automotive,"100uF",=Value,Datasheet,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_tzv.pdf,DigiKey Link,http://digikey.com/product-detail/en/rubycon/50TZV100M8X10.5/1189-1651-1-ND/3134608,"","","","","","","","",CAP ALUM 100UF 20% 50V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","340 mOhms","2020-09-02 01:25:15.290000","",Active,"2000 Hrs @ 105°C",Rubycon,"50TZV100M8X10.5","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"7533",Active,Polar,"0.21",AEC-Q200,"350mA @ 100kHz","175mA @ 120Hz",TZV,"0.315 Dia (8.00mm)",DigiKey,"1189-1651-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","100uF","50V"
Automotive,"47uF",=Value,Datasheet,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_THV.pdf,DigiKey Link,http://digikey.com/product-detail/en/rubycon/50THV47M8X10.5/1189-2058-1-ND/3986977,"","","","","","","","",CAP ALUM 47UF 20% 50V SMD,"Radial, Can - SMD","360mOhm @ 100kHz",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","","2020-09-02 01:25:15.270000","",Active,"3000 Hrs @ 125°C",Rubycon,"50THV47M8X10.5","1",Surface Mount,-40°C ~ 125°C,"Radial, Can - SMD",TapeAndReel,"7534",Active,Polar,"0.23",AEC-Q200,"250mA @ 100kHz","125mA @ 120Hz",THV,"0.315 Dia (8.00mm)",DigiKey,"1189-2058-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","47uF","50V"
General Purpose,"150uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/UUR1E151MNL1GS/493-9576-1-ND/3962908,"","","","","","","","",CAP ALUM 150UF 20% 25V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","","2020-09-02 01:25:15.267000","",Active,"2000 Hrs @ 85°C",Nichicon,UUR1E151MNL1GS,"1",Surface Mount,-40°C ~ 85°C,"Radial, Can - SMD",TapeAndReel,"7535",Active,"","0.17","","249.6mA @ 10kHz","192mA @ 120Hz",UUR,"0.315 Dia (8.00mm)",DigiKey,"493-9576-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","150uF","25V"
General Purpose,"22uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-uux.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/UUX1J220MNL1GS/493-6274-1-ND/3438787,"","","","","","","","",CAP ALUM 22UF 20% 63V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","","2020-09-02 01:25:15.263000","",Active,"2000 Hrs @ 105°C",Nichicon,UUX1J220MNL1GS,"1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"7536",Active,Polar,"0.17","","180.36mA @ 10kHz","108mA @ 120Hz",UUX,"0.315 Dia (8.00mm)",DigiKey,"493-6274-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","22uF","63V"
General Purpose,"33uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/UUR1J330MNL1GS/493-6234-1-ND/3438747,"","","","","","","","",CAP ALUM 33UF 20% 63V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","","2020-09-02 01:25:15.243000","",Active,"2000 Hrs @ 85°C",Nichicon,UUR1J330MNL1GS,"1",Surface Mount,-40°C ~ 85°C,"Radial, Can - SMD",TapeAndReel,"7537",Active,"","0.18","","195.39mA @ 10kHz","117mA @ 120Hz",UUR,"0.315 Dia (8.00mm)",DigiKey,"493-6234-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","33uF","63V"
Automotive,"100uF",=Value,Datasheet,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_sgv.pdf,DigiKey Link,http://digikey.com/product-detail/en/rubycon/50SGV100M8X10.5/1189-2468-1-ND/4842372,"","","","","","","","",CAP ALUM 100UF 20% 50V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","","2020-09-02 01:25:15.240000","",Active,"2000 Hrs @ 105°C",Rubycon,"50SGV100M8X10.5","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"7538",Active,Polar,"0.17",AEC-Q200,"276mA @ 10kHz","230mA @ 120Hz",SGV,"0.315 Dia (8.00mm)",DigiKey,"1189-2468-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","100uF","50V"
General Purpose,"100uF",=Value,Datasheet,https://katalog.we-online.de/pbs/datasheet/865080653016.pdf,DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/865080653016/732-8461-1-ND/5728418,"","","","","","","","",CAP 100 UF 20% 50 V,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","460 mOhms","2020-09-02 01:25:15.237000","",Active,"2000 Hrs @ 105°C",Würth Elektronik,"865080653016","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"7539",Active,Polar,"0.34","","350mA @ 100kHz","227.5mA @ 120Hz",WCAP-ASLI,"0.315 Dia (8.00mm)",DigiKey,"732-8461-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","100uF","50V"
Automotive,"220uF",=Value,Datasheet,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_tzv.pdf,DigiKey Link,http://digikey.com/product-detail/en/rubycon/35TZV220M8X10.5/1189-1622-1-ND/3134579,"","","","","","","","",CAP ALUM 220UF 20% 35V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","160 mOhms","2020-09-02 01:25:15.230000","",Active,"2000 Hrs @ 105°C",Rubycon,"35TZV220M8X10.5","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"7540",Active,Polar,"0.21",AEC-Q200,"600mA @ 100kHz","360mA @ 120Hz",TZV,"0.315 Dia (8.00mm)",DigiKey,"1189-1622-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","220uF","35V"
Automotive,"220uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-ucd.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/UCD1V221MNL1GS/493-6423-1-ND/3438937,"","","","","","","","",CAP ALUM 220UF 20% 35V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD 8.3MM H10.5MM.PCBLIB,"","",CAP ALSMD 8.3MM H10.5MM,"","","0.413 (10.50mm)","160 mOhms","2020-09-02 01:25:15.227000","",Active,"2000 Hrs @ 105°C",Nichicon,UCD1V221MNL1GS,"1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"7541",Active,Polar,"0.25",AEC-Q200,"600mA @ 100kHz","300mA @ 120Hz",UCD,"0.315 Dia (8.00mm)",DigiKey,"493-6423-1-ND","","","","","","","","","","","0.327 L x 0.327 W (8.30mm x 8.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","220uF","35V"
