"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current Rating (Max)","DC Resistance (DCR) (Max)","Description","Device Package","Features","Filter Type","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height (Max)","Impedance @ Frequency","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Lines","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value"
=Value,Datasheet,https://assets.lairdtech.com/home/brandworld/files/Catalog_EMI%20FILTERING%20RF%200717.pdf,DigiKey Link,http://digikey.com/product-detail/en/laird-signal-integrity-products/HZ0603B102R-10/240-2378-1-ND/806738,"","","","","","","","","200mA","600mOhm",FERRITE BEAD 1 KOHM 0603 1LN,"0603 (1608 Metric)","","",footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0603_1608.PCBLIB,"","",FER 0603_1608,"","","0.037 (0.95mm)","1 kOhms @ 100MHz","2020-09-02 01:18:17.603000",Active,Laird-Signal Integrity Products,HZ0603B102R-10,"1",Surface Mount,"1",-40°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"876",Active,"0.03","",HZ,"0.063 L x 0.032 W (1.60mm x 0.80mm)",DigiKey,"240-2378-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","1 kOhms @ 100MHz"
=Value,Datasheet,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/BLM18SG260TN1D/490-3995-1-ND/1016255,"","","","","","","","","6A","7mOhm",FERRITE BEAD 26 OHM 0603 1LN,"0603 (1608 Metric)","",Power Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0603_1608.PCBLIB,"","",FER 0603_1608,"","","0.026 (0.65mm)","26 Ohms @ 100MHz","2020-09-02 01:18:17.597000",Active,Murata Electronics,BLM18SG260TN1D,"1",Surface Mount,"1",-55°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"877",Active,"0.03","","EMIFIL®, BLM18","0.063 L x 0.032 W (1.60mm x 0.80mm)",DigiKey,"490-3995-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","26 Ohms @ 100MHz"
=Value,Datasheet,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/BLM18SG331TN1D/490-3997-1-ND/1016257,"","","","","","","","","1.5A","70mOhm",FERRITE BEAD 330 OHM 0603 1LN,"0603 (1608 Metric)","",Power Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0603_1608.PCBLIB,"","",FER 0603_1608,"","","0.026 (0.65mm)","330 Ohms @ 100MHz","2020-09-02 01:18:17.593000",Active,Murata Electronics,BLM18SG331TN1D,"1",Surface Mount,"1",-55°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"878",Active,"0.03","","EMIFIL®, BLM18","0.063 L x 0.032 W (1.60mm x 0.80mm)",DigiKey,"490-3997-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","330 Ohms @ 100MHz"
=Value,Datasheet,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/BLM18SG121TN1D/490-3996-1-ND/1016256,"","","","","","","","","3A","25mOhm",FERRITE BEAD 120 OHM 0603 1LN,"0603 (1608 Metric)","",Power Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0603_1608.PCBLIB,"","",FER 0603_1608,"","","0.026 (0.65mm)","120 Ohms @ 100MHz","2020-09-02 01:18:17.590000",Active,Murata Electronics,BLM18SG121TN1D,"1",Surface Mount,"1",-55°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"879",Active,"0.03","","EMIFIL®, BLM18","0.063 L x 0.032 W (1.60mm x 0.80mm)",DigiKey,"490-3996-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","120 Ohms @ 100MHz"
=Value,Datasheet,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/BLM18SG700TN1D/490-5224-1-ND/1948400,"","","","","","","","","4A","20mOhm",FERRITE BEAD 70 OHM 0603 1LN,"0603 (1608 Metric)","",Power Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0603_1608.PCBLIB,"","",FER 0603_1608,"","","0.026 (0.65mm)","70 Ohms @ 100MHz","2020-09-02 01:18:17.587000",Active,Murata Electronics,BLM18SG700TN1D,"1",Surface Mount,"1",-55°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"880",Active,"0.03","","EMIFIL®, BLM18","0.063 L x 0.032 W (1.60mm x 0.80mm)",DigiKey,"490-5224-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","70 Ohms @ 100MHz"
=Value,Datasheet,https://assets.lairdtech.com/home/brandworld/files/Catalog_FERRITE%20CORES%200717.pdf,DigiKey Link,http://digikey.com/product-detail/en/laird-signal-integrity-products/LI0603G800R-10/240-2369-1-ND/806729,"","","","","","","","","700mA","200mOhm",FERRITE BEAD 80 OHM 0603 1LN,"0603 (1608 Metric)","","Power, Signal Line",footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0603_1608.PCBLIB,"","",FER 0603_1608,"","","0.037 (0.95mm)","80 Ohms @ 100MHz","2020-09-02 01:18:17.583000",Active,Laird-Signal Integrity Products,LI0603G800R-10,"1",Surface Mount,"1",-40°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"881",Active,"0.04","",LI,"0.063 L x 0.032 W (1.60mm x 0.80mm)",DigiKey,"240-2369-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","80 Ohms @ 100MHz"
=Value,Datasheet,https://assets.lairdtech.com/home/brandworld/files/Catalog_EMI%20FILTERING%20RF%200717.pdf,DigiKey Link,http://digikey.com/product-detail/en/laird-signal-integrity-products/HZ0603B112R-10/240-2379-1-ND/806739,"","","","","","","","","200mA","800mOhm",FERRITE BEAD 1.1 KOHM 0603 1LN,"0603 (1608 Metric)","","",footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0603_1608.PCBLIB,"","",FER 0603_1608,"","","0.037 (0.95mm)","1.1 kOhms @ 100MHz","2020-09-02 01:18:17.580000",Active,Laird-Signal Integrity Products,HZ0603B112R-10,"1",Surface Mount,"1",-40°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"882",Active,"0.04","",HZ,"0.063 L x 0.032 W (1.60mm x 0.80mm)",DigiKey,"240-2379-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","1.1 kOhms @ 100MHz"
=Value,Datasheet,https://assets.lairdtech.com/home/brandworld/files/Catalog_FERRITE%20CORES%200717.pdf,DigiKey Link,http://digikey.com/product-detail/en/laird-signal-integrity-products/HZ0603A222R-10/240-2377-1-ND/806737,"","","","","","","","","100mA","1.5Ohm",FERRITE BEAD 2.2 KOHM 0603 1LN,"0603 (1608 Metric)","","",footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0603_1608.PCBLIB,"","",FER 0603_1608,"","","0.037 (0.95mm)","2.2 kOhms @ 100MHz","2020-09-02 01:18:17.577000",Active,Laird-Signal Integrity Products,HZ0603A222R-10,"1",Surface Mount,"1",-40°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"883",Active,"0.04","",HZ,"0.063 L x 0.032 W (1.60mm x 0.80mm)",DigiKey,"240-2377-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","2.2 kOhms @ 100MHz"
=Value,Datasheet,https://assets.lairdtech.com/home/brandworld/files/Catalog_FERRITE%20CORES%200717.pdf,DigiKey Link,http://digikey.com/product-detail/en/laird-signal-integrity-products/MI0603L301R-10/240-2374-1-ND/806734,"","","","","","","","","2A","100mOhm",FERRITE BEAD 300 OHM 0603 1LN,"0603 (1608 Metric)","",Power Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0603_1608.PCBLIB,"","",FER 0603_1608,"","","0.037 (0.95mm)","300 Ohms @ 100MHz","2020-09-02 01:18:17.573000",Active,Laird-Signal Integrity Products,MI0603L301R-10,"1",Surface Mount,"1",-40°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"884",Active,"0.04","",MI,"0.063 L x 0.032 W (1.60mm x 0.80mm)",DigiKey,"240-2374-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","300 Ohms @ 100MHz"
=Value,Datasheet,https://assets.lairdtech.com/home/brandworld/files/Catalog_EMI%20FILTERING%20RF%200717.pdf,DigiKey Link,http://digikey.com/product-detail/en/laird-signal-integrity-products/MI0603L221R-10/240-2558-1-ND/1236438,"","","","","","","","","2A","50mOhm",FERRITE BEAD 220 OHM 0603 1LN,"0603 (1608 Metric)","",Power Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0603_1608.PCBLIB,"","",FER 0603_1608,"","","0.037 (0.95mm)","220 Ohms @ 100MHz","2020-09-02 01:18:17.567000",Active,Laird-Signal Integrity Products,MI0603L221R-10,"1",Surface Mount,"1",-40°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"885",Active,"0.04","",MI,"0.063 L x 0.032 W (1.60mm x 0.80mm)",DigiKey,"240-2558-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","220 Ohms @ 100MHz"
