"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"3.3uF",=Value,Datasheet,http://www.chemi-con.co.jp/e/catalog/pdf/ce-e/ce-sepa-e/ce-ntsntf-e-2019.pdf,DigiKey Link,http://digikey.com/product-detail/en/united-chemi-con/KTS101B335M55N0T00/565-4688-1-ND/6210774,"","","","","","","","",CAP CER 3.3UF 100V X7R 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.303000","","",Active,United Chemi-Con,KTS101B335M55N0T00,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"0.69","",NTS,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"565-4688-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±20%,"","3.3uF","100V"
Automotive,"1uF",=Value,Datasheet,http://www.chemi-con.co.jp/e/catalog/pdf/ce-e/ce-sepa-e/ce-kvf-e-2019.pdf,DigiKey Link,http://digikey.com/product-detail/en/united-chemi-con/KVF101L105M55NLT00/565-4735-1-ND/6210783,"","","","","","","","",CAP CER 1UF 100V X8L 2220,"2220 (5750 Metric)","",High Temperature,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.283000","","",Active,United Chemi-Con,KVF101L105M55NLT00,"1","Surface Mount, MLCC",-55°C ~ 150°C,"2220 (5750 Metric)",TapeAndReel,Active,"0.72",AEC-Q200,KVF,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"565-4735-1-ND","","","","","","","","","","",,capacitors\capacitor,X8L,"0.110 (2.80mm)",±20%,"","1uF","100V"
Automotive,"1.5uF",=Value,Datasheet,http://www.chemi-con.co.jp/e/catalog/pdf/ce-e/ce-sepa-e/ce-kvf-e-2019.pdf,DigiKey Link,http://digikey.com/product-detail/en/united-chemi-con/KVF101L155M55NLT00/565-4737-1-ND/6210785,"","","","","","","","",CAP CER 1.5UF 100V X8L 2220,"2220 (5750 Metric)","",High Temperature,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.270000","","",Active,United Chemi-Con,KVF101L155M55NLT00,"1","Surface Mount, MLCC",-55°C ~ 150°C,"2220 (5750 Metric)",TapeAndReel,Active,"0.76",AEC-Q200,KVF,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"565-4737-1-ND","","","","","","","","","","",,capacitors\capacitor,X8L,"0.110 (2.80mm)",±20%,"","1.5uF","100V"
Automotive,"15uF",=Value,Datasheet,http://www.chemi-con.co.jp/e/catalog/pdf/ce-e/ce-sepa-e/ce-kvf-e-2019.pdf,DigiKey Link,http://digikey.com/product-detail/en/united-chemi-con/KVF250L156M55NHT00/565-4748-1-ND/6210796,"","","","","","","","",CAP CER 15UF 25V X8L 2220,"2220 (5750 Metric)","",High Temperature,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.267000","","",Active,United Chemi-Con,KVF250L156M55NHT00,"1","Surface Mount, MLCC",-55°C ~ 150°C,"2220 (5750 Metric)",TapeAndReel,Active,"0.80",AEC-Q200,KVF,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"565-4748-1-ND","","","","","","","","","","",,capacitors\capacitor,X8L,"0.110 (2.80mm)",±20%,"","15uF","25V"
Automotive,"4.7uF",=Value,Datasheet,http://www.chemi-con.co.jp/e/catalog/pdf/ce-e/ce-sepa-e/ce-kvf-e-2019.pdf,DigiKey Link,http://digikey.com/product-detail/en/united-chemi-con/KVF500L475M55NHT00/565-4765-1-ND/6210812,"","","","","","","","",CAP CER 4.7UF 50V X8L 2220,"2220 (5750 Metric)","",High Temperature,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.263000","","",Active,United Chemi-Con,KVF500L475M55NHT00,"1","Surface Mount, MLCC",-55°C ~ 150°C,"2220 (5750 Metric)",TapeAndReel,Active,"0.87",AEC-Q200,KVF,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"565-4765-1-ND","","","","","","","","","","",,capacitors\capacitor,X8L,"0.110 (2.80mm)",±20%,"","4.7uF","50V"
"Automotive, Boardflex Sensitive","10uF",=Value,Datasheet,http://datasheets.avx.com/AutoMLCC.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/22205C106K4Z2A/478-4528-1-ND/1645880,"","","","","","","","",CAP CER 10UF 50V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.247000","","",Active,AVX Corporation,"22205C106K4Z2A","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"0.87",AEC-Q200,FLEXITERM®,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"478-4528-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.79mm)",±10%,"","10uF","50V"
General Purpose,"10uF",=Value,Datasheet,http://www.chemi-con.co.jp/e/catalog/pdf/ce-e/ce-sepa-e/ce-ntsntf-e-2019.pdf,DigiKey Link,http://digikey.com/product-detail/en/united-chemi-con/KTS500B106M55N0T00/565-3334-1-ND/3503709,"","","","","","","","",CAP CER 10UF 50V X7R 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.243000","","",Active,United Chemi-Con,KTS500B106M55N0T00,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.16","",NTS,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"565-3334-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±20%,"","10uF","50V"
Automotive,"22uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_general_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/CGA9P3X7R1H226M250KB/445-181650-1-ND/10240637,"","","","","","","","",CAP 2220 X7R 50V 22UF 20% 2.50MM,"2220 (5750 Metric)","",Low ESL,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.223000","","",Active,TDK Corporation,CGA9P3X7R1H226M250KB,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"5.78",AEC-Q200,CGA,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"445-181650-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±20%,"","22uF","50V"
High Reliability,"0.18uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/specsheet/C2220K184J3EML7189.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/M3253508E1Z184JZMBTR/1001-2512-1-ND/8567159,"","","","","","","","",CAP CER 0.18UF 25V C0G/NP0 2220,"2220 (5750 Metric)",M (1%),Low ESL,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.207000","","",Active,KEMET,M3253508E1Z184JZMBTR,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"6.73","","Military, MIL-PRF-32535","0.224 L x 0.197 W (5.69mm x 5.00mm)",DigiKey,"1001-2512-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.110 (2.79mm)",±5%,"","0.18uF","25V"
High Reliability,"0.1uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/specsheet/C2220K104J1EML7189.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/M3253508E1B104JZMBTR/1001-2511-1-ND/8567158,"","","","","","","","",CAP CER 0.1UF 100V C0G/NP0 2220,"2220 (5750 Metric)",M (1%),Low ESL,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.187000","","",Active,KEMET,M3253508E1B104JZMBTR,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"6.27","","Military, MIL-PRF-32535","0.224 L x 0.197 W (5.69mm x 5.00mm)",DigiKey,"1001-2511-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.110 (2.79mm)",±5%,"","0.1uF","100V"
Downhole,"3600pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/specsheet/C2220H362JGGACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220H362JGGACTU/399-11280-1-ND/4505012,"","","","","","","","",CAP CER 3600PF 2KV C0G/NP0 2220,"2220 (5750 Metric)","","Low ESL, High Voltage, High Temperature",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.167000","","",Active,KEMET,C2220H362JGGACTU,"1","Surface Mount, MLCC",-55°C ~ 200°C,"2220 (5750 Metric)",TapeAndReel,Active,"10.27","",SMD Indust C0G HVHT200C,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"399-11280-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.106 (2.70mm)",±5%,"","3600pF","2000V (2kV)"
High Reliability,"3.3uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/M3253508E2Z335KZMB.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/M3253508E2Z335KZMB/1001-2525-1-ND/9566207,"","","","","","","","",CAP CER 3.3UF 25V X7R 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.163000","","",Active,KEMET,M3253508E2Z335KZMB,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"15.55","","Military, MIL-PRF-32535","0.224 L x 0.197 W (5.69mm x 5.00mm)",DigiKey,"1001-2525-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.79mm)",±10%,"","3.3uF","25V"
"Automotive, Boardflex Sensitive","0.47uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_soft_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/CGA9P1X7T2J474M250KE/445-7999-1-ND/2782567,"","","","","","","","",CAP CER 0.47UF 630V X7T 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.157000","","",Active,TDK Corporation,CGA9P1X7T2J474M250KE,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.13",AEC-Q200,CGA,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"445-7999-1-ND","","","","","","","","","","",,capacitors\capacitor,X7T,"0.110 (2.80mm)",±20%,"","0.47uF","630V"
Boardflex Sensitive,"10uF",=Value,Datasheet,http://datasheets.avx.com/FlexitermMLCC.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/22201C106KAZ2A/478-12891-1-ND/9949439,"","","","","","","","",CAP CER 10UF 100V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.137000","","",Active,AVX Corporation,"22201C106KAZ2A","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.94","",FLEXITERM®,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"478-12891-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.79mm)",±10%,"","10uF","100V"
"Automotive, Boardflex Sensitive","0.033uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C2220X333JDGACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220X333JDGACAUTO/399-20938-1-ND/10131760,"","","","","","","","",CAP CER 2220 33NF 1000V C0G 5%,"2220 (5750 Metric)","","Low ESL, Soft Termination, High Voltage",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.123000","","",Active,KEMET,C2220X333JDGACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"3.09",AEC-Q200,SMD Auto C0G HV Flex,"0.232 L x 0.197 W (5.90mm x 5.00mm)",DigiKey,"399-20938-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.106 (2.70mm)",±5%,"","0.033uF","1000V (1kV)"
Downhole,"0.012uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/specsheet/C2220H123JDGACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220H123JDGACTU/399-11278-1-ND/4505010,"","","","","","","","",CAP CER 0.012UF 1KV C0G/NP0 2220,"2220 (5750 Metric)","","Low ESL, High Voltage, High Temperature",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.103000","","",Active,KEMET,C2220H123JDGACTU,"1","Surface Mount, MLCC",-55°C ~ 200°C,"2220 (5750 Metric)",TapeAndReel,Active,"21.69","",SMD Indust C0G HVHT200C,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"399-11278-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.106 (2.70mm)",±5%,"","0.012uF","1000V (1kV)"
"Bypass, Decoupling","15uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C2220C156K5RAC7800.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220C156K5RAC7800/399-10019-1-ND/3737017,"","","","","","","","",CAP CER 15UF 50V X7R 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.100000","","",Active,KEMET,C2220C156K5RAC7800,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.29","",SMD Comm X7R,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"399-10019-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.100 (2.55mm)",±10%,"","15uF","50V"
"Automotive, Bypass, Decoupling","10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C2220C106K5RACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220C106K5RACAUTO/399-16026-1-ND/7516523,"","","","","","","","",CAP CER 10UF 50V X7R 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.097000","","",Active,KEMET,C2220C106K5RACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.44",AEC-Q200,SMD Auto X7R,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"399-16026-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.100 (2.55mm)",±10%,"","10uF","50V"
"Bypass, Decoupling","10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C2220C106K5RACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220C106K5RACTU/399-8261-1-ND/3471984,"","","","","","","","",CAP CER 10UF 50V X7R 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.077000","","",Active,KEMET,C2220C106K5RACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.55","",SMD Comm X7R,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"399-8261-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.100 (2.55mm)",±10%,"","10uF","50V"
Boardflex Sensitive,"22uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C2220X226K3RACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220X226K3RACTU/399-5533-1-ND/2002746,"","","","","","","","",CAP CER 22UF 25V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.070000","","",Active,KEMET,C2220X226K3RACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.88","",SMD Comm X7R Flex,"0.232 L x 0.197 W (5.90mm x 5.00mm)",DigiKey,"399-5533-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.100 (2.55mm)",±10%,"","22uF","25V"
"Automotive, Boardflex Sensitive","22uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/specsheet/C2220X226K3RACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220X226K3RACAUTO/399-7061-1-ND/3314568,"","","","","","","","",CAP CER 22UF 25V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.053000","","",Active,KEMET,C2220X226K3RACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.89",AEC-Q200,SMD Auto X7R Flex,"0.232 L x 0.197 W (5.90mm x 5.00mm)",DigiKey,"399-7061-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.100 (2.55mm)",±10%,"","22uF","25V"
Boardflex Sensitive,"15uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C2220X156K5RACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220X156K5RACTU/399-5532-1-ND/2002745,"","","","","","","","",CAP CER 15UF 50V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.047000","","",Active,KEMET,C2220X156K5RACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"3.55","",SMD Comm X7R Flex,"0.232 L x 0.197 W (5.90mm x 5.00mm)",DigiKey,"399-5532-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.100 (2.55mm)",±10%,"","15uF","50V"
General Purpose,"5600pF",=Value,Datasheet,http://www.vishay.com/docs/45228/hvseries.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-vitramon/HV2220Y562KXHATHV/720-1566-1-ND/6137149,"","","","","","","","",CAP CER 5600PF 3KV X7R 2220,"2220 (5750 Metric)","",High Voltage,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.043000","","",Active,Vishay Vitramon,HV2220Y562KXHATHV,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"0.77","",HV,"0.220 L x 0.200 W (5.59mm x 5.08mm)",DigiKey,"720-1566-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","5600pF","3000V (3kV)"
General Purpose,"6800pF",=Value,Datasheet,http://www.vishay.com/docs/45228/hvseries.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-vitramon/HV2220Y682KXHATHV/720-1567-1-ND/6137150,"","","","","","","","",CAP CER 6800PF 3KV X7R 2220,"2220 (5750 Metric)","",High Voltage,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.040000","","",Active,Vishay Vitramon,HV2220Y682KXHATHV,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"0.85","",HV,"0.220 L x 0.200 W (5.59mm x 5.08mm)",DigiKey,"720-1567-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","6800pF","3000V (3kV)"
"Automotive, Boardflex Sensitive","2.2uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_soft_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/CGA9P3X7T2E225M250KE/445-7997-1-ND/2782565,"","","","","","","","",CAP CER 2.2UF 250V X7T 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.037000","","",Active,TDK Corporation,CGA9P3X7T2E225M250KE,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.15",AEC-Q200,CGA,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"445-7997-1-ND","","","","","","","","","","",,capacitors\capacitor,X7T,"0.110 (2.80mm)",±20%,"","2.2uF","250V"
General Purpose,"0.033uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C2220C333JDGAC7800.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220C333JDGAC7800/399-20946-1-ND/10131768,"","","","","","","","",CAP CER 2220 33NF 1000V C0G 5%,"2220 (5750 Metric)","","Low ESL, High Voltage",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.023000","","",Active,KEMET,C2220C333JDGAC7800,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.28","",SMD Comm C0G HV,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"399-20946-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.106 (2.70mm)",±5%,"","0.033uF","1000V (1kV)"
General Purpose,"5600pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C2220C562JFGACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220C562JFGACTU/399-11212-1-ND/4376858,"","","","","","","","",CAP CER 5600PF 1.5KV NP0 2220,"2220 (5750 Metric)","","Low ESL, High Voltage",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23.003000","","",Active,KEMET,C2220C562JFGACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.14","",SMD Comm C0G HV,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"399-11212-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.106 (2.70mm)",±5%,"","5600pF","1500V (1.5kV)"
Boardflex Sensitive,"0.015uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C2220X153KHRACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220X153KHRACTU/399-10497-1-ND/4172896,"","","","","","","","",CAP CER 0.015UF 3KV X7R 2220,"2220 (5750 Metric)","","Low ESL, Soft Termination, High Voltage",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:23","","",Active,KEMET,C2220X153KHRACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.21","",SMD Comm X7R HV Flex,"0.232 L x 0.197 W (5.90mm x 5.00mm)",DigiKey,"399-10497-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","0.015uF","3000V (3kV)"
General Purpose,"1000pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C2220C102KHGAC7800.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C2220C102KHGAC7800/399-14409-1-ND/7086925,"","","","","","","","",CAP CER 1000PF 3KV C0G/NP0 2220,"2220 (5750 Metric)","","Low ESL, High Voltage",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:22.977000","","",Active,KEMET,C2220C102KHGAC7800,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.24","",SMD Comm C0G HV,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"399-14409-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.106 (2.70mm)",±10%,"","1000pF","3000V (3kV)"
Automotive,"1uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_midvoltage_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/CGA9P4X7T2W105M250KA/445-13162-1-ND/3954828,"","","","","","","","",CAP CER 1UF 450V X7T 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:22.957000","","",Active,TDK Corporation,CGA9P4X7T2W105M250KA,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.26",AEC-Q200,CGA,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"445-13162-1-ND","","","","","","","","","","",,capacitors\capacitor,X7T,"0.110 (2.80mm)",±20%,"","1uF","450V"
General Purpose,"0.22uF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GR355XD72J224KW05-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GR355XD72J224KW05L/490-5749-1-ND/2712292,"","","","","","","","",CAP CER 0.22UF 630V X7T 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:22.950000","","",Active,Murata Electronics,GR355XD72J224KW05L,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.48","",GR3,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"490-5749-1-ND","","","","","","","","","","",,capacitors\capacitor,X7T,"0.106 (2.70mm)",±10%,"","0.22uF","630V"
General Purpose,"0.27uF",=Value,Datasheet,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GR355XD72J274KW05L/490-5750-1-ND/2712293,"","","","","","","","",CAP CER 0.27UF 630V X7T 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:22.947000","","",Active,Murata Electronics,GR355XD72J274KW05L,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.48","",GR3,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"490-5750-1-ND","","","","","","","","","","",,capacitors\capacitor,X7T,"0.106 (2.70mm)",±10%,"","0.27uF","630V"
Automotive,"0.27uF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/GC355XD72J274KX05.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GC355XD72J274KX05L/490-14019-1-ND/6155849,"","","","","","","","",CAP CER 0.27UF 630V X7T 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:22.927000","","",Active,Murata Electronics,GC355XD72J274KX05L,"1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.49",AEC-Q200,GC3,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"490-14019-1-ND","","","","","","","","","","",,capacitors\capacitor,X7T,"0.118 (3.00mm)",±10%,"","0.27uF","630V"
