"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
"Automotive, Boardflex Sensitive","10000pF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y1K00103KST/1608-1165-1-ND/5730364,"","","","","","","","",CAP CER 10000PF 1KV X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.687000","","",Active,Knowles Syfer,"2220Y1K00103KST","","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.35",AEC-Q200,FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1165-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","10000pF","1000V (1kV)"
"Automotive, Boardflex Sensitive","0.022uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y1K00223KST/1608-1169-1-ND/5730368,"","","","","","","","",CAP CER 0.022UF 1KV X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.670000","","",Active,Knowles Syfer,"2220Y1K00223KST","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.45",AEC-Q200,FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1169-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","0.022uF","1000V (1kV)"
General Purpose,"10000pF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220J2K00103KXT/1608-1161-1-ND/5730360,"","","","","","","","",CAP CER 10000PF 2KV X7R 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.650000","","",Active,Knowles Syfer,"2220J2K00103KXT","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.63","",-,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1161-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","10000pF","2000V (2kV)"
"Automotive, Boardflex Sensitive","0.22uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y6300224KST/1608-1183-1-ND/5730382,"","","","","","","","",CAP CER 0.22UF 630V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.637000","","",Active,Knowles Syfer,"2220Y6300224KST","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.03",AEC-Q200,FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1183-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","0.22uF","630V"
Boardflex Sensitive,"0.22uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y6300224KJT/1608-1182-1-ND/5730381,"","","","","","","","",CAP CER 0.22UF 630V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.623000","","",Active,Knowles Syfer,"2220Y6300224KJT","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.57","",FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1182-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","0.22uF","630V"
Boardflex Sensitive,"0.33uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y5000334KXT/1608-1176-1-ND/5730375,"","","","","","","","",CAP CER 0.33UF 500V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.603000","","",Active,Knowles Syfer,"2220Y5000334KXT","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.21","",FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1176-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","0.33uF","500V"
Safety,"1000pF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/fe7386b2-d58d-4a83-96e0-cf03dfba634f/Safety-Cap.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220JA250102KXTB16/1608-1162-1-ND/5730361,"","","","","","","","",CAP CER 1000PF 250VAC X7R 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.600000","","",Active,Knowles Syfer,"2220JA250102KXTB16","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.44","X1, Y2",-,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1162-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","1000pF","250V"
"Safety, Automotive, Boardflex Sensitive","2200pF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/69a6c2c9-aa2d-47b1-a464-2cf1518cf4c1/AEC-Q200,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220YA250222KSTU16/1608-1614-1-ND/10268726,"","","","","","","","",CASE SIZE 2220 - FLEXICAP - 250V,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.593000","","",Active,Knowles Syfer,"2220YA250222KSTU16","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.57","AEC-Q200, X1, X2, Y2",FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1614-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.157 (4.00mm)",±10%,"","2200pF","250VAC"
"Safety, Automotive, Boardflex Sensitive","3300pF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/69a6c2c9-aa2d-47b1-a464-2cf1518cf4c1/AEC-Q200,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220YA250332KSTU16/1608-1615-1-ND/10268727,"","","","","","","","",CASE SIZE 2220 - FLEXICAP - 250V,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.590000","","",Active,Knowles Syfer,"2220YA250332KSTU16","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.72","AEC-Q200, X1, X2, Y2",FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1615-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.157 (4.00mm)",±10%,"","3300pF","250VAC"
"Safety, Automotive, Boardflex Sensitive","4700pF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/69a6c2c9-aa2d-47b1-a464-2cf1518cf4c1/AEC-Q200,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220YA250472KSTU16/1608-1616-1-ND/10268728,"","","","","","","","",CASE SIZE 2220 - FLEXICAP - 250V,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.570000","","",Active,Knowles Syfer,"2220YA250472KSTU16","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.81","AEC-Q200, X1, X2, Y2",FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1616-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.157 (4.00mm)",±10%,"","4700pF","250VAC"
