"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
"RF, Microwave, High Frequency","9pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR08C909BAGAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR08C909BAGAC/399-8712-1-ND/3480323,"","","","","","","","",CAP CER 9PF 250V C0G/NP0 0805,"0805 (2012 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0805_RF-N,C0805_RF-L,C0805_RF-M",,,"","2020-09-02 01:17:20.670000","","",Active,KEMET,CBR08C909BAGAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,"1430",Active,"0.40","",CBR-SMD RF C0G,"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,"399-8712-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.035 (0.88mm)",±0.1pF,"","9pF","250V"
"RF, Microwave, High Frequency","9pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR06C909DAGAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR06C909DAGAC/399-8738-1-ND/3480298,"","","","","","","","",CAP CER 9PF 250V C0G/NP0 0603,"0603 (1608 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0603_RF-N,C0603_RF-L,C0603_RF-M",,,"","2020-09-02 01:17:14.937000","","",Active,KEMET,CBR06C909DAGAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"1431",Active,"0.11","",CBR-SMD RF C0G,"0.063 L x 0.031 W (1.60mm x 0.80mm)",DigiKey,"399-8738-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.034 (0.87mm)",±0.5pF,"","9pF","250V"
"RF, Microwave, High Frequency","1.1pF",=Value,Datasheet,http://datasheets.avx.com/UQ-Series.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/UQCL2A1R1BAT2A-500/478-6402-1-ND/2512238,"","","","","","","","",CAP CER 1.1PF 200V 0402,"0402 (1005 Metric)","","High Q, Low Loss",,,,"C0402_RF-N,C0402_RF-L,C0402_RF-M",,,"","2020-09-02 01:17:05.843000","","",Active,AVX Corporation,UQCL2A1R1BAT2A\500,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1432",Active,"0.31","",UQ,"0.040 L x 0.020 W (1.02mm x 0.51mm)",DigiKey,"478-6402-1-ND","","","","","","","","","","",,capacitors\capacitor,A,"0.024 (0.60mm)",±0.1pF,"","1.1pF","200V"
"RF, Microwave, High Frequency","30pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR08C300JAGAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR08C300JAGAC/399-8770-1-ND/3481241,"","","","","","","","",CAP CER 30PF 250V C0G/NP0 0805,"0805 (2012 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0805_RF-N,C0805_RF-L,C0805_RF-M",,,"","2020-09-02 01:17:20.667000","","",Active,KEMET,CBR08C300JAGAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,"1433",Active,"0.40","",CBR-SMD RF C0G,"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,"399-8770-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.035 (0.88mm)",±5%,"","30pF","250V"
"RF, Microwave, High Frequency","0.8pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR06C808CAGAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR06C808CAGAC/399-6178-1-ND/2732173,"","","","","","","","",CAP CER 0.8PF 250V C0G/NP0 0603,"0603 (1608 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0603_RF-N,C0603_RF-L,C0603_RF-M",,,"","2020-09-02 01:17:14.933000","","",Active,KEMET,CBR06C808CAGAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"1434",Active,"0.11","",CBR-SMD RF C0G,"0.063 L x 0.031 W (1.60mm x 0.80mm)",DigiKey,"399-6178-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.034 (0.87mm)",±0.25pF,"","0.8pF","250V"
"RF, Microwave, High Frequency","20pF",=Value,Datasheet,http://datasheets.avx.com/UQ-Series.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/UQCL2A200JAT2A-500/478-6422-1-ND/2512258,"","","","","","","","",CAP CER 20PF 200V 0402,"0402 (1005 Metric)","","High Q, Low Loss",,,,"C0402_RF-N,C0402_RF-L,C0402_RF-M",,,"","2020-09-02 01:17:05.840000","","",Active,AVX Corporation,UQCL2A200JAT2A\500,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1435",Active,"0.31","",UQ,"0.040 L x 0.020 W (1.02mm x 0.51mm)",DigiKey,"478-6422-1-ND","","","","","","","","","","",,capacitors\capacitor,A,"0.024 (0.60mm)",±5%,"","20pF","200V"
"RF, Microwave, High Frequency","22pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR08C220JAGAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR08C220JAGAC/399-6200-1-ND/2732179,"","","","","","","","",CAP CER 22PF 250V C0G/NP0 0805,"0805 (2012 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0805_RF-N,C0805_RF-L,C0805_RF-M",,,"","2020-09-02 01:17:20.663000","","",Active,KEMET,CBR08C220JAGAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,"1436",Active,"0.40","",CBR-SMD RF C0G,"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,"399-6200-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.035 (0.88mm)",±5%,"","22pF","250V"
"RF, Microwave, High Frequency","1.2pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR06C129BAGAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR06C129BAGAC/399-8797-1-ND/3479771,"","","","","","","","",CAP CER 1.2PF 250V C0G/NP0 0603,"0603 (1608 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0603_RF-N,C0603_RF-L,C0603_RF-M",,,"","2020-09-02 01:17:14.930000","","",Active,KEMET,CBR06C129BAGAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"1437",Active,"0.11","",CBR-SMD RF C0G,"0.063 L x 0.031 W (1.60mm x 0.80mm)",DigiKey,"399-8797-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.034 (0.87mm)",±0.1pF,"","1.2pF","250V"
"RF, Microwave, High Frequency","0.8pF",=Value,Datasheet,http://datasheets.avx.com/UQ-Series.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/UQCL2A0R8BAT2A-500/478-6399-1-ND/2512235,"","","","","","","","",CAP CER 0.8PF 200V 0402,"0402 (1005 Metric)","","High Q, Low Loss",,,,"C0402_RF-N,C0402_RF-L,C0402_RF-M",,,"","2020-09-02 01:17:05.837000","","",Active,AVX Corporation,UQCL2A0R8BAT2A\500,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1438",Active,"0.31","",UQ,"0.040 L x 0.020 W (1.02mm x 0.51mm)",DigiKey,"478-6399-1-ND","","","","","","","","","","",,capacitors\capacitor,A,"0.024 (0.60mm)",±0.1pF,"","0.8pF","200V"
"RF, Microwave, High Frequency, Bypass, Decoupling","0.5pF",=Value,Datasheet,http://www.atceramics.com/UserFiles/600f.pdf,DigiKey Link,http://digikey.com/product-detail/en/american-technical-ceramics/600F0R5AT250XT/1284-1007-1-ND/3905394,"","","","","","","","",CAP CER 0.5PF 250V C0G/NP0 0805,"0805 (2012 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0805_RF-N,C0805_RF-L,C0805_RF-M",,,"","2020-09-02 01:17:20.660000","","",Active,American Technical Ceramics,"600F0R5AT250XT","1","Surface Mount, MLCC",-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,"1439",Active,"0.40","",ATC 600F,"0.079 L x 0.049 W (2.01mm x 1.24mm)",DigiKey,"1284-1007-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.051 (1.30mm)",±0.05pF,"","0.5pF","250V"
