"Active Area","Color - Enhanced","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Dark (Typ)","Description","Device Package","Diode Type","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Response Time","Responsivity @ nm","Series","Spectral Range","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value","Viewing Angle","Voltage - DC Reverse (Vr) (Max)","Wavelength"
"","",=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Everlight%20PDFs/PD15-22B_TR8.pdf,DigiKey Link,//digikey.com/product-detail/en/everlight-electronics-co-ltd/PD15-22B-TR8/1080-1366-2-ND/2675857,"","","","","","","","","10nA",SENSOR PHOTODIODE 940NM 4SMD,"4-SMD, No Lead",PIN,footprints/Diodes/PCB - DIODES - Everlight PD15-22.PCBLIB,"","",Everlight PD15-22,"","","2019-12-09 02:27:50.773000","0",Everlight Electronics Co Ltd,PD15-22B/TR8,"1",Surface Mount,-40°C ~ 85°C,"4-SMD, No Lead",TapeAndReel,Active,"0.13","10ns","",-,"730nm ~ 1100nm",DigiKey,"1080-1366-2-ND","","","","","","","","","","",symbols/Diodes/SCH - DIODES - PHOTODIODE.SCHLIB,PHOTODIODE,"","","","32V","940nm"
"","",=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Everlight%20PDFs/PD15-22C_TR8.pdf,DigiKey Link,//digikey.com/product-detail/en/everlight-electronics-co-ltd/PD15-22C-TR8/1080-1367-2-ND/2675858,"","","","","","","","","10nA",SENSOR PHOTODIODE 940NM 4SMD,"4-SMD, No Lead",PIN,footprints/Diodes/PCB - DIODES - Everlight PD15-22.PCBLIB,"","",Everlight PD15-22,"","","2019-12-09 02:28:42.950000","0",Everlight Electronics Co Ltd,PD15-22C/TR8,"1",Surface Mount,-25°C ~ 85°C,"4-SMD, No Lead",TapeAndReel,Active,"0.11","10ns","",-,"400nm ~ 1100nm",DigiKey,"1080-1367-2-ND","","","","","","","","","","",symbols/Diodes/SCH - DIODES - PHOTODIODE.SCHLIB,PHOTODIODE,"","","","32V","940nm"
