"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Composition","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Number of Terminations","Operating Temperature","Package / Case","Packaging","Part Status","Power (Watts)","Price","Ratings","Resistance","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Temperature Coefficient","Tolerance","Type","Value"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/RK73B/RK73B.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/RK73B2ETTD332J/2019-RK73B2ETTD332JCT-ND/10315047,"","","","","","","","",Thick Film,RES 3.3K OHM 5% 1/2W 1210,"1210 (3225 Metric)","","Automotive AEC-Q200, Moisture Resistant",,,,"R1210N,R1210L,R1210M",,,"","2020-09-02 01:26:16.440000",Active,"KOA Speer Electronics, Inc.",RK73B2ETTD332J,"1","2",-55°C ~ 155°C,"1210 (3225 Metric)",TapeAndReel,Active,"0.5W, 1/2W","0.02",AEC-Q200,"3.3 kOhms",RK73B,"",DigiKey,"2019-RK73B2ETTD332JCT-ND","","","","","","","","","","","1210",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","3.3k"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/RK73H2ETTD2R00F/2019-RK73H2ETTD2R00FCT-ND/10314648,"","","","","","","","",Thick Film,RES 2 OHM 1% 1/2W 1210,"1210 (3225 Metric)","","Automotive AEC-Q200, Moisture Resistant",,,,"R1210N,R1210L,R1210M",,,"","2020-09-02 01:26:16.453000",Active,"KOA Speer Electronics, Inc.",RK73H2ETTD2R00F,"1","2",-55°C ~ 155°C,"1210 (3225 Metric)",TapeAndReel,Active,"0.5W, 1/2W","0.02",AEC-Q200,"2 Ohms",RK73H,"",DigiKey,"2019-RK73H2ETTD2R00FCT-ND","","","","","","","","","","","1210",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","2"
=Value,Datasheet,https://www.rohm.com/datasheet/ESR01MZPF/esr-e,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/ESR25JZPJ301/RHM300AXCT-ND/2289991,"","","","","","","","",Thick Film,RES SMD 300 OHM 5% 2/3W 1210,"1210 (3225 Metric)","","Automotive AEC-Q200, Pulse Withstanding",,,,"R1210N,R1210L,R1210M",,,"0.026 (0.65mm)","2020-09-02 01:26:16.467000",Active,Rohm Semiconductor,ESR25JZPJ301,"1","2",-55°C ~ 155°C,"1210 (3225 Metric)",CutTape,Active,"0.667W, 2/3W","0.36",AEC-Q200,"300 Ohms",ESR,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,RHM300AXCT-ND,"","","","","","","","","","","1210",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","300"
=Value,Datasheet,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/RMCF1210FT187K/RMCF1210FT187KCT-ND/4376706,"","","","","","","","",Thick Film,RES 187K OHM 1% 1/3W 1210,"1210 (3225 Metric)","",Automotive AEC-Q200,,,,"R1210N,R1210L,R1210M",,,"0.028 (0.70mm)","2020-09-02 01:26:16.477000",Active,Stackpole Electronics Inc,RMCF1210FT187K,"1","2",-55°C ~ 155°C,"1210 (3225 Metric)",TapeAndReel,Active,"0.333W, 1/3W","0.02",AEC-Q200,"187 kOhms",RMCF,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,RMCF1210FT187KCT-ND,"","","","","","","","","","","1210",,"resistors\Resistor,resistors\Resistor1",±100ppm/°C,±1%,"","187k"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-14BQJR39U/P17317CT-ND/5647801,"","","","","","","","",Thick Film,RES 0.39 OHM 5% 1/2W 1210,"1210 (3225 Metric)","","Automotive AEC-Q200, Current Sense",,,,"R1210N,R1210L,R1210M",,,"0.028 (0.70mm)","2020-09-02 01:26:16.483000",Active,Panasonic Electronic Components,ERJ-14BQJR39U,"1","2",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,Active,"0.5W, 1/2W","0.08",AEC-Q200,"390 mOhms",ERJ,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,P17317CT-ND,"","","","","","","","","","","1210",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","390m"
=Value,Datasheet,http://www.vishay.com/docs/20043/crcwhpe3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-dale/CRCW12106K80JNEAHP/541-6.8KNCT-ND/5327085,"","","","","","","","",Thick Film,RES SMD 6.8K OHM 5% 3/4W 1210,"1210 (3225 Metric)","","Automotive AEC-Q200, Pulse Withstanding",,,,"R1210N,R1210L,R1210M",,,"0.028 (0.70mm)","2020-09-02 01:26:16.497000",Active,Vishay Dale,CRCW12106K80JNEAHP,"1","2",-55°C ~ 155°C,"1210 (3225 Metric)",TapeAndReel,Active,"0.75W, 3/4W","0.07",AEC-Q200,"6.8 kOhms",CRCW-HP,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"541-6.8KNCT-ND","","","","","","","","","","","1210",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","6.8k"
=Value,Datasheet,http://www.vishay.com/docs/20043/crcwhpe3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-dale/CRCW121030R0JNEAHP/541-30NCT-ND/5327053,"","","","","","","","",Thick Film,RES SMD 30 OHM 5% 3/4W 1210,"1210 (3225 Metric)","","Automotive AEC-Q200, Pulse Withstanding",,,,"R1210N,R1210L,R1210M",,,"0.028 (0.70mm)","2020-09-02 01:26:16.513000",Active,Vishay Dale,CRCW121030R0JNEAHP,"1","2",-55°C ~ 155°C,"1210 (3225 Metric)",TapeAndReel,Active,"0.75W, 3/4W","0.07",AEC-Q200,"30 Ohms",CRCW-HP,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"541-30NCT-ND","","","","","","","","","","","1210",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","30"
=Value,Datasheet,http://www.vishay.com/docs/20043/crcwhpe3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-dale/CRCW12102K70JNEAHP/541-2.7KNCT-ND/5327048,"","","","","","","","",Thick Film,RES SMD 2.7K OHM 5% 3/4W 1210,"1210 (3225 Metric)","","Automotive AEC-Q200, Pulse Withstanding",,,,"R1210N,R1210L,R1210M",,,"0.028 (0.70mm)","2020-09-02 01:26:16.527000",Active,Vishay Dale,CRCW12102K70JNEAHP,"1","2",-55°C ~ 155°C,"1210 (3225 Metric)",TapeAndReel,Active,"0.75W, 3/4W","0.07",AEC-Q200,"2.7 kOhms",CRCW-HP,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"541-2.7KNCT-ND","","","","","","","","","","","1210",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","2.7k"
=Value,Datasheet,https://www.rohm.com/datasheet/KTR03EZPF/ktr-e,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/KTR25JZPF5100/RHM1156CT-ND/4055373,"","","","","","","","",Thick Film,RES SMD 510 OHM 1% 1/3W 1210,"1210 (3225 Metric)","","Automotive AEC-Q200, High Voltage",,,,"R1210N,R1210L,R1210M",,,"0.026 (0.65mm)","2020-09-02 01:26:16.533000",Active,Rohm Semiconductor,KTR25JZPF5100,"1","2",-55°C ~ 155°C,"1210 (3225 Metric)",TapeAndReel,Active,"0.333W, 1/3W","0.05",AEC-Q200,"510 Ohms",KTR,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,RHM1156CT-ND,"","","","","","","","","","","1210",,"resistors\Resistor,resistors\Resistor1",±100ppm/°C,±1%,"","510"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-P14J180U/P18ASCT-ND/570544,"","","","","","","","",Thick Film,RES SMD 18 OHM 5% 1/2W 1210,"1210 (3225 Metric)","","Automotive AEC-Q200, Pulse Withstanding",,,,"R1210N,R1210L,R1210M",,,"0.028 (0.70mm)","2020-09-02 01:26:16.553000",Active,Panasonic Electronic Components,ERJ-P14J180U,"1","2",-55°C ~ 155°C,"1210 (3225 Metric)",TapeAndReel,Active,"0.5W, 1/2W","0.03",AEC-Q200,"18 Ohms",ERJ,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,P18ASCT-ND,"","","","","","","","","","","1210",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","18"
