"Actuator Length","Actuator Type","Circuit","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Contact Finish","Contact Material","Contact Timing","Current Rating (Amps)","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Packaging","PartId","Part Status","Price","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Switch Function","Library Path","Library Ref","Termination Style","Type","Value","Voltage Rating - AC","Voltage Rating - DC"
"2.00mm",Standard,SPDT,=Part Number,Datasheet,http://www.nkkswitches.com/pdf/SS3surfaceMount-1.pdf,DigiKey Link,http://digikey.com/product-detail/en/nkk-switches/SS312SAH4-R/360-2924-1-ND/1051215,"","","","","","","","",Gold,Phosphor Bronze,Shorting (MBB),"0.4VA (AC/DC)",SWITCH SLIDE SPDT 0.4VA 28V,"","",footprints/Switch/PCB - SWITCH - NKK SS312SAH4.PCBLIB,"","",NKK SS312SAH4,"","","2020-01-04 19:10:13.810000",Active,NKK Switches,SS312SAH4-R,"1","Surface Mount, Right Angle",-25°C ~ 85°C,TapeAndReel,"1",Active,"1.95",SS3,DigiKey,"360-2924-1-ND","","","","","","","","","","",On-On,symbols/Switch/SCH - SWITCH - NKK SS312.SCHLIB,NKK SS312,Gull Wing,"","","28V","28V"
"2.00mm",Standard,SPDT,=Part Number,Datasheet,http://www.nkkswitches.com/pdf/SS3surfaceMount-1.pdf,DigiKey Link,http://digikey.com/product-detail/en/nkk-switches/SS312SAH4/360-3250-ND/1052031,"","","","","","","","",Gold,Phosphor Bronze,Shorting (MBB),"0.4VA (AC/DC)",SWITCH SLIDE SPDT 0.4VA 28V,"","",footprints/Switch/PCB - SWITCH - NKK SS312SAH4.PCBLIB,"","",NKK SS312SAH4,"","","2020-01-04 19:15:23.157000",Active,NKK Switches,SS312SAH4,"1","Surface Mount, Right Angle",-25°C ~ 85°C,Tray,"2",Active,"3.02",SS3,DigiKey,"360-3250-ND","","","","","","","","","","",On-On,symbols/Switch/SCH - SWITCH - NKK SS312.SCHLIB,NKK SS312,Gull Wing,"","","28V","28V"
