"Approval Agency","Approvals","Breaking Capacity @ Rated Voltage","Color","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current Rating (Amps)","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Fuse Type","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Melting I²t","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Response Time","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value","Voltage Rating - AC","Voltage Rating - DC"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/product-datasheets/sf-1206fp.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206FP050-2/SF-1206FP050-2CT-ND/7652265,"","","","","","","","","500mA",FUSE BOARD MNT 500MA 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.343000",Active,Bourns Inc.,SF-1206FP050-2,"0.015","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",Fast Blow,SinglFuse™ SF-1206FP,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206FP050-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","63V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/product-datasheets/sf-1206fp.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206FP400-2/SF-1206FP400-2CT-ND/7652273,"","","","","","","","","4A",FUSE BOARD MOUNT 4A 32VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.347000",Active,Bourns Inc.,SF-1206FP400-2,"1.109","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",Fast Blow,SinglFuse™ SF-1206FP,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206FP400-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","32V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/product-datasheets/sf-1206fp.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206FP300-2/SF-1206FP300-2CT-ND/7652272,"","","","","","","","","3A",FUSE BOARD MOUNT 3A 32VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.350000",Active,Bourns Inc.,SF-1206FP300-2,"0.639","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",Fast Blow,SinglFuse™ SF-1206FP,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206FP300-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","32V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/product-datasheets/sf-1206fp.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206FP200-2/SF-1206FP200-2CT-ND/7652270,"","","","","","","","","2A",FUSE BOARD MOUNT 2A 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.353000",Active,Bourns Inc.,SF-1206FP200-2,"0.285","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",Fast Blow,SinglFuse™ SF-1206FP,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206FP200-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","63V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/product-datasheets/sf-1206fp.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206FP500-2/SF-1206FP500-2CT-ND/7652274,"","","","","","","","","5A",FUSE BOARD MOUNT 5A 32VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.357000",Active,Bourns Inc.,SF-1206FP500-2,"1.71","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",Fast Blow,SinglFuse™ SF-1206FP,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206FP500-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","32V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/product-datasheets/sf-1206fp.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206FP125-2/SF-1206FP125-2CT-ND/7652268,"","","","","","","","","1.25A",FUSE BOARD MNT 1.25A 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.360000",Active,Bourns Inc.,SF-1206FP125-2,"0.094","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",Fast Blow,SinglFuse™ SF-1206FP,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206FP125-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","63V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/product-datasheets/sf-1206fp.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206FP700-2/SF-1206FP700-2CT-ND/7652275,"","","","","","","","","7A",FUSE BOARD MOUNT 7A 32VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.363000",Active,Bourns Inc.,SF-1206FP700-2,"3.3","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",Fast Blow,SinglFuse™ SF-1206FP,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206FP700-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","32V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/Product-Datasheets/sf1206s.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206S700-2/SF-1206S700-2CT-ND/1948219,"","","","","","","","","7A",FUSE BOARD MOUNT 7A 32VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.383000",Active,Bourns Inc.,SF-1206S700-2,"5.684","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.33",Slow Blow,SinglFuse™ SF-1206S,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206S700-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","32V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/Product-Datasheets/sf1206s.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206S125-2/SF-1206S125-2CT-ND/4211485,"","","","","","","","","1.25A",FUSE BOARD MNT 1.25A 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.387000",Active,Bourns Inc.,SF-1206S125-2,"0.155","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.33",Slow Blow,SinglFuse™ SF-1206S,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206S125-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","63V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/Product-Datasheets/sf1206s.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206S050-2/SF-1206S050-2CT-ND/1948211,"","","","","","","","","500mA",FUSE BOARD MNT 500MA 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.390000",Active,Bourns Inc.,SF-1206S050-2,"0.03","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.33",Slow Blow,SinglFuse™ SF-1206S,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206S050-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","63V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/Product-Datasheets/sf1206s.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206S500-2/SF-1206S500-2CT-ND/1948218,"","","","","","","","","5A",FUSE BOARD MOUNT 5A 32VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.410000",Active,Bourns Inc.,SF-1206S500-2,"2.533","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.33",Slow Blow,SinglFuse™ SF-1206S,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206S500-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","32V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/product-datasheets/sf-1206fp.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206FP080-2/SF-1206FP080-2CT-ND/7652266,"","","","","","","","","800mA",FUSE BOARD MNT 800MA 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.413000",Active,Bourns Inc.,SF-1206FP080-2,"0.04","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",Fast Blow,SinglFuse™ SF-1206FP,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206FP080-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","63V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/product-datasheets/sf-1206fp.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206FP250-2/SF-1206FP250-2CT-ND/7652271,"","","","","","","","","2.5A",FUSE BOARD MOUNT 2.5A 32VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.427000",Active,Bourns Inc.,SF-1206FP250-2,"0.445","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",Fast Blow,SinglFuse™ SF-1206FP,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206FP250-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","32V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/product-datasheets/sf-1206fp.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206FP100-2/SF-1206FP100-2CT-ND/7652267,"","","","","","","","","1A",FUSE BOARD MOUNT 1A 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.433000",Active,Bourns Inc.,SF-1206FP100-2,"0.062","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",Fast Blow,SinglFuse™ SF-1206FP,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206FP100-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","63V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/product-datasheets/sf-1206fp.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206FP150-2/SF-1206FP150-2CT-ND/7652269,"","","","","","","","","1.5A",FUSE BOARD MOUNT 1.5A 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.437000",Active,Bourns Inc.,SF-1206FP150-2,"0.141","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.34",Fast Blow,SinglFuse™ SF-1206FP,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206FP150-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","63V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/pdfs/SF1206F.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206F250-2/SF-1206F250-2CT-ND/1948206,"","","","","","","","","2.5A",FUSE BOARD MOUNT 2.5A 32VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.443000",Active,Bourns Inc.,SF-1206F250-2,"0.351","1",Surface Mount,-40°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.31",Fast Blow,SinglFuse™ SF-1206F,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206F250-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","32V"
UL,UL,"50A","",=Part Number,Datasheet,https://www.bourns.com/docs/Product-Datasheets/sf1206s.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SF-1206S400-2/SF-1206S400-2CT-ND/1948217,"","","","","","","","","4A",FUSE BOARD MOUNT 4A 32VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:42.447000",Active,Bourns Inc.,SF-1206S400-2,"1.537","1",Surface Mount,-20°C ~ 105°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.33",Slow Blow,SinglFuse™ SF-1206S,"0.122 L x 0.061 W x 0.024 H (3.10mm x 1.55mm x 0.60mm)",DigiKey,SF-1206S400-2CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","","32V"
"CSA, UL","CSA, UL","50A","",=Part Number,Datasheet,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_468_datasheet.pdf.pdf,DigiKey Link,http://digikey.com/product-detail/en/littelfuse-inc/046801.5NR/F2569CT-ND/813047,"","","","","","","","","1.5A",FUSE BRD MNT 1.5A 63VAC/VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-08-30 21:09:06.700000",Active,Littelfuse Inc.,"046801.5NR","0.288","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.47",Slow Blow,SlimLine™ 468,"0.125 L x 0.060 W x 0.023 H (3.18mm x 1.52mm x 0.58mm)",DigiKey,F2569CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","63V","63V"
"CSA, UL","CSA, UL","35A AC, 50A DC","",=Part Number,Datasheet,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_468_datasheet.pdf.pdf,DigiKey Link,http://digikey.com/product-detail/en/littelfuse-inc/046802.5NRHF/F5708CT-ND/3306965,"","","","","","","","","2.5A",FUSE BRD MNT 2.5A 63VAC/VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-08-30 21:09:06.707000",Active,Littelfuse Inc.,"046802.5NRHF","1.011","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.44",Slow Blow,SlimLine™ 468,"0.125 L x 0.060 W x 0.023 H (3.18mm x 1.52mm x 0.58mm)",DigiKey,F5708CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","63V","63V"
"CSA, UL","CSA, UL","35A AC, 50A DC","",=Part Number,Datasheet,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_468_datasheet.pdf.pdf,DigiKey Link,http://digikey.com/product-detail/en/littelfuse-inc/046802.5NR/F5707CT-ND/3306964,"","","","","","","","","2.5A",FUSE BRD MNT 2.5A 63VAC/VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-08-30 21:09:06.710000",Active,Littelfuse Inc.,"046802.5NR","1.011","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.47",Slow Blow,SlimLine™ 468,"0.125 L x 0.060 W x 0.023 H (3.18mm x 1.52mm x 0.58mm)",DigiKey,F5707CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","63V","63V"
"CSA, UL","CSA, UL","50A","",=Part Number,Datasheet,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_468_datasheet.pdf.pdf,DigiKey Link,http://digikey.com/product-detail/en/littelfuse-inc/0468003.NR/F2571CT-ND/813049,"","","","","","","","","3A",FUSE BOARD MNT 3A 32VAC/VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-08-30 21:09:06.713000",Active,Littelfuse Inc.,"0468003.NR","1.27","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.44",Slow Blow,SlimLine™ 468,"0.125 L x 0.060 W x 0.023 H (3.18mm x 1.52mm x 0.58mm)",DigiKey,F2571CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","32V","32V"
"CSA, UL","CSA, UL","50A","",=Part Number,Datasheet,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_466_datasheet.pdf.pdf,DigiKey Link,http://digikey.com/product-detail/en/littelfuse-inc/0466001.NRHF/F5695CT-ND/3306952,"","","","","","","","","1A",FUSE BOARD MNT 1A 63VAC/VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:44.647000",Active,Littelfuse Inc.,"0466001.NRHF","0.0423","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.31",Fast Blow,SlimLine™ 466,"0.125 L x 0.060 W x 0.023 H (3.18mm x 1.52mm x 0.58mm)",DigiKey,F5695CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","63V","63V"
"CSA, UL","CSA, UL","50A","",=Part Number,Datasheet,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_466_datasheet.pdf.pdf,DigiKey Link,http://digikey.com/product-detail/en/littelfuse-inc/04661.25NR/F1465CT-ND/521363,"","","","","","","","","1.25A",FUSE BOARD MOUNT 1.25A 63VAC/VDC,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:44.670000",Active,Littelfuse Inc.,"04661.25NR","0.064","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.31",Fast Blow,SlimLine™ 466,"0.125 L x 0.060 W x 0.023 H (3.18mm x 1.52mm x 0.58mm)",DigiKey,F1465CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","63V","63V"
"CSA, UL","CSA, UL","50A","",=Part Number,Datasheet,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_466_datasheet.pdf.pdf,DigiKey Link,http://digikey.com/product-detail/en/littelfuse-inc/0466002.NRHF/F5696CT-ND/3306953,"","","","","","","","","2A",FUSE BOARD MNT 2A 63VAC/VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:44.683000",Active,Littelfuse Inc.,"0466002.NRHF","0.2326","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.31",Fast Blow,SlimLine™ 466,"0.125 L x 0.060 W x 0.023 H (3.18mm x 1.52mm x 0.58mm)",DigiKey,F5696CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","63V","63V"
"CSA, UL","CSA, UL","50A","",=Part Number,Datasheet,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_466_datasheet.pdf.pdf,DigiKey Link,http://digikey.com/product-detail/en/littelfuse-inc/0466.200NR/F1451CT-ND/521349,"","","","","","","","","200mA",FUSE BOARD MNT 200MA 125VAC/VDC,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:44.687000",Active,Littelfuse Inc.,"0466.200NR","0.00055","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.31",Fast Blow,SlimLine™ 466,"0.125 L x 0.060 W x 0.023 H (3.18mm x 1.52mm x 0.58mm)",DigiKey,F1451CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","125V","125V"
"CSA, UL","CSA, UL","50A","",=Part Number,Datasheet,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_466_datasheet.pdf.pdf,DigiKey Link,http://digikey.com/product-detail/en/littelfuse-inc/046601.5NR/F1462CT-ND/521360,"","","","","","","","","1.5A",FUSE BRD MNT 1.5A 63VAC/VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:44.700000",Active,Littelfuse Inc.,"046601.5NR","0.1103","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.31",Fast Blow,SlimLine™ 466,"0.125 L x 0.060 W x 0.023 H (3.18mm x 1.52mm x 0.58mm)",DigiKey,F1462CT-ND,"","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","63V","63V"
"CE, CSA, cULus","CE, CSA, cULus","100A AC, 50A DC","",=Part Number,Datasheet,https://belfuse.com/resources/datasheets/circuitprotection/ds-cp-c1q-series.pdf,DigiKey Link,http://digikey.com/product-detail/en/bel-fuse-inc/C1Q-3.5/507-1083-1-ND/615055,"","","","","","","","","3.5A",FUSE BOARD MNT 3.5A 125VAC 63VDC,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:44.723000",Active,Bel Fuse Inc.,C1Q 3.5,"0.029","1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.13",Fast Blow,C1Q,"0.126 L x 0.062 W x 0.023 H (3.20mm x 1.58mm x 0.58mm)",DigiKey,"507-1083-1-ND","","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","125V","63V"
