"CCT (K)","Color","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","CRI (Color Rendering Index)","Current - Max","Current - Test","Description","Device Package","Flux @ 25°C, Current - Test","Flux @ 85°C, Current - Test","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Lumens/Watt @ Current - Test","Manufacturer","Part Number","Minimum Order","Mounting Type","Package / Case","Packaging","PartId","Part Status","Price","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Viewing Angle","Voltage - Forward (Vf) (Typ)"
"4000K","White, Neutral",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-40-70/1214-1342-1-ND/5731655,"","","","","","","","","70","240mA","150mA",LED MID PWR 4000K 70CRI 3030,"1212 (3030 Metric)","73lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.793000",Active,"162 lm/W",Luminus Devices Inc.,MP-3030-1100-40-70,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"11",Active,"0.06",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1342-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"3500K","White, Warm",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-35-80/1214-1340-1-ND/5731653,"","","","","","","","","80","240mA","150mA",LED MID PWR 3500K 80CRI 3030,"1212 (3030 Metric)","64lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.790000",Active,"142 lm/W",Luminus Devices Inc.,MP-3030-1100-35-80,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"12",Active,"0.06",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1340-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"3000K","White, Warm",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-30-80/1214-1337-1-ND/5731650,"","","","","","","","","80","240mA","150mA",LED MID PWR 3000K 80CRI 3030,"1212 (3030 Metric)","62lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.787000",Active,"138 lm/W",Luminus Devices Inc.,MP-3030-1100-30-80,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"13",Active,"0.06",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1337-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"4000K","White, Neutral",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-40-80/1214-1343-1-ND/5731656,"","","","","","","","","80","240mA","150mA",LED MID PWR 4000K 80CRI 3030,"1212 (3030 Metric)","67lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.783000",Active,"149 lm/W",Luminus Devices Inc.,MP-3030-1100-40-80,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"14",Active,"0.06",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1343-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"4000K","White, Neutral",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-40-95/1214-1345-1-ND/5731658,"","","","","","","","","95","240mA","150mA",LED MID PWR 4000K 95CRI 3030,"1212 (3030 Metric)","54lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.763000",Active,"120 lm/W",Luminus Devices Inc.,MP-3030-1100-40-95,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"15",Active,"0.07",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1345-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"5700K","White, Cool",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-57-70/1214-1349-1-ND/5731662,"","","","","","","","","70","240mA","150mA",LED MID PWR 5700K 70CRI 3030,"1212 (3030 Metric)","78lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.760000",Active,"173 lm/W",Luminus Devices Inc.,MP-3030-1100-57-70,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"16",Active,"0.06",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1349-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"2200K","White, Warm",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-22-80/1214-1333-1-ND/5731646,"","","","","","","","","80","240mA","150mA",LED MID PWR 2200K 80CRI 3030,"1212 (3030 Metric)","55lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.757000",Active,"122 lm/W",Luminus Devices Inc.,MP-3030-1100-22-80,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"17",Active,"0.06",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1333-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"3000K","White, Warm",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-30-90/1214-1338-1-ND/5731651,"","","","","","","","","90","240mA","150mA",LED MID PWR 3000K 90CRI 3030,"1212 (3030 Metric)","56lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.750000",Active,"124 lm/W",Luminus Devices Inc.,MP-3030-1100-30-90,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"18",Active,"0.07",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1338-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"3000K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0ZF730E/JE2835AWT-00-0000-000A0ZF730ECT-ND/9974661,"","","","","","","","","95","240mA","150mA",LED WHT 95 CRI 3000K JE2835 3V,"1113 (2835 Metric)","55lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.180000",Active,"122 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0ZF730E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"19","1113 (2835 Metric)","0.03",J,"",DigiKey,JE2835AWT-00-0000-000A0ZF730ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"2700K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0ZF627E/JE2835AWT-00-0000-000A0ZF627ECT-ND/9974660,"","","","","","","","","95","240mA","150mA",LED WHT 95 CRI 2700K JE2835 3V,"1113 (2835 Metric)","50lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.200000",Active,"111 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0ZF627E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"20","1113 (2835 Metric)","0.03",J,"",DigiKey,JE2835AWT-00-0000-000A0ZF627ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
