"CCT (K)","Color","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","CRI (Color Rendering Index)","Current - Max","Current - Test","Description","Device Package","Flux @ 25°C, Current - Test","Flux @ 85°C, Current - Test","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Lumens/Watt @ Current - Test","Manufacturer","Part Number","Minimum Order","Mounting Type","Package / Case","Packaging","PartId","Part Status","Price","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Viewing Angle","Voltage - Forward (Vf) (Typ)"
"4000K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0ZF940E/JE2835AWT-00-0000-000A0ZF940ECT-ND/9974662,"","","","","","","","","95","240mA","150mA",LED WHT 95 CRI 4000K JE2835 3V,"1113 (2835 Metric)","60lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.203000",Active,"133 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0ZF940E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"21","1113 (2835 Metric)","0.03",J,"",DigiKey,JE2835AWT-00-0000-000A0ZF940ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"5700K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0UF957E/JE2835AWT-00-0000-000A0UF957ECT-ND/9974563,"","","","","","","","","90","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","64lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.207000",Active,"142 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0UF957E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"22","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0UF957ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"6500K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0UF965E/JE2835AWT-00-0000-000A0UF965ECT-ND/9974564,"","","","","","","","","90","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","64lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.227000",Active,"142 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0UF965E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"23","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0UF965ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"6500K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0HG965E/JE2835AWT-00-0000-000A0HG965ECT-ND/9974556,"","","","","","","","","80","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","75lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.230000",Active,"167 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0HG965E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"24","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0HG965ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"4000K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0UF940E/JE2835AWT-00-0000-000A0UF940ECT-ND/9974560,"","","","","","","","","90","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","64lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.237000",Active,"142 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0UF940E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"25","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0UF940ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"5000K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0UF950E/JE2835AWT-00-0000-000A0UF950ECT-ND/9974562,"","","","","","","","","90","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","64lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.240000",Active,"142 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0UF950E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"26","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0UF950ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"6500K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0BH665E/JE2835AWT-00-0000-000A0BH665ECT-ND/9974550,"","","","","","","","","70","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","80lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.243000",Active,"178 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0BH665E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"27","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0BH665ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"5000K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0HG950E/JE2835AWT-00-0000-000A0HG950ECT-ND/9974555,"","","","","","","","","80","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","75lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.247000",Active,"167 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0HG950E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"28","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0HG950ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"2700K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0UF827E/JE2835AWT-00-0000-000A0UF827ECT-ND/9974557,"","","","","","","","","90","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","58lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.253000",Active,"129 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0UF827E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"29","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0UF827ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JB2835AWT-W-U30GA0000-N0000001/2138-JB2835AWT-W-U30GA0000-N0000001CT-ND/10820412,"","","","","","","","","90","150mA","60mA",LED WHITE  3000K JB2835 3V,"1113 (2835 Metric)","24lm (Typ)","22lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.260000",Active,"136 lm/W",Cree Inc.,JB2835AWT-W-U30GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"30","1113 (2835 Metric)","0.01",J,"",DigiKey,"2138-JB2835AWT-W-U30GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"3500K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JB2835AWT-W-U35GA0000-N0000001/2138-JB2835AWT-W-U35GA0000-N0000001CT-ND/10820393,"","","","","","","","","90","150mA","60mA",LED WHITE  3500K JB2835 3V,"1113 (2835 Metric)","25lm (Typ)","22lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.280000",Active,"140 lm/W",Cree Inc.,JB2835AWT-W-U35GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"31","1113 (2835 Metric)","0.01",J,"",DigiKey,"2138-JB2835AWT-W-U35GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"3000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JB2835AWT-W-H30GA0000-N0000001/2138-JB2835AWT-W-H30GA0000-N0000001CT-ND/10820138,"","","","","","","","","80","150mA","60mA",LED WHITE  3000K JB2835 3V,"1113 (2835 Metric)","29lm (Typ)","26lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.283000",Active,"164 lm/W",Cree Inc.,JB2835AWT-W-H30GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"32","1113 (2835 Metric)","0.01",J,"",DigiKey,"2138-JB2835AWT-W-H30GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"4000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JB2835AWT-W-H40GA0000-N0000001/2138-JB2835AWT-W-H40GA0000-N0000001CT-ND/10820409,"","","","","","","","","80","150mA","60mA",LED WHITE  4000K JB2835 3V,"1113 (2835 Metric)","30lm (Typ)","27lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.290000",Active,"169 lm/W",Cree Inc.,JB2835AWT-W-H40GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"33","1113 (2835 Metric)","0.01",J,"",DigiKey,"2138-JB2835AWT-W-H40GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"3500K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JB2835AWT-W-H35GA0000-N0000001/2138-JB2835AWT-W-H35GA0000-N0000001CT-ND/10820280,"","","","","","","","","80","150mA","60mA",LED WHITE  3500K JB2835 3V,"1113 (2835 Metric)","29lm (Typ)","26lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.293000",Active,"164 lm/W",Cree Inc.,JB2835AWT-W-H35GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"34","1113 (2835 Metric)","0.01",J,"",DigiKey,"2138-JB2835AWT-W-H35GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"5700K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JK2835AWT-P-H57EB0000-N0000001/2138-JK2835AWT-P-H57EB0000-N0000001CT-ND/9974565,"","","","","","","","","80","200mA","150mA",CREE J SERIES JK2835 LIGHT EMITT,"1113 (2835 Metric)","144lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.297000",Active,"155 lm/W",Cree Inc.,JK2835AWT-P-H57EB0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"35","1113 (2835 Metric)","0.05",J,"",DigiKey,"2138-JK2835AWT-P-H57EB0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","6.2V"
"3500K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JK2835BWT-W-U35EB0000-N0000001/2138-JK2835BWT-W-U35EB0000-N0000001CT-ND/10820477,"","","","","","","","","90","200mA","150mA",LED WHITE  3500K JK2835B 6V,"1113 (2835 Metric)","113lm (Typ)","99lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.317000",Active,"119 lm/W",Cree Inc.,JK2835BWT-W-U35EB0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"36","1113 (2835 Metric)","0.03",J,"",DigiKey,"2138-JK2835BWT-W-U35EB0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","6.35V"
"4000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JK2835BWT-W-U40EB0000-N0000001/2138-JK2835BWT-W-U40EB0000-N0000001CT-ND/10820231,"","","","","","","","","90","200mA","150mA",LED WHITE  4000K JK2835B 6V,"1113 (2835 Metric)","118lm (Typ)","103lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.330000",Active,"124 lm/W",Cree Inc.,JK2835BWT-W-U40EB0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"37","1113 (2835 Metric)","0.03",J,"",DigiKey,"2138-JK2835BWT-W-U40EB0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","6.35V"
"3000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JK2835BWT-W-U30EB0000-N0000001/2138-JK2835BWT-W-U30EB0000-N0000001CT-ND/10820202,"","","","","","","","","90","200mA","150mA",LED WHITE  3000K JK2835B 6V,"1113 (2835 Metric)","111lm (Typ)","97lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.343000",Active,"117 lm/W",Cree Inc.,JK2835BWT-W-U30EB0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"38","1113 (2835 Metric)","0.03",J,"",DigiKey,"2138-JK2835BWT-W-U30EB0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","6.35V"
"4000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JK2835BWT-W-H40EB0000-N0000001/2138-JK2835BWT-W-H40EB0000-N0000001CT-ND/10820334,"","","","","","","","","80","200mA","150mA",LED WHITE  4000K JK2835B 6V,"1113 (2835 Metric)","137lm (Typ)","120lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.347000",Active,"144 lm/W",Cree Inc.,JK2835BWT-W-H40EB0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"39","1113 (2835 Metric)","0.03",J,"",DigiKey,"2138-JK2835BWT-W-H40EB0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","6.35V"
"3000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JK2835BWT-W-H30EB0000-N0000001/2138-JK2835BWT-W-H30EB0000-N0000001CT-ND/10820478,"","","","","","","","","80","200mA","150mA",LED WHITE  3000K JK2835B 6V,"1113 (2835 Metric)","131lm (Typ)","115lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.350000",Active,"138 lm/W",Cree Inc.,JK2835BWT-W-H30EB0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"40","1113 (2835 Metric)","0.03",J,"",DigiKey,"2138-JK2835BWT-W-H30EB0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","6.35V"
"3500K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JK2835BWT-W-H35EB0000-N0000001/2138-JK2835BWT-W-H35EB0000-N0000001CT-ND/10820145,"","","","","","","","","80","200mA","150mA",LED WHITE  3500K JK2835B 6V,"1113 (2835 Metric)","133lm (Typ)","117lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.350000",Active,"140 lm/W",Cree Inc.,JK2835BWT-W-H35EB0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"41","1113 (2835 Metric)","0.03",J,"",DigiKey,"2138-JK2835BWT-W-H35EB0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","6.35V"
"4500K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0UF945E/JE2835AWT-00-0000-000A0UF945ECT-ND/9974561,"","","","","","","","","90","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","64lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.357000",Active,"142 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0UF945E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"42","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0UF945ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3500K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0UF835E/JE2835AWT-00-0000-000A0UF835ECT-ND/9974559,"","","","","","","","","90","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","61lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.357000",Active,"136 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0UF835E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"43","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0UF835ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835BWT-P-U30GA0000-N0000001/2138-JE2835BWT-P-U30GA0000-N0000001CT-ND/10820411,"","","","","","","","","90","240mA","150mA",LED WHITE  3000K JE2835B 3V,"1113 (2835 Metric)","60lm (Typ)","54lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.360000",Active,"133 lm/W",Cree Inc.,JE2835BWT-P-U30GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"44","1113 (2835 Metric)","0.02",J,"",DigiKey,"2138-JE2835BWT-P-U30GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3500K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835BWT-P-U35GA0000-N0000001/2138-JE2835BWT-P-U35GA0000-N0000001CT-ND/10820341,"","","","","","","","","90","240mA","150mA",LED WHITE  3500K JE2835B 3V,"1113 (2835 Metric)","62lm (Typ)","56lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.377000",Active,"138 lm/W",Cree Inc.,JE2835BWT-P-U35GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"45","1113 (2835 Metric)","0.02",J,"",DigiKey,"2138-JE2835BWT-P-U35GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3000K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0UF830E/JE2835AWT-00-0000-000A0UF830ECT-ND/9974558,"","","","","","","","","90","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","59lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.383000",Active,"131 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0UF830E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"46","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0UF830ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"4000K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0HG940E/JE2835AWT-00-0000-000A0HG940ECT-ND/9974554,"","","","","","","","","80","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","75lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.387000",Active,"167 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0HG940E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"47","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0HG940ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3000K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0HG830E/JE2835AWT-00-0000-000A0HG830ECT-ND/9974552,"","","","","","","","","80","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","70lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.390000",Active,"156 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0HG830E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"48","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0HG830ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"2700K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0HG727E/JE2835AWT-00-0000-000A0HG727ECT-ND/9974551,"","","","","","","","","80","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","69lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.393000",Active,"153 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0HG727E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"49","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0HG727ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
