"Color","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Configuration","Current - Test","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height (Max)","LastUpdated","Lens Color","Lens Size","Lens Style","Lens Transparency","Lifecycle Status","Manufacturer","Part Number","Millicandela Rating","Minimum Order","Mounting Type","Package / Case","Packaging","PartId","Part Status","Price","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Viewing Angle","Voltage - Forward (Vf) (Typ)","Wavelength - Dominant","Wavelength - Peak"
Yellow,=Value,Datasheet,https://www.sunledusa.com/products/spec/XZM2ACY55W-1.pdf,DigiKey Link,http://digikey.com/product-detail/en/sunled/XZM2ACY55W-1/1497-1156-1-ND/4745629,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR CHIP SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","0.75mm","2020-09-02 01:21:25.597000",Colorless,"1.90mm x 1.60mm",Rectangle with Flat Top,Clear,Active,SunLED,XZM2ACY55W-1,"347mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"17",Active,"0.22",-,"3.20mm L x 1.60mm W",DigiKey,"1497-1156-1-ND","","","","","","","","","","",Chip LED,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"120°","2V","590nm","590nm"
Yellow,=Value,Datasheet,https://www.lumex.com/content/files/ProductAttachment/SML-LX1206SYC-TR.pdf,DigiKey Link,http://digikey.com/product-detail/en/lumex-opto-components-inc/SML-LX1206SYC-TR/67-1699-1-ND/467583,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR 1206 SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.10mm","2020-09-02 01:21:25.580000",Colorless,"2.00mm x 1.50mm",Rectangle with Flat Top,Clear,Active,Lumex Opto/Components Inc.,SML-LX1206SYC-TR,"70mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"18",Active,"0.22",-,"3.20mm L x 1.60mm W",DigiKey,"67-1699-1-ND","","","","","","","","","","","1206",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"140°","2V","","590nm"
Yellow,=Value,Datasheet,http://www.kingbrightusa.com/images/catalog/SPEC/APTR3216SYCK-J3-PRV.pdf,DigiKey Link,http://digikey.com/product-detail/en/kingbright/APTR3216SYCK-J3-PRV/754-APTR3216SYCK-J3-PRVCT-ND/10293138,"","","","","","","","","1206","20mA",LED SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.25mm","2020-09-02 01:21:25.557000",Colorless,"1.60mm x 1.40mm",Rectangle with Flat Top,Clear,Active,Kingbright,APTR3216SYCK/J3-PRV,"320mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"19",Active,"0.20",Heli-R,"3.20mm L x 1.60mm W",DigiKey,"754-APTR3216SYCK/J3-PRVCT-ND","","","","","","","","","","","1206",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"140°","2V","590nm","590nm"
Yellow,=Value,Datasheet,https://vcclite.com/wp-content/uploads/wpallimport/files/files/CMD152122Series.pdf,DigiKey Link,http://digikey.com/product-detail/en/visual-communications-company-vcc/CMD15-21VYD-TR8/L62307CT-ND/254926,"","","","","","","","",Standard,"20mA",LED YELLOW DIFFUSED 1206 SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.30mm","2020-09-02 01:21:25.540000",Yellow,"2.00mm x 1.50mm",Rectangle with Flat Top,Diffused,Active,Visual Communications Company - VCC,CMD15-21VYD/TR8,"4mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"20",Active,"0.11",-,"3.20mm L x 1.50mm W",DigiKey,L62307CT-ND,"","","","","","","","","","","1206",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"","2V","","585nm"
Yellow,=Value,Datasheet,http://www.kingbrightusa.com/images/catalog/SPEC/APTD3216LSYCK.pdf,DigiKey Link,http://digikey.com/product-detail/en/kingbright/APTD3216LSYCK/754-2051-1-ND/7043103,"","","","","","","","",Standard,"2mA",LED YELLOW CLEAR 2SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.90mm","2020-09-02 01:21:25.523000",Colorless,"1.60mm Dia",Round with Domed Top,Clear,Active,Kingbright,APTD3216LSYCK,"40mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"21",Active,"0.09",-,"3.20mm L x 1.60mm W",DigiKey,"754-2051-1-ND","","","","","","","","","","","2-SMD",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"40°","1.85V","590nm","590nm"
Yellow,=Value,Datasheet,http://www.kingbrightusa.com/images/catalog/SPEC/APTD3216YC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kingbright/APTD3216YC/754-1161-1-ND/1747878,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR 2SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.90mm","2020-09-02 01:21:25.503000",Colorless,"1.60mm Dia",Round with Domed Top,Clear,Active,Kingbright,APTD3216YC,"40mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"22",Active,"0.09",-,"3.20mm L x 1.60mm W",DigiKey,"754-1161-1-ND","","","","","","","","","","","2-SMD",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"35°","2.1V","588nm","590nm"
Yellow,=Value,Datasheet,http://www.inolux-corp.com/datasheet/SMDLED/Mono%20Color%20Top%20View/IN-S126AT%20Series_V1.0.pdf,DigiKey Link,http://digikey.com/product-detail/en/inolux/IN-S126ATY/1830-1093-1-ND/7604683,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR 1206 SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.10mm","2020-09-02 01:21:25.490000",Clear,"2.00mm x 1.50mm",Rectangle with Flat Top,Clear,Active,Inolux,IN-S126ATY,"120mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"23",Active,"0.06",IN-S126AT,"3.20mm L x 1.50mm W",DigiKey,"1830-1093-1-ND","","","","","","","","","","","1206",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"120°","2V","591nm","594nm"
Yellow,=Value,Datasheet,https://www.sunledusa.com/products/spec/XZM2ACY55W-3.pdf,DigiKey Link,http://digikey.com/product-detail/en/sunled/XZM2ACY55W-3/1497-1157-1-ND/4745630,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR CHIP SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.80mm","2020-09-02 01:21:25.477000",Colorless,"1.60mm Dia",Round with Domed Top,Clear,Active,SunLED,XZM2ACY55W-3,"1890mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"24",Active,"0.22",-,"3.20mm L x 1.60mm W",DigiKey,"1497-1157-1-ND","","","","","","","","","","",Chip LED,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"35°","2V","590nm","590nm"
Yellow,=Value,Datasheet,https://www.sunledusa.com/products/spec/XZMYK55W-1.pdf,DigiKey Link,http://digikey.com/product-detail/en/sunled/XZMYK55W-1/1497-1195-1-ND/4745901,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR CHIP SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","0.75mm","2020-09-02 01:21:25.473000",Colorless,"1.90mm x 1.60mm",Rectangle with Flat Top,Clear,Active,SunLED,XZMYK55W-1,"148mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"25",Active,"0.07",-,"3.20mm L x 1.60mm W",DigiKey,"1497-1195-1-ND","","","","","","","","","","",Chip LED,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"120°","2V","590nm","590nm"
Yellow,=Value,Datasheet,https://vcclite.com/wp-content/uploads/wpallimport/files/files/CMD152122Series.pdf,DigiKey Link,http://digikey.com/product-detail/en/visual-communications-company-vcc/CMD15-21VYC-TR8/L62207CT-ND/254920,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR 1206 SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.30mm","2020-09-02 01:21:25.457000",Colorless,"2.00mm x 1.50mm",Rectangle with Flat Top,Clear,Active,Visual Communications Company - VCC,CMD15-21VYC/TR8,"6mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"26",Active,"0.14",-,"3.20mm L x 1.50mm W",DigiKey,L62207CT-ND,"","","","","","","","","","","1206",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"","2V","","585nm"
