"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"22uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C1210C226M8PACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C1210C226M8PACTU/399-8234-1-ND/3471957,"","","","","","","","",CAP CER 22UF 10V X5R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.857000","","",Active,KEMET,C1210C226M8PACTU,"1","Surface Mount, MLCC",-55°C ~ 85°C,"1210 (3225 Metric)",TapeAndReel,"23614",Active,"0.49","",SMD Comm X5R,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"399-8234-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.110 (2.80mm)",±20%,"","22uF","10V"
Boardflex Sensitive,"0.1uF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/CAN13X104KARACTU_Spec.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CAN13X104KARAC7800/399-20611-1-ND/9962489,"","","","","","","","",CAP CER 1210 0.1UF 250VAC X7R,"1210 (3225 Metric)","",Soft Termination,,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.837000","","",Active,KEMET,CAN13X104KARAC7800,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23615",Active,"0.50","",CAN SMD Indust X7R,"0.130 L x 0.102 W (3.30mm x 2.60mm)",DigiKey,"399-20611-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","0.1uF","250VAC"
General Purpose,"100uF",=Value,Datasheet,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=JMK325AC6107MMHP  &u=M,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/JMK325AC6107MMHP/587-4316-1-ND/5361260,"","","","","","","","",CAP CER 100UF 6.3V X6S 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.833000","","",Active,Taiyo Yuden,JMK325AC6107MMHP,"1","Surface Mount, MLCC",-55°C ~ 105°C,"1210 (3225 Metric)",TapeAndReel,"23616",Active,"0.51","",M,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"587-4316-1-ND","","","","","","","","","","",,capacitors\capacitor,X6S,"0.110 (2.80mm)",±20%,"","100uF","6.3V"
General Purpose,"2700pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C1210C272KCGACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C1210C272KCGACTU/399-7230-1-ND/3439525,"","","","","","","","",CAP CER 2700PF 500V C0G/NP0 1210,"1210 (3225 Metric)","","Low ESL, High Voltage",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.830000","","",Active,KEMET,C1210C272KCGACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23617",Active,"0.51","",SMD Comm C0G HV,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"399-7230-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.110 (2.80mm)",±10%,"","2700pF","500V"
General Purpose,"470pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C1210C471KGRACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C1210C471KGRAC7800/399-16545-1-ND/7917358,"","","","","","","","",CAP CER 470PF 2KV X7R 1210,"1210 (3225 Metric)","","Low ESL, High Voltage",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.823000","","",Active,KEMET,C1210C471KGRAC7800,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23618",Active,"0.51","",SMD Comm X7R HV,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"399-16545-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","470pF","2000V (2kV)"
Automotive,"10uF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCG32ER71E106KA12-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GCG32ER71E106KA12L/490-18199-1-ND/9867928,"","","","","","","","",CAP CER 10UF 25V X7R 1210 EPOXY,"1210 (3225 Metric)","",Epoxy Mountable,,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.803000","","",Active,Murata Electronics,GCG32ER71E106KA12L,"1","Surface Mount, MLCC, Epoxy",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23619",Active,"0.52",AEC-Q200,GCG,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"490-18199-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","10uF","25V"
Boardflex Sensitive,"2.2uF",=Value,Datasheet,http://datasheets.avx.com/FlexitermMLCC.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/12105C225KAZ2A/478-3591-1-ND/1024944,"","","","","","","","",CAP CER 2.2UF 50V X7R 1210,"1210 (3225 Metric)","",Soft Termination,,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.800000","","",Active,AVX Corporation,"12105C225KAZ2A","1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23620",Active,"0.53","",FLEXITERM®,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"478-3591-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.79mm)",±10%,"","2.2uF","50V"
General Purpose,"22uF",=Value,Datasheet,http://datasheets.avx.com/X7RDielectric.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/1210ZC226MAT2A/478-7982-1-ND/3881605,"","","","","","","","",CAP CER 22UF 10V X7R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.797000","","",Active,AVX Corporation,"1210ZC226MAT2A","1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23621",Active,"0.60","",-,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"478-7982-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.79mm)",±20%,"","22uF","10V"
"Automotive, Boardflex Sensitive","10uF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ32EC71H106KA01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GCJ32EC71H106KA01L/490-14418-1-ND/6606879,"","","","","","","","",CAP CER 10UF 50V X7S 1210,"1210 (3225 Metric)","",Soft Termination,,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.797000","","",Active,Murata Electronics,GCJ32EC71H106KA01L,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23622",Active,"0.53",AEC-Q200,GCJ,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"490-14418-1-ND","","","","","","","","","","",,capacitors\capacitor,X7S,"0.110 (2.80mm)",±10%,"","10uF","50V"
General Purpose,"0.047uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C3225CH2E473J250AA/445-15473-1-ND/4278646,"","","","","","","","",CAP CER 0.047UF 250V CH 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.793000","","",Active,TDK Corporation,C3225CH2E473J250AA,"1","Surface Mount, MLCC",-25°C ~ 85°C,"1210 (3225 Metric)",TapeAndReel,"23623",Active,"0.60","",C,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"445-15473-1-ND","","","","","","","","","","",,capacitors\capacitor,CH,"0.110 (2.80mm)",±5%,"","0.047uF","250V"
Automotive,"100uF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT32ER60J107ME13-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GRT32ER60J107ME13L/490-12498-1-ND/5417199,"","","","","","","","",CAP CER 100UF 6.3V X5R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.773000","","",Active,Murata Electronics,GRT32ER60J107ME13L,"1","Surface Mount, MLCC",-55°C ~ 85°C,"1210 (3225 Metric)",TapeAndReel,"23624",Active,"0.60",AEC-Q200,GRT,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"490-12498-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.106 (2.70mm)",±20%,"","100uF","6.3V"
"Automotive, Bypass, Decoupling","0.47uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C1210C474KARACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C1210C474KARACAUTO/399-17955-1-ND/9084025,"","","","","","","","",CAP CER 0.47UF 250V X7R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.770000","","",Active,KEMET,C1210C474KARACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23625",Active,"0.69",AEC-Q200,SMD Auto X7R,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"399-17955-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","0.47uF","250V"
"Automotive, Bypass, Decoupling","10uF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/C1210C106K3RACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C1210C106K3RACAUTO/399-7046-1-ND/3314553,"","","","","","","","",CAP CER 10UF 25V X7R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.753000","","",Active,KEMET,C1210C106K3RACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23626",Active,"0.22",AEC-Q200,SMD Auto X7R,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"399-7046-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","10uF","25V"
General Purpose,"47uF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32EC81C476KE15-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GRM32EC81C476KE15L/490-10531-1-ND/5026469,"","","","","","","","",CAP CER 47UF 16V X6S 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.753000","","",Active,Murata Electronics,GRM32EC81C476KE15L,"1","Surface Mount, MLCC",-55°C ~ 105°C,"1210 (3225 Metric)",TapeAndReel,"23627",Active,"0.23","",GRM,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"490-10531-1-ND","","","","","","","","","","",,capacitors\capacitor,X6S,"0.106 (2.70mm)",±10%,"","47uF","16V"
General Purpose,"47uF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32EC81C476ME15-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GRM32EC81C476ME15L/490-9968-1-ND/5026470,"","","","","","","","",CAP CER 47UF 16V X6S 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.730000","","",Active,Murata Electronics,GRM32EC81C476ME15L,"1","Surface Mount, MLCC",-55°C ~ 105°C,"1210 (3225 Metric)",TapeAndReel,"23628",Active,"0.23","",GRM,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"490-9968-1-ND","","","","","","","","","","",,capacitors\capacitor,X6S,"0.106 (2.70mm)",±20%,"","47uF","16V"
"Bypass, Decoupling","22uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C1210C226K4RACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C1210C226K4RAC7800/399-11662-1-ND/5023257,"","","","","","","","",CAP CER 22UF 16V X7R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.730000","","",Active,KEMET,C1210C226K4RAC7800,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23629",Active,"0.24","",SMD Comm X7R,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"399-11662-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","22uF","16V"
