"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"18pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CM02CG180J25AH/1253-CM02CG180J25AHCT-ND/11564041,"","","","","","","","",CAP CER 18PF 25V C0G/NP0 01005,"01005 (0402 Metric)","","",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.170000","","",Active,Kyocera International Inc. Electronic Components,CM02CG180J25AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",Unknown,Active,"0.10","",CM,"",DigiKey,"1253-CM02CG180J25AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±5%,"","18pF","25V"
General Purpose,"1.5pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CM02CG1R5C25AH/1253-CM02CG1R5C25AHCT-ND/11564034,"","","","","","","","",CAP CER 1.5PF 25V C0G/NP0 01005,"01005 (0402 Metric)","","",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.190000","","",Active,Kyocera International Inc. Electronic Components,CM02CG1R5C25AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",Unknown,Active,"0.10","",CM,"",DigiKey,"1253-CM02CG1R5C25AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","1.5pF","25V"
General Purpose,"4pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CM02CG4R0C25AH/1253-CM02CG4R0C25AHCT-ND/11564028,"","","","","","","","",CAP CER 4PF 25V C0G/NP0 01005,"01005 (0402 Metric)","","",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.210000","","",Active,Kyocera International Inc. Electronic Components,CM02CG4R0C25AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",Unknown,Active,"0.10","",CM,"",DigiKey,"1253-CM02CG4R0C25AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","4pF","25V"
General Purpose,"68pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CM02CG680J16AH/1253-CM02CG680J16AHCT-ND/11564025,"","","","","","","","",CAP CER 68PF 16V C0G/NP0 01005,"01005 (0402 Metric)","","",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.233000","","",Active,Kyocera International Inc. Electronic Components,CM02CG680J16AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",Unknown,Active,"0.10","",CM,"",DigiKey,"1253-CM02CG680J16AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±5%,"","68pF","16V"
General Purpose,"1pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CM02CG1R0C25AH/1253-CM02CG1R0C25AHCT-ND/11564018,"","","","","","","","",CAP CER 1PF 25V C0G/NP0 01005,"01005 (0402 Metric)","","",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.237000","","",Active,Kyocera International Inc. Electronic Components,CM02CG1R0C25AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",Unknown,Active,"0.10","",CM,"",DigiKey,"1253-CM02CG1R0C25AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","1pF","25V"
General Purpose,"22pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CM02CG220J25AH/1253-CM02CG220J25AHCT-ND/11564012,"","","","","","","","",CAP CER 22PF 25V C0G/NP0 01005,"01005 (0402 Metric)","","",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.240000","","",Active,Kyocera International Inc. Electronic Components,CM02CG220J25AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",Unknown,Active,"0.10","",CM,"",DigiKey,"1253-CM02CG220J25AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±5%,"","22pF","25V"
General Purpose,"15pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CM02CG150J25AH/1253-CM02CG150J25AHCT-ND/11563995,"","","","","","","","",CAP CER 15PF 25V C0G/NP0 01005,"01005 (0402 Metric)","","",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.243000","","",Active,Kyocera International Inc. Electronic Components,CM02CG150J25AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",Unknown,Active,"0.10","",CM,"",DigiKey,"1253-CM02CG150J25AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±5%,"","15pF","25V"
General Purpose,"33pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CM02CG330J16AH/1253-CM02CG330J16AHCT-ND/11563987,"","","","","","","","",CAP CER 33PF 16V C0G/NP0 01005,"01005 (0402 Metric)","","",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.250000","","",Active,Kyocera International Inc. Electronic Components,CM02CG330J16AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",Unknown,Active,"0.10","",CM,"",DigiKey,"1253-CM02CG330J16AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±5%,"","33pF","16V"
"RF, Microwave, High Frequency","12pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CG120J25AH/1253-CU02CG120J25AHCT-ND/11564164,"","","","","","","","",CAP CER 12PF 25V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.253000","","",Active,Kyocera International Inc. Electronic Components,CU02CG120J25AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CG120J25AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±5%,"","12pF","25V"
"RF, Microwave, High Frequency","1pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CG1R0C16AH/1253-CU02CG1R0C16AHCT-ND/11564163,"","","","","","","","",CAP CER 1PF 16V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.273000","","",Active,Kyocera International Inc. Electronic Components,CU02CG1R0C16AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CG1R0C16AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","1pF","16V"
"RF, Microwave, High Frequency","1.5pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CG1R5C25AH/1253-CU02CG1R5C25AHCT-ND/11564155,"","","","","","","","",CAP CER 1.5PF 25V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.290000","","",Active,Kyocera International Inc. Electronic Components,CU02CG1R5C25AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CG1R5C25AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","1.5pF","25V"
"RF, Microwave, High Frequency","10pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CG100J16AH/1253-CU02CG100J16AHCT-ND/11564154,"","","","","","","","",CAP CER 10PF 16V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.303000","","",Active,Kyocera International Inc. Electronic Components,CU02CG100J16AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CG100J16AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±5%,"","10pF","16V"
"RF, Microwave, High Frequency","9pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CG9R0C16AH/1253-CU02CG9R0C16AHCT-ND/11564150,"","","","","","","","",CAP CER 9PF 16V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.307000","","",Active,Kyocera International Inc. Electronic Components,CU02CG9R0C16AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CG9R0C16AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","9pF","16V"
"RF, Microwave, High Frequency","15pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CG150J16AH/1253-CU02CG150J16AHCT-ND/11564147,"","","","","","","","",CAP CER 15PF 16V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.310000","","",Active,Kyocera International Inc. Electronic Components,CU02CG150J16AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CG150J16AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±5%,"","15pF","16V"
"RF, Microwave, High Frequency","6pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CG6R0C25AH/1253-CU02CG6R0C25AHCT-ND/11564146,"","","","","","","","",CAP CER 6PF 25V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.313000","","",Active,Kyocera International Inc. Electronic Components,CU02CG6R0C25AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CG6R0C25AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","6pF","25V"
"RF, Microwave, High Frequency","18pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CG180J16AH/1253-CU02CG180J16AHCT-ND/11564134,"","","","","","","","",CAP CER 18PF 16V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.317000","","",Active,Kyocera International Inc. Electronic Components,CU02CG180J16AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CG180J16AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±5%,"","18pF","16V"
"RF, Microwave, High Frequency","2pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CG2R0C25AH/1253-CU02CG2R0C25AHCT-ND/11564131,"","","","","","","","",CAP CER 2PF 25V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.320000","","",Active,Kyocera International Inc. Electronic Components,CU02CG2R0C25AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CG2R0C25AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","2pF","25V"
"RF, Microwave, High Frequency","7pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CG7R0C16AH/1253-CU02CG7R0C16AHCT-ND/11564122,"","","","","","","","",CAP CER 7PF 16V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.323000","","",Active,Kyocera International Inc. Electronic Components,CU02CG7R0C16AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CG7R0C16AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","7pF","16V"
"RF, Microwave, High Frequency","0.5pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CGR50C25AH/1253-CU02CGR50C25AHCT-ND/11564120,"","","","","","","","",CAP CER 0.5PF 25V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.327000","","",Active,Kyocera International Inc. Electronic Components,CU02CGR50C25AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CGR50C25AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","0.5pF","25V"
"RF, Microwave, High Frequency","1.5pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CG1R5C16AH/1253-CU02CG1R5C16AHCT-ND/11564116,"","","","","","","","",CAP CER 1.5PF 16V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.330000","","",Active,Kyocera International Inc. Electronic Components,CU02CG1R5C16AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CG1R5C16AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","1.5pF","16V"
"RF, Microwave, High Frequency","0.5pF",=Value,Datasheet,https://global.kyocera.com/prdct/electro/product/pdf/cm_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CU02CGR50C16AH/1253-CU02CGR50C16AHCT-ND/11564114,"","","","","","","","",CAP CER 0.5PF 16V C0G 01005,"01005 (0402 Metric)","","High Q, Low Loss",,,,"Capacitor-MLCC\C01005N,Capacitor-MLCC\C01005L,Capacitor-MLCC\C01005M",,,"","2020-09-02 01:27:41.333000","","",Active,Kyocera International Inc. Electronic Components,CU02CGR50C16AH,"1","Surface Mount, MLCC",-55°C ~ 125°C,"01005 (0402 Metric)",TapeAndReel,Active,"0.01","",CU,"",DigiKey,"1253-CU02CGR50C16AHCT-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","",±0.25pF,"","0.5pF","16V"
