"Applications","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Connector Type","Contact Finish","Contact Material","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height Above Board","LastUpdated","LED Color","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Cores per Jack","Number of Ports","Number of Rows","Operating Temperature","Orientation","Packaging","Part Status","Price","Series","Shielding","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Tab Direction","Termination","Type","Value"
"10/100 Base-TX, AutoMDIX",=Part Number,Datasheet,https://abracon.com/Magnetics/lan/ARJC02-111008B.PDF,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ARJC02-111008B/535-12605-ND/4696789,"","","","","","","","",RJ45,"","",CONN MAGJACK 1PORT 100 BASE-TX,"",Board Guide,footprints/Connector - Misc/PCB - CONNECTOR - MISC - ABRACON ARJC02-111008B.PCBLIB,"","",ABRACON ARJC02-111008B,"","","0.534 (13.55mm)","2020-01-15 03:56:28.070000",Yellow - Green,Active,Abracon LLC,ARJC02-111008B,"1",Through Hole,"4","1","1","0°C ~ 70°C","90° Angle (Right)",Tray,Active,"7.80",ARJC02,"Shielded, EMI Finger",DigiKey,"535-12605-ND","","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - MODULAR JACK WITH MAGNETICS SHIELD LEDS.SCHLIB,MODULAR JACK WITH MAGNETICS SHIELD LEDS,Down,Solder,"",""
"10/100/1000 Base-T, AutoMDIX",=Part Number,Datasheet,http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-8441.pdf,DigiKey Link,http://digikey.com/product-detail/en/molex/0857931001/WM10310-ND/4134750,"","","","","","","","",RJ45,Gold,Copper Alloy,CONN MAGJACK 1PORT 1000 BASE-T,"",Board Lock,footprints/Connector - Molex/PCB - CONNECTOR - MOLEX - MOLEX 857931001.PCBLIB,"","",MOLEX 857931001,"","","0.546 (13.87mm)","2020-01-15 03:59:21.343000",Green - Green,Active,Molex,"0857931001","1",Through Hole,"8","1","1","0°C ~ 70°C","90° Angle (Right)",Tray,Active,"9.21","85793","Shielded, EMI Finger",DigiKey,WM10310-ND,"","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - MODULAR JACK WITH MAGNETICS SHIELD LEDS.SCHLIB,MODULAR JACK WITH MAGNETICS SHIELD LEDS,Up,Solder,"",""
