"Card Thickness","Card Type","Color","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Contact Finish","Contact Finish Thickness","Contact Material","Contact Type","Description","Device Package","Features","Flange Feature","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Gender","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Positions","Number of Positions/Bay/Row","Number of Rows","Operating Temperature","Packaging","Part Status","Pitch","Price","Read Out","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Termination","Type","Value"
"0.054 ~ 0.070 (1.37mm ~ 1.78mm)",Non Specified - Dual Edge,Black,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5650118&DocType=Customer+Drawing&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-amp-connectors/5650118-3/A115473-ND/2188158,"","","","","","","","",Gold,"30.0µin (0.76µm)",Phosphor Bronze,"",CONN EDGE DUAL FMALE 12POS 0.100,"","","",footprints/Connector - TE/PCB - CONNECTOR - TE - TE 5650118-3.PCBLIB,"","",TE 5650118-3,"","",Female,"2020-08-06 22:58:17.203000",Active,TE Connectivity AMP Connectors,"5650118-3","1","Through Hole, Right Angle","12",-55°C ~  85°C,"2",-55°C ~  85°C,Tray,Active,"0.100 (2.54mm)","2.50",Dual,Standard Edge II,DigiKey,A115473-ND,"","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 12 PIN DUAL ROW.SCHLIB,"12 PIN DUAL ROW",Solder,"",""
"0.062 (1.57mm)",Non Specified - Dual Edge,Black,=Part Number,Datasheet,http://suddendocs.samtec.com/catalog_english/hsec8_dv.pdf,DigiKey Link,http://digikey.com/product-detail/en/samtec-inc/HSEC8-110-01-L-DV-A/SAM15496-ND/6693433,"","","","","","","","",Gold,"10.0µin (0.25µm)",Beryllium Copper,Cantilever,CONN EDGE DUAL FMALE 20POS 0.031,"","Board Guide, Locking Ramp","",footprints/Connector - Samtec/PCB - CONNECTOR - SAMTEC - SAMTEC HSEC8-110-01-L-DV-A.PcbLib,"","",SAMTEC HSEC8-110-01-L-DV-A,"","",Female,"2020-08-06 22:58:59.633000",Active,Samtec Inc.,HSEC8-110-01-L-DV-A,"1",Surface Mount,"20","10","2",-55°C ~ 125°C,Tray,Active,"0.031 (0.80mm)","3.40",Dual,Edge Rate™ HSEC8,DigiKey,SAM15496-ND,"","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 20 PIN DUAL ROW.SCHLIB,"20 PIN DUAL ROW",Solder,"",""
