"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Composition","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Number of Terminations","Operating Temperature","Package / Case","Packaging","Part Status","Power (Watts)","Price","Ratings","Resistance","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Temperature Coefficient","Tolerance","Type","Value"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/RK73B/RK73B.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/RK73B3ATTE163J/2019-RK73B3ATTE163JCT-ND/10425371,"","","","","","","","",Thick Film,RES 16K OHM 5% 1W 2512,"2512 (6432 Metric)","","Automotive AEC-Q200, Moisture Resistant",,,,"R2512N,R2512L,R2512M",,,"0.028 (0.70mm)","2020-09-02 01:26:48.983000",Active,"KOA Speer Electronics, Inc.",RK73B3ATTE163J,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.04",AEC-Q200,"16 kOhms",RK73B,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"2019-RK73B3ATTE163JCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","16k"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/RK73B/RK73B.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/RK73B3ATTE1R8J/2019-RK73B3ATTE1R8JCT-ND/10425279,"","","","","","","","",Thick Film,RES 1.8 OHM 5% 1W 2512,"2512 (6432 Metric)","","Automotive AEC-Q200, Moisture Resistant",,,,"R2512N,R2512L,R2512M",,,"0.028 (0.70mm)","2020-09-02 01:26:48.993000",Active,"KOA Speer Electronics, Inc.",RK73B3ATTE1R8J,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.04",AEC-Q200,"1.8 Ohms",RK73B,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"2019-RK73B3ATTE1R8JCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","1.8"
=Value,Datasheet,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/RMCF2512FT340R/RMCF2512FT340RCT-ND/6053799,"","","","","","","","",Thick Film,RES 340 OHM 1% 1W 2512,"2512 (6432 Metric)","",Automotive AEC-Q200,,,,"R2512N,R2512L,R2512M",,,"0.028 (0.70mm)","2020-09-02 01:26:48.997000",Active,Stackpole Electronics Inc,RMCF2512FT340R,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.04",AEC-Q200,"340 Ohms",RMCF,"0.248 L x 0.126 W (6.30mm x 3.20mm)",DigiKey,RMCF2512FT340RCT-ND,"","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±100ppm/°C,±1%,"","340"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CRM.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CRM2512-JW-2R7ELF/118-CRM2512-JW-2R7ELFCT-ND/10673771,"","","","","","","","",Thick Film,RES SMD 2.7 OHM 5% 2W 2512,"2512 (6432 Metric)","",Current Sense,,,,"R2512N,R2512L,R2512M",,,"0.031 (0.80mm)","2020-09-02 01:26:49.010000",Active,Bourns Inc.,CRM2512-JW-2R7ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"2W","0.10","","2.7 Ohms",CRM2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CRM2512-JW-2R7ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","2.7"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CRM.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CRM2512-JW-1R5ELF/118-CRM2512-JW-1R5ELFCT-ND/10668348,"","","","","","","","",Thick Film,RES SMD 1.5 OHM 5% 2W 2512,"2512 (6432 Metric)","",Current Sense,,,,"R2512N,R2512L,R2512M",,,"0.031 (0.80mm)","2020-09-02 01:26:49.020000",Active,Bourns Inc.,CRM2512-JW-1R5ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"2W","0.10","","1.5 Ohms",CRM2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CRM2512-JW-1R5ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","1.5"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CRM.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CRM2512-JW-3R6ELF/118-CRM2512-JW-3R6ELFCT-ND/10668342,"","","","","","","","",Thick Film,RES SMD 3.6 OHM 5% 2W 2512,"2512 (6432 Metric)","",Current Sense,,,,"R2512N,R2512L,R2512M",,,"0.031 (0.80mm)","2020-09-02 01:26:49.023000",Active,Bourns Inc.,CRM2512-JW-3R6ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"2W","0.10","","3.6 Ohms",CRM2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CRM2512-JW-3R6ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","3.6"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CRM.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CRM2512-JW-2R0ELF/118-CRM2512-JW-2R0ELFCT-ND/10668329,"","","","","","","","",Thick Film,RES SMD 2 OHM 5% 2W 2512,"2512 (6432 Metric)","",Current Sense,,,,"R2512N,R2512L,R2512M",,,"0.031 (0.80mm)","2020-09-02 01:26:49.027000",Active,Bourns Inc.,CRM2512-JW-2R0ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"2W","0.10","","2 Ohms",CRM2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CRM2512-JW-2R0ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","2"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CRL.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CRL2512-JW-R820ELF/118-CRL2512-JW-R820ELFCT-ND/10673775,"","","","","","","","",Thick Film,RES 0.82 OHM 5% 1W 2512,"2512 (6432 Metric)","","",,,,"R2512N,R2512L,R2512M",,,"0.028 (0.70mm)","2020-09-02 01:26:49.040000",Active,Bourns Inc.,CRL2512-JW-R820ELF,"1","2",-55°C ~ 125°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.09","","820 mOhms",CRL,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CRL2512-JW-R820ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","820m"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CR2010.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CR2512-JW-100ELF/118-CR2512-JW-100ELFCT-ND/10673870,"","","","","","","","",Thick Film,RES SMD 10 OHM 5% 1W 2512,"2512 (6432 Metric)","","",,,,"R2512N,R2512L,R2512M",,,"0.030 (0.75mm)","2020-09-02 01:26:49.050000",Active,Bourns Inc.,CR2512-JW-100ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.07","","10 Ohms",CR2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CR2512-JW-100ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","10"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CR2010.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CR2512-JW-101ELF/118-CR2512-JW-101ELFCT-ND/10673850,"","","","","","","","",Thick Film,RES SMD 100 OHM 5% 1W 2512,"2512 (6432 Metric)","","",,,,"R2512N,R2512L,R2512M",,,"0.030 (0.75mm)","2020-09-02 01:26:49.073000",Active,Bourns Inc.,CR2512-JW-101ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.07","","100 Ohms",CR2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CR2512-JW-101ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","100"
