Part Type,Part Number,Schematic Part,Part Value,Function,Output Configuration,Topology,Output Type,Number of Outputs,Voltage - Input,Voltage - Output (Min/Fixed),Voltage - Output (Max),Current - Output,Frequency - Switching,Synchronous Rectifier,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Charge Pump Switching Regulator,LM27762DSSR,voltage_regulator_dc_dc\lm27762,LM27762DSSR,Step-Up/Step-Down,Positive and Negative (Dual Rail),Charge Pump,Adjustable,2 - Dual,2.7V ~ 5.5V,"-5V, 1.5V","-1.5V, 5V",250mA,1.7MHz ~ 2.3MHz,No,TI-WSON50P300X200X80-12N-D,12-WFDFN Exposed Pad,,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm27762,"Charge Pump Switching Regulator IC Positive and Negative (Dual Rail) Adjustable -5V, 1.5V 2 - Dual Output 250mA 12-WFDFN Exposed Pad",Surface Mount,0.118 L x 0.079 W (3.0mm x 2.0mm),13,-40°C ~ 85°C (TA),,Texas Instruments,,,
Charge Pump Switching Regulator,TPS60403DBVR,,TPS60403DBVR,Ratiometric,Positive or Negative,Charge Pump,Fixed,1,1.8V ~ 5.25V,"-Vin, 2Vin, Vin/2",-,60mA,250KHz,No,,"SC-74A, SOT-753",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps60400,"Charge Pump Switching Regulator IC Positive or Negative Fixed -Vin, 2Vin, Vin/2 1 Output 60mA SC-74A, SOT-753",Surface Mount,,5,-40°C ~ 125°C (TJ),,Texas Instruments,,,
