Part Type,Part Number,Schematic Part,Part Value,Function,Output Type,Number of Elements,Number of Bits per Element,Clock Frequency,"Max Propagation Delay @ V, Max CL",Trigger Type,"Current - Output High, Low",Voltage - Supply,Current - Quiescent (Iq),Input Capacitance,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
D-Type,SN74AUP1G80DCKR,ti_logic\sn74aup1g80,SN74AUP1G80DCKR,Standard,Inverted,1,1,260 MHz,"6.4ns @ 3.3V, 30pF",Positive Edge,"4mA, 4mA",0.8V ~ 3.6V,500 nA,1.5 pF,TI-SOT65P210X110-5N,"5-TSSOP, SC-70-5, SOT-353",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74aup1g80,"Flip Flop 1 Element D-Type 1 Bit Positive Edge 5-TSSOP, SC-70-5, SOT-353",Surface Mount,0.079 L x 0.083 W (2.0mm x 2.1mm),5,-40°C ~ 85°C (TA),,Texas Instruments,,,
D-Type,SN74AUP1G80DBVR,ti_logic\sn74aup1g80,SN74AUP1G80DBVR,Standard,Inverted,1,1,260 MHz,"6.4ns @ 3.3V, 30pF",Positive Edge,"4mA, 4mA",0.8V ~ 3.6V,500 nA,1.5 pF,SOT94P279X129-5N,"SC-74A, SOT-753",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74aup1g80,"Flip Flop 1 Element D-Type 1 Bit Positive Edge SC-74A, SOT-753",Surface Mount,0.122 L x 0.118 W (2.9mm x 2.8mm),5,-40°C ~ 85°C (TA),,Texas Instruments,,,
