Part Type,Part Number,Schematic Part,Part Value,Current - Reverse Leakage @ Vr,Impedance (Max) (Zzt),Voltage - Forward (Vf) (Max) @ If,Voltage - Zener (Nom) (Vz),Tolerance,Allegro PCB Footprint,Package / Case,Pspice Model,Power - Max,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE ZENER,BZG03C130-M3-08,diodes\Diode_ZENER,,1µA @ 100V,300 Ohms,1.2V @ 500mA,130V,±6.54%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf,DIODE ZENER 130V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,SML4753A-E3/61,diodes\Diode_ZENER,,5µA @ 27.4V,50 Ohms,,36V,±5%,,"DO-214AC, SMA",,1W,,//media.digikey.com/pdf/Data%20Sheets/Vishay%20Siliconix%20PDFs/SML4728-SML4764A.pdf,DIODE ZENER 36V 1W DO214AC,Surface Mount,,2,150°C,,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG03C240-M3-08,diodes\Diode_ZENER,,1µA @ 180V,850 Ohms,1.2V @ 500mA,240V,±5.83%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf,DIODE ZENER 240V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,SML4748A-E3/61,diodes\Diode_ZENER,,5µA @ 16.7V,23 Ohms,,22V,±5%,,"DO-214AC, SMA",,1W,,//media.digikey.com/pdf/Data%20Sheets/Vishay%20Siliconix%20PDFs/SML4728-SML4764A.pdf,DIODE ZENER 22V 1W DO214AC,Surface Mount,,2,150°C,,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,SML4756A-E3/61,diodes\Diode_ZENER,,5µA @ 35.8V,80 Ohms,,47V,±5%,,"DO-214AC, SMA",,1W,,//media.digikey.com/pdf/Data%20Sheets/Vishay%20Siliconix%20PDFs/SML4728-SML4764A.pdf,DIODE ZENER 47V 1W DO214AC,Surface Mount,,2,150°C,,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,SML4750A-E3/61,diodes\Diode_ZENER,,5µA @ 20.6V,35 Ohms,,27V,±5%,,"DO-214AC, SMA",,1W,,//media.digikey.com/pdf/Data%20Sheets/Vishay%20Siliconix%20PDFs/SML4728-SML4764A.pdf,DIODE ZENER 27V 1W DO214AC,Surface Mount,,2,150°C,,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG03C20-M3-08,diodes\Diode_ZENER,,1µA @ 15V,15 Ohms,1.2V @ 500mA,20V,±6%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf,DIODE ZENER 20V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG03C82-HM3-08,diodes\Diode_ZENER,,1µA @ 62V,100 Ohms,1.2V @ 500mA,82V,±6.1%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf,DIODE ZENER 82V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG03C68-HM3-08,diodes\Diode_ZENER,,1µA @ 51V,80 Ohms,1.2V @ 500mA,68V,±5.88%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf,DIODE ZENER 68V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG03C91-HM3-08,diodes\Diode_ZENER,,1µA @ 68V,200 Ohms,1.2V @ 500mA,91V,±6.04%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf,DIODE ZENER 91V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG03C56-HM3-08,diodes\Diode_ZENER,,1µA @ 43V,60 Ohms,1.2V @ 500mA,56V,±7.14%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf,DIODE ZENER 56V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG03C43-HM3-08,diodes\Diode_ZENER,,1µA @ 33V,45 Ohms,1.2V @ 500mA,43V,±6.98%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf,DIODE ZENER 43V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG03C51-HM3-08,diodes\Diode_ZENER,,1µA @ 39V,60 Ohms,1.2V @ 500mA,51V,±5.88%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf,DIODE ZENER 51V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,CMZ5938B TR13 PBFREE,diodes\Diode_ZENER,,1µA @ 27.4V,38 Ohms,1.5V @ 200mA,36V,±5%,,"DO-214AC, SMA",,500mW,,https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=CMZ5921B.PDF,DIODE ZENER 36V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,Central Semiconductor Corp,,,
DIODE ZENER,CMZ5951B TR13,diodes\Diode_ZENER,,1µA @ 91.2V,360 Ohms,1.5V @ 200mA,120V,±5%,,"DO-214AC, SMA",,500mW,,https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=CMZ5921B.PDF,DIODE ZENER 120V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,Central Semiconductor Corp,,,
DIODE ZENER,CMZ5936B TR13 PBFREE,diodes\Diode_ZENER,,1µA @ 22.8V,26 Ohms,1.5V @ 200mA,30V,±5%,,"DO-214AC, SMA",,500mW,,https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=CMZ5921B.PDF,DIODE ZENER 30V 500MW SMA,Surface Mount,,2,-65°C ~ 150°C,,Central Semiconductor Corp,,,
DIODE ZENER,CMZ5929B TR13 PBFREE,diodes\Diode_ZENER,,1µA @ 11.4V,9 Ohms,1.5V @ 200mA,15V,±5%,,"DO-214AC, SMA",,1.5W,,https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=CMZ5921B.PDF,DIODE ZENER 15V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,Central Semiconductor Corp,,,
DIODE ZENER,CMZ5921B TR13 PBFREE,diodes\Diode_ZENER,,5µA @ 5.2V,2.5 Ohms,1.5V @ 200mA,6.8V,±5%,,"DO-214AC, SMA",,500mW,,https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=CMZ5921B.PDF,DIODE ZENER 6.8V 500MW SMA,Surface Mount,,2,-65°C ~ 150°C,,Central Semiconductor Corp,,,
DIODE ZENER,3SMAJ5944B-TP,diodes\Diode_ZENER,,1µA @ 47.1V,100 Ohms,1.5V @ 200mA,62V,±5%,,"DO-214AC, SMA",,3W,,https://www.mccsemi.com/pdf/Products/3SMAJ5913B~3SMAJ5956B(DO-214AC).pdf,DIODE ZENER 62V 3W DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,ACZRA4728-HF,diodes\Diode_ZENER,,100µA @ 1V,10 Ohms,1.2V @ 200mA,3.3V,±5%,,"DO-214AC, SMA",,1W,,http://www.comchiptech.com/admin/files/product/ACZRA47XX-HF%20Series%20RevA.pdf,DIODE ZENER 3.3V 1W DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Comchip Technology,,,
DIODE ZENER,BZG03C24-M3-08,diodes\Diode_ZENER,,1µA @ 18V,15 Ohms,1.2V @ 500mA,24V,±5.83%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf,DIODE ZENER 24V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,SMAZ22-TP,diodes\Diode_ZENER,,500nA @ 16.7V,15 Ohms,1.2V @ 200mA,22V,±5%,,"DO-214AC, SMA",,1W,,https://www.mccsemi.com/pdf/Products/SMAZ5V1%20-%20SMAZ39(DO-214AC).pdf,DIODE ZENER 22V 1W DO214AC,Surface Mount,,2,-65°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,SMAZ16-TP,diodes\Diode_ZENER,,500nA @ 12.2V,15 Ohms,1.2V @ 200mA,16V,±5%,,"DO-214AC, SMA",,1W,,https://www.mccsemi.com/pdf/Products/SMAZ5V1%20-%20SMAZ39(DO-214AC).pdf,DIODE ZENER 16V 1W DO214AC,Surface Mount,,2,-65°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,SMAJ4764A-TP,diodes\Diode_ZENER,,5µA @ 76V,350 Ohms,1.2V @ 100mA,100V,±5%,,"DO-214AC, SMA",,1W,,https://www.mccsemi.com/pdf/Products/SMAJ4733A-SMAJ4764A(DO-214AC).pdf,DIODE ZENER 100V 1W DO214AC,Surface Mount,,2,-65°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,1SMA5929BT3G,diodes\Diode_ZENER,,500nA @ 11.4V,9 Ohms,1.5V @ 200mA,15V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 15V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5915BT3G,diodes\Diode_ZENER,,12.5µA @ 1V,7.5 Ohms,1.5V @ 200mA,3.9V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 3.9V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5917BT3G,diodes\Diode_ZENER,,2.5µA @ 1.5V,5 Ohms,1.5V @ 200mA,4.7V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 4.7V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5943BT3G,diodes\Diode_ZENER,,500nA @ 42.6V,86 Ohms,1.5V @ 200mA,56V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 56V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5923BT3G,diodes\Diode_ZENER,,2.5µA @ 6.5V,3.5 Ohms,1.5V @ 200mA,8.2V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 8.2V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5916BT3G,diodes\Diode_ZENER,,2.5µA @ 1V,6 Ohms,1.5V @ 200mA,4.3V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 4.3V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5936BT3G,diodes\Diode_ZENER,,500nA @ 22.8V,26 Ohms,1.5V @ 200mA,30V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 30V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5913BT3G,diodes\Diode_ZENER,,50µA @ 1V,10 Ohms,1.5V @ 200mA,3.3V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 3.3V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5927BT3G,diodes\Diode_ZENER,,500nA @ 9.1V,6.5 Ohms,1.5V @ 200mA,12V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 12V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5935BT3G,diodes\Diode_ZENER,,500nA @ 20.6V,23 Ohms,1.5V @ 200mA,27V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 27V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5921BT3G,diodes\Diode_ZENER,,2.5µA @ 5.2V,2.5 Ohms,1.5V @ 200mA,6.8V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 6.8V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5914BT3G,diodes\Diode_ZENER,,35.5µA @ 1V,9 Ohms,1.5V @ 200mA,3.6V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 3.6V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5922BT3G,diodes\Diode_ZENER,,2.5µA @ 6V,3 Ohms,1.5V @ 200mA,7.5V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 7.5V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5925BT3G,diodes\Diode_ZENER,,2.5µA @ 8V,4.5 Ohms,1.5V @ 200mA,10V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 10V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5930BT3G,diodes\Diode_ZENER,,500nA @ 12.2V,10 Ohms,1.5V @ 200mA,16V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 16V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5932BT3G,diodes\Diode_ZENER,,500nA @ 15.2V,14 Ohms,1.5V @ 200mA,20V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 20V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA5938BT3G,diodes\Diode_ZENER,,500nA @ 27.4V,38 Ohms,1.5V @ 200mA,36V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.onsemi.com/pub/Collateral/1SMA5913BT3-D.PDF,DIODE ZENER 36V 1.5W SMA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,1SMA4744 R3G,diodes\Diode_ZENER,,1µA @ 11.4V,14 Ohms,,15V,±5%,,"DO-214AC, SMA",,1.25W,,https://www.taiwansemi.com/products/datasheet/1SMA4737%20SERIES_O15.pdf,DIODE ZENER 15V 1.25W DO214AC,Surface Mount,,2,-55°C ~ 175°C (TJ),,Taiwan Semiconductor Corporation,,,
DIODE ZENER,SMAZ6V2-13-F,diodes\Diode_ZENER,,5µA @ 3V,2 Ohms,1.2V @ 200mA,6.2V,±5%,,"DO-214AC, SMA",,1W,,https://www.diodes.com/assets/Datasheets/ds18015.pdf,DIODE ZENER 6.2V 1W SMA,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,SMAZ16-13-F,diodes\Diode_ZENER,,500nA @ 12.2V,15 Ohms,1.2V @ 200mA,16V,±5%,,"DO-214AC, SMA",,1W,,https://www.diodes.com/assets/Datasheets/ds18015.pdf,DIODE ZENER 16V 1W SMA,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,SMAZ36-13-F,diodes\Diode_ZENER,,500nA @ 27.4V,40 Ohms,1.2V @ 200mA,36V,±5%,,"DO-214AC, SMA",,1W,,https://www.diodes.com/assets/Datasheets/ds18015.pdf,DIODE ZENER 36V 1W SMA,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,SMAZ8V2-13-F,diodes\Diode_ZENER,,5µA @ 6V,2 Ohms,1.2V @ 200mA,8.2V,±5%,,"DO-214AC, SMA",,1W,,https://www.diodes.com/assets/Datasheets/ds18015.pdf,DIODE ZENER 8.2V 1W SMA,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,SMAZ33-13-F,diodes\Diode_ZENER,,500nA @ 25.1V,15 Ohms,1.2V @ 200mA,33V,±5%,,"DO-214AC, SMA",,1W,,https://www.diodes.com/assets/Datasheets/ds18015.pdf,DIODE ZENER 33V 1W SMA,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,SMAZ27-13-F,diodes\Diode_ZENER,,500nA @ 20.5V,15 Ohms,1.2V @ 200mA,27V,±5%,,"DO-214AC, SMA",,1W,,https://www.diodes.com/assets/Datasheets/ds18015.pdf,DIODE ZENER 27V 1W SMA,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,SMAZ7V5-13-F,diodes\Diode_ZENER,,5µA @ 5V,2 Ohms,1.2V @ 200mA,7.5V,±5%,,"DO-214AC, SMA",,1W,,https://www.diodes.com/assets/Datasheets/ds18015.pdf,DIODE ZENER 7.5V 1W SMA,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,SMAZ39-13-F,diodes\Diode_ZENER,,500nA @ 29.6V,40 Ohms,1.2V @ 200mA,39V,±5%,,"DO-214AC, SMA",,1W,,https://www.diodes.com/assets/Datasheets/ds18015.pdf,DIODE ZENER 39V 1W SMA,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,SMAZ22-13-F,diodes\Diode_ZENER,,500nA @ 16.7V,15 Ohms,1.2V @ 200mA,22V,±5%,,"DO-214AC, SMA",,1W,,https://www.diodes.com/assets/Datasheets/ds18015.pdf,DIODE ZENER 22V 1W SMA,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,SMAJ5941B-TP,diodes\Diode_ZENER,,500nA @ 35.8V,67 Ohms,1.5V @ 200mA,47V,±5%,,"DO-214AC, SMA",,1.5W,,https://www.mccsemi.com/pdf/Products/SMAJ5913B-SMAJ5956B(DO-214AC).pdf,DIODE ZENER 47V 1.5W DO214AC,Surface Mount,,2,150°C,,Micro Commercial Co,,,
DIODE ZENER,1SMA200Z R3G,diodes\Diode_ZENER,,1µA @ 152V,1.5 kOhms,,200V,±5%,,"DO-214AC, SMA",,1.25W,,https://www.taiwansemi.com/products/datasheet/1SMA4737%20SERIES_O15.pdf,DIODE ZENER 200V 1.25W DO214AC,Surface Mount,,2,-55°C ~ 175°C (TJ),,Taiwan Semiconductor Corporation,,,
DIODE ZENER,BZG05C4V7-M3-08,diodes\Diode_ZENER,,3µA @ 1V,13 Ohms,1.2V @ 200mA,4.7V,±6.38%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86135/bzg05c-m-series.pdf,DIODE ZENER 4.7V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG05C6V2-M3-08,diodes\Diode_ZENER,,1µA @ 3V,4 Ohms,1.2V @ 200mA,6.2V,±6.45%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86135/bzg05c-m-series.pdf,DIODE ZENER 6.2V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG05C3V3-M3-08,diodes\Diode_ZENER,,40µA @ 1V,20 Ohms,1.2V @ 200mA,3.3V,±6.06%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86135/bzg05c-m-series.pdf,DIODE ZENER 3.3V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG05C5V6-M3-08,diodes\Diode_ZENER,,1µA @ 2V,7 Ohms,1.2V @ 200mA,5.6V,±7.14%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86135/bzg05c-m-series.pdf,DIODE ZENER 5.6V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG05C3V6-M3-08,diodes\Diode_ZENER,,20µA @ 1V,20 Ohms,1.2V @ 200mA,3.6V,±5.56%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86135/bzg05c-m-series.pdf,DIODE ZENER 3.6V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG05C5V1-M3-08,diodes\Diode_ZENER,,1µA @ 1.5V,10 Ohms,1.2V @ 200mA,5.1V,±5.88%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86135/bzg05c-m-series.pdf,DIODE ZENER 5.1V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,3SMAJ5920B-TP,diodes\Diode_ZENER,,5µA @ 4V,2 Ohms,1.5V @ 200mA,6.2V,±5%,,"DO-214AC, SMA",,3W,,https://www.mccsemi.com/pdf/Products/3SMAJ5913B~3SMAJ5943B(DO-214AC).pdf,DIODE ZENER 6.2V 3W DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,3SMAJ5921B-TP,diodes\Diode_ZENER,,5µA @ 5.2V,2.5 Ohms,1.5V @ 200mA,6.8V,±5%,,"DO-214AC, SMA",,3W,,https://www.mccsemi.com/pdf/Products/3SMAJ5913B~3SMAJ5943B(DO-214AC).pdf,DIODE ZENER 6.8V 3W DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,3SMAJ5934B-TP,diodes\Diode_ZENER,,1µA @ 18.2V,19 Ohms,1.5V @ 200mA,24V,±5%,,"DO-214AC, SMA",,3W,,https://www.mccsemi.com/pdf/Products/3SMAJ5913B~3SMAJ5943B(DO-214AC).pdf,DIODE ZENER 24V 3W DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,3SMAJ5923B-TP,diodes\Diode_ZENER,,5µA @ 6.5V,3.5 Ohms,1.5V @ 200mA,8.2V,±5%,,"DO-214AC, SMA",,3W,,https://www.mccsemi.com/pdf/Products/3SMAJ5913B~3SMAJ5943B(DO-214AC).pdf,DIODE ZENER 8.2V 3W DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,3SMAJ5927B-TP,diodes\Diode_ZENER,,1µA @ 9.1V,6.5 Ohms,1.5V @ 200mA,12V,±5%,,"DO-214AC, SMA",,3W,,https://www.mccsemi.com/pdf/Products/3SMAJ5913B~3SMAJ5943B(DO-214AC).pdf,DIODE ZENER 12V 3W DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,3SMAJ5930B-TP,diodes\Diode_ZENER,,1µA @ 12.2V,10 Ohms,1.5V @ 200mA,16V,±5%,,"DO-214AC, SMA",,3W,,https://www.mccsemi.com/pdf/Products/3SMAJ5913B~3SMAJ5943B(DO-214AC).pdf,DIODE ZENER 16V 3W DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,3SMAJ5932B-TP,diodes\Diode_ZENER,,1µA @ 15.2V,14 Ohms,1.5V @ 200mA,20V,±5%,,"DO-214AC, SMA",,3W,,https://www.mccsemi.com/pdf/Products/3SMAJ5913B~3SMAJ5943B(DO-214AC).pdf,DIODE ZENER 20V 3W DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,3SMAJ5936B-TP,diodes\Diode_ZENER,,1µA @ 22.8V,28 Ohms,1.5V @ 200mA,30V,±5%,,"DO-214AC, SMA",,3W,,https://www.mccsemi.com/pdf/Products/3SMAJ5913B~3SMAJ5943B(DO-214AC).pdf,DIODE ZENER 30V 3W DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,3SMAJ5950B-TP,diodes\Diode_ZENER,,1µA @ 83.6V,300 Ohms,1.5V @ 200mA,110V,±5%,,"DO-214AC, SMA",,3W,,https://www.mccsemi.com/pdf/Products/3SMAJ5913B~3SMAJ5956B(DO-214AC).pdf,DIODE ZENER 110V 3W DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE ZENER,BZG05C5V6-HM3-08,diodes\Diode_ZENER,,1µA @ 2V,7 Ohms,1.2V @ 200mA,5.6V,±7.14%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86135/bzg05c-m-series.pdf,DIODE ZENER 5.6V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZG05C3V3-HM3-08,diodes\Diode_ZENER,,40µA @ 1V,20 Ohms,1.2V @ 200mA,3.3V,±6.06%,,"DO-214AC, SMA",,1.25W,,http://www.vishay.com/docs/86135/bzg05c-m-series.pdf,DIODE ZENER 3.3V 1.25W DO214AC,Surface Mount,,2,150°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,BZT52C3V3-HE3-18,diodes\Diode_ZENER,,,80 Ohms,,3.3V,±5%,,SOD-123,,410mW,,http://www.vishay.com/docs/85760/bzt52.pdf,DIODE ZENER 3.3V 410MW SOD123,Surface Mount,,2,-55°C ~ 150°C,,Vishay Semiconductor Diodes Division,,,
DIODE ZENER,MMSZ4708T1G,diodes\Diode_ZENER,,10nA @ 16.7V,,900mV @ 10mA,22V,±5%,,SOD-123,,500mW,,http://www.onsemi.com/pub/Collateral/MMSZ4678T1-D.PDF,DIODE ZENER 22V 500MW SOD123,Surface Mount,,2,-55°C ~ 150°C,,ON Semiconductor,,,
DIODE ZENER,BZT52C47-7-F,diodes\Diode_ZENER,,100nA @ 35V,100 Ohms,,47V,±6%,,SOD-123,,410mW,,https://www.diodes.com/assets/Datasheets/ds18004.pdf,DIODE ZENER 47V 410MW SOD123,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,MMSZ22T1G,diodes\Diode_ZENER,,50nA @ 15.4V,55 Ohms,900mV @ 10mA,22V,±5%,,SOD-123,,500mW,,http://www.onsemi.com/pub/Collateral/MMSZ2V4T1-D.PDF,DIODE ZENER 22V 500MW SOD123,Surface Mount,,2,-55°C ~ 150°C,,ON Semiconductor,,,
