Part Type,Applications,Type,Part Number,Schematic Part,Part Value,Capacitance @ Frequency,Current - Peak Pulse (10/1000us),Power Line Protection,Power - Peak Pulse,Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Voltage - Reverse Standoff (Typ),Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE TVS,General Purpose,Steering (Rail to Rail),"PRTR5V0U2X,215",diodes\Diode_TVS_UNI,,1pF @ 1MHz,,Yes,,6V,,5.5V (Max),,"TO-253-4,TO-253AA",,,,https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf,TVS DIODE 5.5V SOT143B,Surface Mount,,2,-40°C ~ 85°C (TA),,Nexperia USA Inc.,,,
DIODE TVS,Automotive,DO-219AB,VTVS58ASMF-HM3-08,diodes\Diode_TVS_UNI,,245pF @ 1MHz,3.89A,No,400W,64.6V,98V,57.6V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 57.6V 98V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,DO-219AB,VTVS19ASMF-HM3-08,diodes\Diode_TVS_UNI,,558pF @ 1MHz,12.44A,No,400W,20.9V,31V,18.7V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 18.7V 31V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,DO-219AB,VTVS47ASMF-HM3-08,diodes\Diode_TVS_UNI,,293pF @ 1MHz,4.76A,No,400W,53.2V,80V,46.8V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 46.8V 80V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,DO-219AB,VTVS25ASMF-HM3-08,diodes\Diode_TVS_UNI,,433pF @ 1MHz,9.07A,No,400W,28.5V,42V,25.2V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 25.2V 42V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,DO-219AB,VTVS14ASMF-HM3-08,diodes\Diode_TVS_UNI,,752pF @ 1MHz,17.16A,No,400W,15.4V,22.2V,13.8V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 13.8V 22.2V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,DO-219AB,VTVS40ASMF-M3-08,diodes\Diode_TVS_UNI,,309pF @ 1MHz,5.7A,No,400W,44.7V,67V,39.6V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 39.6V 67V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,DO-219AB,VTVS11ASMF-M3-08,diodes\Diode_TVS_UNI,,910pF @ 1MHz,21.13A,No,400W,12.6V,18V,11.2V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 11.2V 18V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,DO-219AB,VTVS52ASMF-M3-08,diodes\Diode_TVS_UNI,,242pF @ 1MHz,4.28A,No,400W,58.9V,89V,52.2V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 52.2V 89V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,DO-219AB,VTVS31ASMF-M3-08,diodes\Diode_TVS_UNI,,380pF @ 1MHz,7.51A,No,400W,34.2V,51V,30.6V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 30.6V 51V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,DO-219AB,VTVS14ASMF-M3-08,diodes\Diode_TVS_UNI,,752pF @ 1MHz,17.16A,No,400W,15.4V,22.2V,13.8V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 13.8V 22.2V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF14A-E3-08,diodes\Diode_TVS_UNI,,392pF @ 1MHz,8.6A,No,200W,15.6V,23.2V,14V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 14V 23.2V SMF,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS15GSMF-HM3-08,diodes\Diode_TVS_UNI,,684pF @ 1MHz,15.89A,No,400W,17.6V,25V,15.1V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 15.1V 25V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS21GSMF-HM3-08,diodes\Diode_TVS_UNI,,513pF @ 1MHz,11.67A,No,400W,23.72V,34V,20.5V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 20.5V 34V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,VTVS8V5ASMF-M3-08,diodes\Diode_TVS_UNI,,1270pF @ 1MHz,28.24A,No,400W,9.5V,13.5V,8.5V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 8.5V 13.5V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,VTVS12ASMF-M3-08,diodes\Diode_TVS_UNI,,807pF @ 1MHz,19.01A,No,400W,14V,20.1V,12.4V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 12.4V 20.1V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,VTVS33ASMF-M3-08,diodes\Diode_TVS_UNI,,379pF @ 1MHz,6.91A,No,400W,37.1V,55V,33.3V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 33.3V 55V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,VTVS5V0ASMF-M3-08,diodes\Diode_TVS_UNI,,2095pF @ 1MHz,42.95A,No,400W,6.4V,8.9V,5V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 5V 8.9V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,VTVS15ASMF-M3-08,diodes\Diode_TVS_UNI,,684pF @ 1MHz,15.47A,No,400W,17.1V,25V,15.1V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 15.1V 25V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,VTVS21ASMF-M3-08,diodes\Diode_TVS_UNI,,513pF @ 1MHz,11.33A,No,400W,23V,34V,20.5V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 20.5V 34V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS12ASMF-HM3-08,diodes\Diode_TVS_UNI,,807pF @ 1MHz,19.01A,No,400W,14V,20.1V,12.4V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 12.4V 20.1V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,VTVS28ASMF-M3-08,diodes\Diode_TVS_UNI,,412pF @ 1MHz,8.21A,No,400W,31.4V,47V,27.9V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 27.9V 47V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,VTVS3V3GSMF-M3-08,diodes\Diode_TVS_UNI,,2095pF @ 1MHz,43.99A,No,400W,6.57V,8.9V,3.3V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,ESD PROTECTION DIODE DO-219AB-M3,Surface Mount,,2,175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS3V3GSMF-HM3-18,diodes\Diode_TVS_UNI,,2095pF @ 1MHz,43.99A,No,400W,6.57V,8.9V,3.3V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,ESD PROTECTION DIODE DO-219AB-HM,Surface Mount,,2,175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,VTVS3V3GSMF-M3-18,diodes\Diode_TVS_UNI,,2095pF @ 1MHz,43.99A,No,400W,6.57V,8.9V,3.3V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,ESD PROTECTION DIODE DO-219AB-M3,Surface Mount,,2,175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF7V0A-E3-08,diodes\Diode_TVS_UNI,,843pF @ 1MHz,16.7A,No,200W,7.78V,12V,7V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 7V 12V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF33A-E3-08,diodes\Diode_TVS_UNI,,198pF @ 1MHz,3.8A,No,200W,36.7V,53.3V,33V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 33V 53.3V SMF,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF10A-E3-08,diodes\Diode_TVS_UNI,,562pF @ 1MHz,11.8A,No,200W,11.1V,17V,10V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 10V 17V SMF,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF30A-E3-08,diodes\Diode_TVS_UNI,,207pF @ 1MHz,4.1A,No,200W,33.3V,48.4V,30V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 30V 48.4V SMF,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF5V0A-E3-08,diodes\Diode_TVS_UNI,,1120pF @ 1MHz,21.7A,No,200W,6.4V,9.2V,5V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 5V 9.2V SMF,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF54A-E3-08,diodes\Diode_TVS_UNI,,148pF @ 1MHz,2.25A,No,200W,60V,88V,54V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 54V 88V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF7V5A-E3-08,diodes\Diode_TVS_UNI,,773pF @ 1MHz,15.5A,No,200W,8.33V,12.9V,7.5V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 7.5V 12.9V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF51A-E3-08,diodes\Diode_TVS_UNI,,151pF @ 1MHz,2.4A,No,200W,56.7V,82.4V,51V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 51V 82.4V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF45A-E3-08,diodes\Diode_TVS_UNI,,162pF @ 1MHz,2.8A,No,200W,50V,72.7V,45V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 45V 72.7V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF9V0A-E3-08,diodes\Diode_TVS_UNI,,640pF @ 1MHz,13.5A,No,200W,10V,15.4V,9V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 9V 15.4V SMF,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF8V0A-E3-08,diodes\Diode_TVS_UNI,,706pF @ 1MHz,14.7A,No,200W,8.89V,13.6V,8V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 8V 13.6V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF20A-E3-08,diodes\Diode_TVS_UNI,,283pF @ 1MHz,6.2A,No,200W,22.2V,32.4V,20V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 20V 32.4V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF26A-E3-08,diodes\Diode_TVS_UNI,,230pF @ 1MHz,4.8A,No,200W,28.9V,42.1V,26V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 26V 42.1V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF6V5A-E3-08,diodes\Diode_TVS_UNI,,938pF @ 1MHz,17.9A,No,200W,7.22V,11.2V,6.5V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 6.5V 11.2V SMF,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF33A-E3-18,diodes\Diode_TVS_UNI,,198pF @ 1MHz,3.8A,No,200W,36.7V,53.3V,33V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 33V 53.3V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS21ASMF-HM3-08,diodes\Diode_TVS_UNI,,513pF @ 1MHz,11.33A,No,400W,23V,34V,20.5V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 20.5V 34V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,SMF22A-HE3-08,diodes\Diode_TVS_UNI,,271pF @ 1MHz,5.6A,No,200W,24.4V,35.5V,22V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 22V 35.5V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,SMF33A-HE3-08,diodes\Diode_TVS_UNI,,198pF @ 1MHz,3.8A,No,200W,36.7V,53.3V,33V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 33V 53.3V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,SMF24A-HE3-08,diodes\Diode_TVS_UNI,,244pF @ 1MHz,5.1A,No,200W,26.7V,38.9V,24V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 24V 38.9V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,SMF30A-HE3-08,diodes\Diode_TVS_UNI,,207pF @ 1MHz,4.1A,No,200W,33.3V,48.4V,30V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 30V 48.4V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF12A-M3-08,diodes\Diode_TVS_UNI,,483pF @ 1MHz,10.1A,No,200W,13.3V,19.9V,12V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 12V 19.9V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF24A-M3-08,diodes\Diode_TVS_UNI,,244pF @ 1MHz,5.1A,No,200W,26.7V,38.9V,24V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 24V 38.9V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF18A-M3-08,diodes\Diode_TVS_UNI,,320pF @ 1MHz,6.8A,No,200W,20V,29.2V,18V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 18V 29.2V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF6V0A-M3-08,diodes\Diode_TVS_UNI,,1063pF @ 1MHz,19.4A,No,200W,6.67V,10.3V,6V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 6V 10.3V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF5V0A-M3-08,diodes\Diode_TVS_UNI,,1120pF @ 1MHz,21.7A,No,200W,6.4V,9.2V,5V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 5V 9.2V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF58A-E3-08,diodes\Diode_TVS_UNI,,144pF @ 1MHz,2.1A,No,200W,64.4V,95V,58V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 58V 95V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS33ASMF-HM3-08,diodes\Diode_TVS_UNI,,379pF @ 1MHz,6.91A,No,400W,37.1V,55V,33.3V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 33.3V 55V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS8V5ASMF-HM3-08,diodes\Diode_TVS_UNI,,1270pF @ 1MHz,28.24A,No,400W,9.5V,13.5V,8.5V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 8.5V 13.5V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,VTVS10ASMF-M3-08,diodes\Diode_TVS_UNI,,988pF @ 1MHz,23.2A,No,400W,11.4V,16.3V,10.3V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 10.3V 16.3V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF26A-E3-18,diodes\Diode_TVS_UNI,,230pF @ 1MHz,4.8A,No,200W,28.9V,42.1V,26V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 26V 42.1V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF36A-E3-08,diodes\Diode_TVS_UNI,,178pF @ 1MHz,3.4A,No,200W,40V,58.1V,36V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 36V 58.1V SMF,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,VTVS36ASMF-M3-08,diodes\Diode_TVS_UNI,,342pF @ 1MHz,6.24A,No,400W,40.9V,61V,36V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 36V 61V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS5V0ASMF-HM3-08,diodes\Diode_TVS_UNI,,2095pF @ 1MHz,42.95A,No,400W,6.4V,8.9V,5V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 5V 8.9V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS28ASMF-HM3-08,diodes\Diode_TVS_UNI,,412pF @ 1MHz,8.21A,No,400W,31.4V,47V,27.9V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 27.9V 47V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS23ASMF-HM3-08,diodes\Diode_TVS_UNI,,480pF @ 1MHz,10.09A,No,400W,25.7V,38V,22.6V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 22.6V 38V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS15ASMF-HM3-08,diodes\Diode_TVS_UNI,,684pF @ 1MHz,15.47A,No,400W,17.1V,25V,15.1V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 15.1V 25V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,Zener,VTVS36ASMF-HM3-08,diodes\Diode_TVS_UNI,,342pF @ 1MHz,6.24A,No,400W,40.9V,61V,36V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 36V 61V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF22A-E3-08,diodes\Diode_TVS_UNI,,271pF @ 1MHz,5.6A,No,200W,24.4V,35.5V,22V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 22V 35.5V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF28A-E3-08,diodes\Diode_TVS_UNI,,227pF @ 1MHz,4.4A,No,200W,31.1V,45.4V,28V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 28V 45.4V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF17A-E3-08,diodes\Diode_TVS_UNI,,324pF @ 1MHz,7.2A,No,200W,18.9V,27.6V,17V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 17V 27.6V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF13A-E3-08,diodes\Diode_TVS_UNI,,423pF @ 1MHz,9.3A,No,200W,14.4V,21.5V,13V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 13V 21.5V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF12A-E3-08,diodes\Diode_TVS_UNI,,483pF @ 1MHz,10.1A,No,200W,13.3V,19.9V,12V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 12V 19.9V SMF,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF6V0A-E3-08,diodes\Diode_TVS_UNI,,1063pF @ 1MHz,19.4A,No,200W,6.67V,10.3V,6V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 6V 10.3V SMF,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF18A-E3-08,diodes\Diode_TVS_UNI,,320pF @ 1MHz,6.8A,No,200W,20V,29.2V,18V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 18V 29.2V SMF,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF16A-E3-08,diodes\Diode_TVS_UNI,,343pF @ 1MHz,7.7A,No,200W,17.8V,26V,16V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 16V 26V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,Zener,SMF40A-E3-08,diodes\Diode_TVS_UNI,,172pF @ 1MHz,3.1A,No,200W,44.4V,64.5V,40V,,DO-219AB,,,,http://www.vishay.com/docs/85881/smf5v0atosmf58a.pdf,TVS DIODE 40V 64.5V DO219AB,Surface Mount,,2,-65°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
