Part Type,Applications,Type,Part Number,Schematic Part,Part Value,Capacitance @ Frequency,Current - Peak Pulse (10/1000us),Power Line Protection,Power - Peak Pulse,Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Voltage - Reverse Standoff (Typ),Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE TVS,General Purpose,Zener,SMCJ24A-13-F,diodes\Diode_TVS_UNI,,,38.6A,No,1500W (1.5kW),26.7V,38.9V,24V,,"DO-214AB, SMC",,,,https://www.diodes.com/assets/Datasheets/ds19003.pdf,TVS DIODE 24V 38.9V SMC,Surface Mount,,2,-55°C ~ 150°C (TJ),,Diodes Incorporated,,,
DIODE TVS,General Purpose,Zener,SMCJ14A,diodes\Diode_TVS_UNI,,,64.7A,No,1500W (1.5kW),15.6V,23.2V,14V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/products/tvs-diodes/surface-mount/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smcj_datasheet.pdf.pdf,TVS DIODE 14V 23.2V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,3.0SMI20ATR,diodes\Diode_TVS_UNI,,,92.6A,No,3000W (3kW),22.2V,32.4V,20V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI13ATR,diodes\Diode_TVS_UNI,,,139.5A,No,3000W (3kW),14.4V,21.5V,13V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI43ATR,diodes\Diode_TVS_UNI,,,43.2A,No,3000W (3kW),47.8V,69.4V,43V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI14ATR,diodes\Diode_TVS_UNI,,,129.3A,No,3000W (3kW),15.6V,23.2V,14V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI18ATR,diodes\Diode_TVS_UNI,,,102.7A,No,3000W (3kW),20V,29.2V,18V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI12ATR,diodes\Diode_TVS_UNI,,,150.8A,No,3000W (3kW),13.3V,19.9V,12V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI58ATR,diodes\Diode_TVS_UNI,,,32.1A,No,3000W (3kW),64.4V,93.6V,58V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI170ATR,diodes\Diode_TVS_UNI,,,10.9A,No,3000W (3kW),189V,275V,170V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
