Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,"Automotive, Boardflex Sensitive",2220Y1K00103KST,capacitors\2220_5750Metric,10000pF,±10%,Soft Termination,1000V (1kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,CAP CER 10000PF 1KV X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,"Automotive, Boardflex Sensitive",2220Y1K00223KST,capacitors\2220_5750Metric,0.022uF,±10%,Soft Termination,1000V (1kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,CAP CER 0.022UF 1KV X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,General Purpose,2220J2K00103KXT,capacitors\2220_5750Metric,10000pF,±10%,,2000V (2kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,CAP CER 10000PF 2KV X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,"Automotive, Boardflex Sensitive",2220Y6300224KST,capacitors\2220_5750Metric,0.22uF,±10%,Soft Termination,630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,CAP CER 0.22UF 630V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,Boardflex Sensitive,2220Y6300224KJT,capacitors\2220_5750Metric,0.22uF,±10%,Soft Termination,630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,CAP CER 0.22UF 630V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,Boardflex Sensitive,2220Y5000334KXT,capacitors\2220_5750Metric,0.33uF,±10%,Soft Termination,500V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,CAP CER 0.33UF 500V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,Safety,2220JA250102KXTB16,capacitors\2220_5750Metric,1000pF,±10%,,250V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/fe7386b2-d58d-4a83-96e0-cf03dfba634f/Safety-Cap.aspx,CAP CER 1000PF 250VAC X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,"Safety, Automotive, Boardflex Sensitive",2220YA250222KSTU16,capacitors\2220_5750Metric,2200pF,±10%,Soft Termination,250VAC,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/69a6c2c9-aa2d-47b1-a464-2cf1518cf4c1/AEC-Q200,CASE SIZE 2220 - FLEXICAP - 250V,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,"Safety, Automotive, Boardflex Sensitive",2220YA250332KSTU16,capacitors\2220_5750Metric,3300pF,±10%,Soft Termination,250VAC,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/69a6c2c9-aa2d-47b1-a464-2cf1518cf4c1/AEC-Q200,CASE SIZE 2220 - FLEXICAP - 250V,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,"Safety, Automotive, Boardflex Sensitive",2220YA250472KSTU16,capacitors\2220_5750Metric,4700pF,±10%,Soft Termination,250VAC,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/69a6c2c9-aa2d-47b1-a464-2cf1518cf4c1/AEC-Q200,CASE SIZE 2220 - FLEXICAP - 250V,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,"Automotive, SMPS Filtering, Boardflex Sensitive",2220Y2K00103KST,capacitors\2220_5750Metric,10000pF,±10%,Soft Termination,2000V (2kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/69a6c2c9-aa2d-47b1-a464-2cf1518cf4c1/AEC-Q200,CASE SIZE 2220 - FLEXICAP - 2K0V,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
