Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp.,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,Automotive,EEH-ZC1E330R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,80mOhm,,550mA @ 100kHz,55mA @ 100Hz,4000 Hrs @ 125°C,,25V,,CAP ALSMD POLY 5.3MM H6.1MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1234.pdf,CAP ALUM POLY HYB 33UF 25V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,General Purpose,APXG200ARA560ME61G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",56uF,±20%,30mOhm,,2.8A @ 100kHz,,15000 Hrs @ 105°C,,20V,,CAP ALSMD POLY 5.3MM H6.1MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxg,CAP ALUM POLY 56UF 20% 20V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,APXG250ARA270ME61G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",27uF,±20%,40mOhm,,2.45A @ 100kHz,,15000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 5.3MM H6.1MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxg,CAP ALUM POLY 27UF 20% 25V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,APXG250ARA220ME61G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,40mOhm,,2.45A @ 100kHz,,15000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 5.3MM H6.1MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxg,CAP ALUM POLY 22UF 20% 25V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,EEH-ZA1E220R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,80mOhm,,900mA @ 100kHz,90mA @ 100Hz,10000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 5.3MM H6.1MM,C,,,https://na.industrial.panasonic.com/file-download/43,HYBRID SMD 25V22UF 105DEGC 10000,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEH-ZA1V100R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,100mOhm,,900mA @ 100kHz,90mA @ 100Hz,10000 Hrs @ 105°C,,35V,,CAP ALSMD POLY 5.3MM H6.1MM,C,,,https://na.industrial.panasonic.com/file-download/43,HYBRID SMD 35V10UF 105DEGC 10000,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,APXS100ARA330ME61G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,70mOhm,,1.1A @ 100kHz,,5000 Hrs @ 105°C,,10V,,CAP ALSMD POLY 5.3MM H6.1MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxs,CAP ALUM POLY 33UF 20% 10V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,APXS6R3ARA470ME61G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,30mOhm,,1.97A @ 100kHz,,5000 Hrs @ 105°C,,6.3V,,CAP ALSMD POLY 5.3MM H6.1MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxs,CAP ALUM POLY 47UF 20% 6.3V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXC350ARA151MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,27mOhm,,1.6A @ 100kHz,,4000 Hrs @ 125°C,,35V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxc,CAP ALUM POLY 150UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,United Chemi-Con,,,
,Automotive,EEH-ZK1V221UP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,27mOhm,,2A @ 100kHz,300mA @ 100Hz,4000 Hrs @ 125°C,,35V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://na.industrial.panasonic.com/file-download/8158,"HYBRID SMD, 35V220UF 125DEGC 400",Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,Automotive,EEH-ZK1E331UP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,27mOhm,,2A @ 100kHz,300mA @ 100Hz,4000 Hrs @ 125°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://na.industrial.panasonic.com/file-download/8158,"HYBRID SMD, 25V330UF 125DEGC 400",Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,Automotive,EEH-ZC1K220P,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,45mOhm,,1.05A @ 100kHz,105mA @ 100Hz,4000 Hrs @ 125°C,,80V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1234.pdf,CAP ALUM POLY HYB 22UF 80V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,Automotive,EEH-ZA1J330V,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,40mOhm,,1.7A @ 100kHz,255mA @ 100Hz,10000 Hrs @ 105°C,,63V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1221.pdf,CAP ALUM POLY 33UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEH-ZC1H680V,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,30mOhm,,1.25A @ 100kHz,187.5mA @ 100Hz,4000 Hrs @ 125°C,,50V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1234.pdf,CAP ALUM POLY 68UF 20% 50V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,Automotive,25PHV220M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,22mOhm,,2.9A @ 100kHz,145mA @ 120Hz,4000 Hrs @ 135°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/pzcap/e_phv.pdf,CAP ALUM POLY 220UF 20% 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 135°C,,Rubycon,,,
,Automotive,35PHV150M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,22mOhm,,2.9A @ 100kHz,145mA @ 120Hz,4000 Hrs @ 135°C,,35V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/pzcap/e_phv.pdf,CAP ALUM POLY 150UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 135°C,,Rubycon,,,
,Automotive,EEH-ZA1K220P,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,45mOhm,,1.55A @ 100kHz,155mA @ 100Hz,10000 Hrs @ 105°C,,80V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1221.pdf,CAP ALUM POLY 22UF 20% 80V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEH-ZC1J330P,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,40mOhm,,1.1A @ 100kHz,110mA @ 100Hz,4000 Hrs @ 125°C,,63V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1234.pdf,CAP ALUM POLY HYB 33UF 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,Automotive,EEH-ZC1E221P,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,27mOhm,,1.6A @ 100kHz,240mA @ 100Hz,4000 Hrs @ 125°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1234.pdf,CAP ALUM POLY HYB 220UF 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,"Automotive, Bypass, Decoupling",HZA227M025F24T-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,27mOhm,,2.3A @ 100kHz,230mA @ 120Hz,10000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.cde.com/resources/catalogs/HZA.pdf,CAP ALUM POLY HYB 220UF 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Cornell Dubilier Electronics (CDE),,,
,"Automotive, Bypass, Decoupling",HZA227M025F24VT-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,27mOhm,,2.3A @ 100kHz,230mA @ 120Hz,10000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.cde.com/resources/catalogs/HZA-V.pdf,CAP ALUM POLY HYB 220UF 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Cornell Dubilier Electronics (CDE),,,
,General Purpose,GYB1E221MCQ1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,27mOhm,,2.3A @ 100kHz,345mA @ 120Hz,10000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,//media.digikey.com/pdf/Data%20Sheets/Nichicon%20PDFs/GYB_Series_DS.pdf,CAP ALUM POLY 220UF 20% 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,GYB1H680MCQ1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,30mOhm,,1.8A @ 100kHz,270mA @ 120Hz,10000 Hrs @ 105°C,,50V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,//media.digikey.com/pdf/Data%20Sheets/Nichicon%20PDFs/GYB_Series_DS.pdf,CAP ALUM POLY 68UF 20% 50V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,EEH-ZA1E151P,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,27mOhm,,2.3A @ 100kHz,345mA @ 100Hz,10000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://na.industrial.panasonic.com/file-download/43,HYBRID SMD 25V150UF 105DEGC 1000,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEH-ZC1J470P,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,40mOhm,,1.1A @ 100kHz,165mA @ 100Hz,4000 Hrs @ 125°C,,63V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1234.pdf,"HYBRID CAP, SMD 63V47UF 125DEGC",Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,Automotive,EEH-ZC1J470V,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,40mOhm,,1.1A @ 100kHz,165mA @ 100Hz,4000 Hrs @ 125°C,,63V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1234.pdf,"HYBRID CAP, SMD 63V47UF 125DEGC",Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,Automotive,25PJV270M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",270uF,±20%,25mOhm,,1.92A @ 100kHz,96mA @ 120Hz,4000 Hrs @ 125°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/pzcap/e_pjv.pdf,CAP ALUM POLY 270UF 20% 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,Rubycon,,,
,Automotive,35PJV180M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",180uF,±20%,25mOhm,,1.92A @ 100kHz,96mA @ 120Hz,4000 Hrs @ 125°C,,35V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/pzcap/e_pjv.pdf,CAP ALUM POLY 180UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,Rubycon,,,
,Automotive,HHXD500ARA330MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,30mOhm,,1.8A @ 100kHz,126mA @ 120Hz,5000 Hrs @ 105°C,,50V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxd,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXD500ARA470MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,30mOhm,,1.8A @ 100kHz,180mA @ 120Hz,5000 Hrs @ 105°C,,50V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxd,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXD250ARA151MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,27mOhm,,2.3A @ 100kHz,230mA @ 120Hz,5000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxd,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXD630ARA220MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,40mOhm,,1.6A @ 100kHz,112mA @ 120Hz,5000 Hrs @ 105°C,,63V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxd,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXD630ARA330MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,40mOhm,,1.6A @ 100kHz,112mA @ 120Hz,5000 Hrs @ 105°C,,63V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxd,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXD350ARA101MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,27mOhm,,2.3A @ 100kHz,230mA @ 120Hz,5000 Hrs @ 105°C,,35V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxd,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXD160ARA271MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",270uF,±20%,22mOhm,,2.5A @ 100kHz,325mA @ 120Hz,5000 Hrs @ 105°C,,16V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxd,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXD250ARA221MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,27mOhm,,2.3A @ 100kHz,299mA @ 120Hz,5000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxd,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXD350ARA151MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,27mOhm,,2.3A @ 100kHz,230mA @ 120Hz,5000 Hrs @ 105°C,,35V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxd,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXD630ARA470MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,40mOhm,,1.6A @ 100kHz,160mA @ 120Hz,5000 Hrs @ 105°C,,63V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxd,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXD500ARA680MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,30mOhm,,1.8A @ 100kHz,180mA @ 120Hz,5000 Hrs @ 105°C,,50V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxd,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,HHXE160ARA271MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",270uF,±20%,20mOhm,,3.05A @ 100kHz,396.5mA @ 120Hz,4000 Hrs @ 135°C,,16V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxe,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 135°C,,United Chemi-Con,,,
,Automotive,HHXE250ARA221MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,22mOhm,,2.9A @ 100kHz,377mA @ 120Hz,4000 Hrs @ 135°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxe,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 135°C,,United Chemi-Con,,,
,Automotive,HHXE350ARA151MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,22mOhm,,2.9A @ 100kHz,290mA @ 120Hz,4000 Hrs @ 135°C,,35V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxe,ALUMINUM CAPACITOR,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 135°C,,United Chemi-Con,,,
,General Purpose,GYB1J330MCQ1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,40mOhm,,1.6A @ 100kHz,240mA @ 120Hz,10000 Hrs @ 105°C,,63V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,//media.digikey.com/pdf/Data%20Sheets/Nichicon%20PDFs/GYB_Series_DS.pdf,CAP ALUM POLY 33UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,16SVPF560MX,"capacitors\Capacitor_AL,capacitors\Capacitor_p",560uF,±20%,18mOhm,,3.9A @ 100kHz,195mA @ 120Hz,5000 Hrs @ 105°C,,16V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://na.industrial.panasonic.com/file-download/4323,CAP ALUM POLY 560UF 20% 16V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,"Automotive, Bypass, Decoupling",HZA157M035F24T-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,27mOhm,,2.3A @ 100kHz,230mA @ 120Hz,10000 Hrs @ 105°C,,35V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.cde.com/resources/catalogs/HZA.pdf,CAP ALUM POLY HYB 150UF 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Cornell Dubilier Electronics (CDE),,,
,"Automotive, Bypass, Decoupling",HZA686M050F24VT-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,30mOhm,,1.8A @ 100kHz,180mA @ 120Hz,10000 Hrs @ 105°C,,50V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.cde.com/resources/catalogs/HZA-V.pdf,CAP ALUM POLY HYB 68UF 50V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Cornell Dubilier Electronics (CDE),,,
,Automotive,HHXC250ARA221MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,27mOhm,,1.6A @ 100kHz,,4000 Hrs @ 125°C,,25V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=hxc,CAP ALUM POLY 220UF 20% 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,United Chemi-Con,,,
,Automotive,EEH-ZC1V151V,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,27mOhm,,1.6A @ 100kHz,240mA @ 100Hz,4000 Hrs @ 125°C,,35V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1234.pdf,CAP ALUM POLY 150UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,Automotive,63PEV33M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,40mOhm,,1.7A @ 100kHz,85mA @ 120Hz,10000 Hrs @ 105°C,,63V,,CAP ALSMD POLY 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/pzcap/e_PEV.pdf,CAP ALUM POLY HYB 33UF 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
