Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp.,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,General Purpose,16SVP3R3M,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,260mOhm,,660mA @ 100kHz,33mA @ 120Hz,2000 Hrs @ 105°C,,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8008+16SVP3R3M+8+WW,CAP ALUM POLY 3.3UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,APXF6R3ARA151ME40G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,20mOhm,,2.7A @ 100kHz,,3000 Hrs @ 105°C,,6.3V,,CAP ALSMD POLY 5.3MM H4.2MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxf,CAP ALUM POLY 150UF 20% 6.3V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,APXF2R5ARA221ME40G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,12mOhm,,3.3A @ 100kHz,,3000 Hrs @ 105°C,,2.5V,,CAP ALSMD POLY 5.3MM H4.2MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxf,CAP ALUM POLY 220UF 20% 2.5V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,16SVPG47M,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,25mOhm,,3.2A @ 100kHz,160mA @ 120Hz,5000 Hrs @ 105°C,,16V,,CAP ALSMD POLY 5.3MM H4.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C175.pdf,CAP ALUM POLY 47UF 20% 16V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,25SVPG15M,"capacitors\Capacitor_AL,capacitors\Capacitor_p",15uF,±20%,30mOhm,,2.8A @ 100kHz,140mA @ 120Hz,5000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 5.3MM H4.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C175.pdf,CAP ALUM POLY 15UF 20% 25V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,20SVPG33M,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,27mOhm,,3A @ 100kHz,150mA @ 120Hz,5000 Hrs @ 105°C,,20V,,CAP ALSMD POLY 5.3MM H4.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C175.pdf,CAP ALUM POLY 33UF 20% 20V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,APXG250ARA100ME46G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,60mOhm,,1.7A @ 100kHz,,3000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 5.3MM H4.8MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxg,CAP ALUM POLY 10UF 20% 25V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,APXG200ARA270ME46G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",27uF,±20%,55mOhm,,1.77A @ 100kHz,,3000 Hrs @ 105°C,,20V,,CAP ALSMD POLY 5.3MM H4.8MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxg,CAP ALUM POLY 27UF 20% 20V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,APXG160ARA390ME46G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",39uF,±20%,50mOhm,,1.86A @ 100kHz,,3000 Hrs @ 105°C,,16V,,CAP ALSMD POLY 5.3MM H4.8MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxg,CAP ALUM POLY 39UF 20% 16V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,875105142001,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,30mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,6.3V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105142001.pdf,CAP ALUM POLY 47UF 20% 6.3V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
