Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,General Purpose,C1210C226M8PACTU,capacitors\1210_3225Metric,22uF,±20%,,10V,"C1210N,C1210L,C1210M",1210 (3225 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1210C226M8PACTU.pdf,CAP CER 22UF 10V X5R 1210,Surface Mount/MLCC,0.126 L x 0.098 W (3.20mm x 2.50mm),2,X5R,-55°C ~ 85°C,,KEMET,,,
Capacitor,Boardflex Sensitive,CAN13X104KARAC7800,capacitors\1210_3225Metric,0.1uF,±10%,Soft Termination,250VAC,"C1210N,C1210L,C1210M",1210 (3225 Metric),C,,,//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/CAN13X104KARACTU_Spec.pdf,CAP CER 1210 0.1UF 250VAC X7R,Surface Mount/MLCC,0.130 L x 0.102 W (3.30mm x 2.60mm),2,X7R,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,JMK325AC6107MMHP,capacitors\1210_3225Metric,100uF,±20%,,6.3V,"C1210N,C1210L,C1210M",1210 (3225 Metric),C,,,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=JMK325AC6107MMHP  &u=M,CAP CER 100UF 6.3V X6S 1210,Surface Mount/MLCC,0.126 L x 0.098 W (3.20mm x 2.50mm),2,X6S,-55°C ~ 105°C,,Taiyo Yuden,,,
Capacitor,General Purpose,C1210C272KCGACTU,capacitors\1210_3225Metric,2700pF,±10%,"Low ESL, High Voltage",500V,"C1210N,C1210L,C1210M",1210 (3225 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1210C272KCGACTU.pdf,CAP CER 2700PF 500V C0G/NP0 1210,Surface Mount/MLCC,0.126 L x 0.098 W (3.20mm x 2.50mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C1210C471KGRAC7800,capacitors\1210_3225Metric,470pF,±10%,"Low ESL, High Voltage",2000V (2kV),"C1210N,C1210L,C1210M",1210 (3225 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1210C471KGRACTU.pdf,CAP CER 470PF 2KV X7R 1210,Surface Mount/MLCC,0.126 L x 0.098 W (3.20mm x 2.50mm),2,X7R,-55°C ~ 125°C,,KEMET,,,
Capacitor,Automotive,GCG32ER71E106KA12L,capacitors\1210_3225Metric,10uF,±10%,Epoxy Mountable,25V,"C1210N,C1210L,C1210M",1210 (3225 Metric),C,,,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCG32ER71E106KA12-01.pdf,CAP CER 10UF 25V X7R 1210 EPOXY,Surface Mount/MLCC/Epoxy,0.126 L x 0.098 W (3.20mm x 2.50mm),2,X7R,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,Boardflex Sensitive,12105C225KAZ2A,capacitors\1210_3225Metric,2.2uF,±10%,Soft Termination,50V,"C1210N,C1210L,C1210M",1210 (3225 Metric),C,,,http://datasheets.avx.com/FlexitermMLCC.pdf,CAP CER 2.2UF 50V X7R 1210,Surface Mount/MLCC,0.126 L x 0.098 W (3.20mm x 2.50mm),2,X7R,-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,General Purpose,1210ZC226MAT2A,capacitors\1210_3225Metric,22uF,±20%,,10V,"C1210N,C1210L,C1210M",1210 (3225 Metric),C,,,http://datasheets.avx.com/X7RDielectric.pdf,CAP CER 22UF 10V X7R 1210,Surface Mount/MLCC,0.126 L x 0.098 W (3.20mm x 2.50mm),2,X7R,-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,"Automotive, Boardflex Sensitive",GCJ32EC71H106KA01L,capacitors\1210_3225Metric,10uF,±10%,Soft Termination,50V,"C1210N,C1210L,C1210M",1210 (3225 Metric),C,,,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ32EC71H106KA01-01.pdf,CAP CER 10UF 50V X7S 1210,Surface Mount/MLCC,0.126 L x 0.098 W (3.20mm x 2.50mm),2,X7S,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,General Purpose,C3225CH2E473J250AA,capacitors\1210_3225Metric,0.047uF,±5%,,250V,"C1210N,C1210L,C1210M",1210 (3225 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey,CAP CER 0.047UF 250V CH 1210,Surface Mount/MLCC,0.126 L x 0.098 W (3.20mm x 2.50mm),2,CH,-25°C ~ 85°C,,TDK Corporation,,,
