Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Features,Lifetime @ Temp,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,,TLJG476M010R1500,capacitors\Capacitor_p,47uF,±20%,1.5Ohm,General Purpose,,10V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://datasheets.avx.com/TLJ.pdf,CAP TANT 47UF 20% 10V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,TAJB225M020RNJ,capacitors\Capacitor_p,2.2uF,±20%,3.5Ohm,General Purpose,,20V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M","1411 (3528 Metric), 1210",C,,,http://datasheets.avx.com/TAJ.pdf,CAP TANT 2.2UF 20% 20V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,TAJB685M016RNJ,capacitors\Capacitor_p,6.8uF,±20%,2.5Ohm,General Purpose,,16V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M","1411 (3528 Metric), 1210",C,,,http://datasheets.avx.com/TAJ.pdf,CAP TANT 6.8UF 20% 16V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,TLJG107M006R0800,capacitors\Capacitor_p,100uF,±20%,800mOhm,General Purpose,,6.3V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://datasheets.avx.com/TLJ.pdf,CAP TANT 100UF 20% 6.3V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,TAJB336K006RNJ,capacitors\Capacitor_p,33uF,±10%,,General Purpose,,6.3V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M","1411 (3528 Metric), 1210",C,,,http://datasheets.avx.com/TAJ.pdf,CAP TANT 33UF 10% 6.3V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,TR3A474K035C4000,capacitors\Capacitor_p,0.47uF,±10%,4Ohm,General Purpose,,35V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/40080/tr3.pdf,CAP TANT 0.47UF 10% 35V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),,,-55°C ~ 125°C,,Vishay Sprague,,,
,,593D106X9016A2TE3,capacitors\Capacitor_p,10uF,±10%,1.7Ohm,General Purpose,,16V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/40005/593d.pdf,CAP TANT 10UF 10% 16V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),,,-55°C ~ 125°C,,Vishay Sprague,,,
,,TAJB225M035RNJ,capacitors\Capacitor_p,2.2uF,±20%,4.2Ohm,General Purpose,,35V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M","1411 (3528 Metric), 1210",C,,,http://datasheets.avx.com/TAJ.pdf,CAP TANT 2.2UF 20% 35V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,TAJB336M010RNJ,capacitors\Capacitor_p,33uF,±20%,1.8Ohm,General Purpose,,10V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M","1411 (3528 Metric), 1210",C,,,http://datasheets.avx.com/TAJ.pdf,CAP TANT 33UF 20% 10V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,593D105X0035A2TE3,capacitors\Capacitor_p,1uF,±20%,4Ohm,General Purpose,,35V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/40005/593d.pdf,CAP TANT 1UF 20% 35V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),,,-55°C ~ 125°C,,Vishay Sprague,,,
,,TAJB335M035RNJ,capacitors\Capacitor_p,3.3uF,±20%,3.5Ohm,General Purpose,,35V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M","1411 (3528 Metric), 1210",C,,,http://datasheets.avx.com/TAJ.pdf,CAP TANT 3.3UF 20% 35V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,TR3A335K025C3500,capacitors\Capacitor_p,3.3uF,±10%,3.5Ohm,General Purpose,,25V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/40080/tr3.pdf,CAP TANT 3.3UF 10% 25V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),,,-55°C ~ 125°C,,Vishay Sprague,,,
,,T55A107M6R3C0200,capacitors\Capacitor_p,100uF,±20%,200mOhm @ 100kHz,General Purpose,,6.3V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/40174/t55.pdf,CAP TANT POLY 100UF 6.3V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),,,-55°C ~ 105°C,,Vishay Sprague,,,
,,TAJT226K010RNJ,capacitors\Capacitor_p,22uF,±10%,2.2Ohm,General Purpose,,10V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M","1411 (3528 Metric), 1210",C,,,http://datasheets.avx.com/TAJ_LOW_PROFILE.pdf,CAP TANT 22UF 10% 10V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,TR3A475K020C1800,capacitors\Capacitor_p,4.7uF,±10%,1.8Ohm,General Purpose,,20V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/40080/tr3.pdf,CAP TANT 4.7UF 10% 20V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),,,-55°C ~ 125°C,,Vishay Sprague,,,
,,T491B105K035AH,capacitors\Capacitor_p,1uF,±10%,5Ohm,General Purpose,2000 Hrs @ 125°C,35V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T491B105K035AH.pdf,CAP TANT 1UF 10% 35V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
