Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,"RF, Microwave, High Frequency",CBR08C330JAGAC,capacitors\0805_2012Metric,33pF,±5%,"High Q, Low Loss, Ultra Low ESR",250V,"C0805N,C0805L,C0805M",0805 (2012 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/CBR08C330JAGAC.pdf,CAP CER 33PF 250V C0G/NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.00mm x 1.25mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600F1R5AT250XT,capacitors\0805_2012Metric,1.5pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0805N,C0805L,C0805M",0805 (2012 Metric),C,,,http://www.atceramics.com/UserFiles/600f.pdf,CAP CER 1.5PF 250V C0G/NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.01mm x 1.24mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency",CBR08C509BAGAC,capacitors\0805_2012Metric,5pF,±0.1pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0805N,C0805L,C0805M",0805 (2012 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/CBR08C509BAGAC.pdf,CAP CER 5PF 250V C0G/NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.00mm x 1.25mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"RF, Microwave, High Frequency",GQM2195C2E100FB12D,capacitors\0805_2012Metric,10pF,±1%,"High Q, Low Loss",250V,"C0805N,C0805L,C0805M",0805 (2012 Metric),C,,,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us,CAP CER 10PF 250V C0G/NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.00mm x 1.25mm),2,"C0G, NP0",-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,"RF, Microwave, High Frequency",CBR08C160JAGAC,capacitors\0805_2012Metric,16pF,±5%,"High Q, Low Loss, Ultra Low ESR",250V,"C0805N,C0805L,C0805M",0805 (2012 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/CBR08C160JAGAC.pdf,CAP CER 16PF 250V C0G/NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.00mm x 1.25mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"RF, Microwave, High Frequency",CBR08C689BCGAC,capacitors\0805_2012Metric,6.8pF,±0.1pF,"High Q, Low Loss, Ultra Low ESR",500V,"C0805N,C0805L,C0805M",0805 (2012 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/CBR08C689BCGAC.pdf,CAP CER 6.8PF 500V C0G/NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.00mm x 1.25mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"RF, Microwave, High Frequency",CBR08C569BCGAC,capacitors\0805_2012Metric,5.6pF,±0.1pF,"High Q, Low Loss, Ultra Low ESR",500V,"C0805N,C0805L,C0805M",0805 (2012 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/CBR08C569BCGAC.pdf,CAP CER 5.6PF 500V C0G/NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.00mm x 1.25mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"RF, Microwave, High Frequency",CBR08C101JAGAC,capacitors\0805_2012Metric,100pF,±5%,"High Q, Low Loss, Ultra Low ESR",250V,"C0805N,C0805L,C0805M",0805 (2012 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/CBR08C101JAGAC.pdf,CAP CER 100PF 250V C0G/NP0 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.00mm x 1.25mm),2,X7R,-55°C ~ 125°C,,KEMET,,,
Capacitor,"Medical, Non-Critical",MM055C224KCZ2A,capacitors\0805_2012Metric,0.22uF,±10%,,50V,"C0805N,C0805L,C0805M",0805 (2012 Metric),C,,,http://datasheets.avx.com/AVX-MM.pdf,CAP CER 0.22UF 50V X7R 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.01mm x 1.25mm),2,X7R,-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,"Medical, Non-Critical",MM05ZC105KCZ2A,capacitors\0805_2012Metric,1uF,±10%,,10V,"C0805N,C0805L,C0805M",0805 (2012 Metric),C,,,http://datasheets.avx.com/AVX-MM.pdf,CAP CER 1UF 10V X7R 0805,"Surface Mount, MLCC",0.079 L x 0.049 W (2.01mm x 1.25mm),2,X7R,-55°C ~ 125°C,,AVX Corporation,,,
