Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,General Purpose,C3216C0G2A223J160AA,capacitors\1206_3216Metric,0.022uF,±5%,,100V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey,CAP CER 0.022UF 100V C0G 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,"C0G, NP0",-55°C ~ 125°C,,TDK Corporation,,,
Capacitor,General Purpose,CC1206KRX7RABB222,capacitors\1206_3216Metric,2200pF,±10%,,200V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.yageo.com/documents/recent/UPY-NP0X7R_MV_100-to-630V_21.pdf,CAP CER 2200PF 200V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,Yageo,,,
Capacitor,General Purpose,12067C682KAT2A,capacitors\1206_3216Metric,6800pF,±10%,,500V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://datasheets.avx.com/X7RDielectric.pdf,CAP CER 6800PF 500V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,General Purpose,CC1206KRX7R7BB334,capacitors\1206_3216Metric,0.33uF,±10%,,16V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.33UF 16V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,Yageo,,,
Capacitor,"Bypass, Decoupling",C1206C334K3RACTU,capacitors\1206_3216Metric,0.33uF,±10%,,25V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1206C334K3RACTU.pdf,CAP CER 0.33UF 25V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,KEMET,,,
Capacitor,"Automotive, Boardflex Sensitive",CGA5L1X7R1V475M160AE,capacitors\1206_3216Metric,4.7uF,±20%,Soft Termination,35V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_soft_en.pdf?ref_disty=digikey,CAP CER 4.7UF 35V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,TDK Corporation,,,
Capacitor,"Automotive, ESD Protection",C1206C102KAGECAUTO,capacitors\1206_3216Metric,1000pF,±10%,Low ESL,250V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1206C102KAGECAUTO.pdf,CAP CER 1206 1NF 250V C0G 10%,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"Automotive, Boardflex Sensitive",1206Y2K00561KST,capacitors\1206_3216Metric,560pF,±10%,Soft Termination,2000V (2kV),"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,CAP CER 560PF 2KV X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,General Purpose,CC1206JRX7RABB103,capacitors\1206_3216Metric,10000pF,±5%,,200V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.yageo.com/documents/recent/UPY-NP0X7R_MV_100-to-630V_21.pdf,CAP CER 10000PF 200V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,Yageo,,,
Capacitor,General Purpose,CC1206JRX7R0BB102,capacitors\1206_3216Metric,1000pF,±5%,,100V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.yageo.com/documents/recent/UPY-NP0X7R_MV_100-to-630V_21.pdf,CAP CER 1000PF 100V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,Yageo,,,
Capacitor,Automotive,CGJ5L3X7S2A155K160AA,capacitors\1206_3216Metric,1.5uF,±10%,,100V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_highreliability_midvoltage_en.pdf?ref_disty=digikey,CAP CER 1.5UF 100V X7S 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7S,-55°C ~ 125°C,,TDK Corporation,,,
Capacitor,General Purpose,CC1206JRX7R0BB472,capacitors\1206_3216Metric,4700pF,±5%,,100V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.yageo.com/documents/recent/UPY-NP0X7R_MV_100-to-630V_21.pdf,CAP CER 4700PF 100V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,Yageo,,,
Capacitor,Boardflex Sensitive,1206Y5000103KXT,capacitors\1206_3216Metric,10000pF,±10%,Soft Termination,500V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,CAP CER 10000PF 500V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,General Purpose,CC1206ZRY5V9BB105,capacitors\1206_3216Metric,1uF,"-20%, +80%",,50V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf,CAP CER 1UF 50V Y5V 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,Y5V (F),-30°C ~ 85°C,,Yageo,,,
Capacitor,Automotive,CGA5L3X7T2E224M160AA,capacitors\1206_3216Metric,0.22uF,±20%,,250V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_midvoltage_en.pdf?ref_disty=digikey,CAP CER 0.22UF 250V X7T 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7T,-55°C ~ 125°C,,TDK Corporation,,,
Capacitor,General Purpose,CC1206JKNPOBBN102,capacitors\1206_3216Metric,1000pF,±5%,High Voltage,500V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.yageo.com/documents/recent/UPY-NP0X7R_MV_100-to-630V_21.pdf,CAP CER 1000PF 500V NPO 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,"C0G, NP0",-55°C ~ 125°C,,Yageo,,,
