Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,General Purpose,1812WC102KAT1A,capacitors\1812_4532Metric,1000pF,±10%,High Voltage,2500V (2.5kV),"C1812N,C1812L,C1812M",1812 (4532 Metric),C,,,http://datasheets.avx.com/AVX-HV_MLCC.pdf,CAP CER 1000PF 2.5KV X7R 1812,"Surface Mount, MLCC",0.181 L x 0.126 W (4.60mm x 3.20mm),2,X7R,-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,General Purpose,1812SC153KAT1A,capacitors\1812_4532Metric,0.015uF,±10%,High Voltage,1500V (1.5kV),"C1812N,C1812L,C1812M",1812 (4532 Metric),C,,,http://datasheets.avx.com/AVX-HV_MLCC.pdf,CAP CER 0.015UF 1.5KV X7R 1812,"Surface Mount, MLCC",0.181 L x 0.126 W (4.60mm x 3.20mm),2,X7R,-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,General Purpose,HV1812Y102KXHATHV,capacitors\1812_4532Metric,1000pF,±10%,High Voltage,3000V (3kV),"C1812N,C1812L,C1812M",1812 (4532 Metric),C,,,http://www.vishay.com/docs/45228/hvseries.pdf,CAP CER 1000PF 3KV X7R 1812,"Surface Mount, MLCC",0.177 L x 0.126 W (4.50mm x 3.20mm),2,X7R,-55°C ~ 125°C,,Vishay Vitramon,,,
Capacitor,"SMPS Filtering, Boardflex Sensitive",1812AC273KAZ1A,capacitors\1812_4532Metric,0.027uF,±10%,"Soft Termination, High Voltage",1000V (1kV),"C1812N,C1812L,C1812M",1812 (4532 Metric),C,,,http://datasheets.avx.com/HV-FlexitermMLCC.pdf,CAP CER 0.027UF 1KV X7R 1812,"Surface Mount, MLCC",0.177 L x 0.126 W (4.50mm x 3.20mm),2,X7R,-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,General Purpose,KTS250B106M43N0T00,capacitors\1812_4532Metric,10uF,±20%,,25V,"C1812N,C1812L,C1812M",1812 (4532 Metric),C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/NTS_NTF_Series_E1002W.pdf,CAP CER 10UF 25V X7R 1812,"Surface Mount, MLCC",0.177 L x 0.126 W (4.50mm x 3.20mm),2,X7R,-55°C ~ 125°C,,United Chemi-Con,,,
Capacitor,Automotive,KVF500L155M43NHT00,capacitors\1812_4532Metric,1.5uF,±20%,High Temperature,50V,"C1812N,C1812L,C1812M",1812 (4532 Metric),C,,,http://www.chemi-con.co.jp/e/catalog/pdf/ce-e/ce-sepa-e/ce-kvf-e-2019.pdf,CAP CER 1.5UF 50V X8L 1812,"Surface Mount, MLCC",0.180 L x 0.126 W (4.57mm x 3.20mm),2,X8L,-55°C ~ 150°C,,United Chemi-Con,,,
Capacitor,General Purpose,C4532X5R1E156M250KA,capacitors\1812_4532Metric,15uF,±20%,Low ESL,25V,"C1812N,C1812L,C1812M",1812 (4532 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,CAP CER 15UF 25V X5R 1812,"Surface Mount, MLCC",0.177 L x 0.126 W (4.50mm x 3.20mm),2,X5R,-55°C ~ 85°C,,TDK Corporation,,,
Capacitor,Automotive,KVF101L684M43NLT00,capacitors\1812_4532Metric,0.68uF,±20%,High Temperature,100V,"C1812N,C1812L,C1812M",1812 (4532 Metric),C,,,http://www.chemi-con.co.jp/e/catalog/pdf/ce-e/ce-sepa-e/ce-kvf-e-2019.pdf,CAP CER 0.68UF 100V X8L 1812,"Surface Mount, MLCC",0.180 L x 0.126 W (4.57mm x 3.20mm),2,X8L,-55°C ~ 150°C,,United Chemi-Con,,,
Capacitor,General Purpose,C1812C682KGRACTU,capacitors\1812_4532Metric,6800pF,±10%,"Low ESL, High Voltage",2000V (2kV),"C1812N,C1812L,C1812M",1812 (4532 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1812C682KGRACTU.pdf,CAP CER 6800PF 2KV X7R 1812,"Surface Mount, MLCC",0.177 L x 0.126 W (4.50mm x 3.20mm),2,X7R,-55°C ~ 125°C,,KEMET,,,
Capacitor,"SMPS Filtering, Boardflex Sensitive",1812HC222KAZ1A,capacitors\1812_4532Metric,2200pF,±10%,"Soft Termination, High Voltage",3000V (3kV),"C1812N,C1812L,C1812M",1812 (4532 Metric),C,,,http://datasheets.avx.com/HV-FlexitermMLCC.pdf,CAP CER 2200PF 3KV X7R 1812,"Surface Mount, MLCC",0.177 L x 0.126 W (4.50mm x 3.20mm),2,X7R,-55°C ~ 125°C,,AVX Corporation,,,
