Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,"RF, Microwave, High Frequency",CBR04C560F5GAC,capacitors\0402_1005Metric,56pF,±1%,"High Q, Low Loss, Ultra Low ESR",50V,"C0402_RF-N,C0402_RF-L,C0402_RF-M",0402 (1005 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/CBR04C560F5GAC.pdf,CAP CER RF 56PF 50V 1% C0G 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"RF, Microwave, High Frequency",251R15S1R2AV4E,capacitors\0805_2012Metric,1.2pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0805_RF-N,C0805_RF-L,C0805_RF-M",0805 (2012 Metric),C,,,https://www.johansontechnology.com/downloads/catalog/johanson-technology-multi-layer-high-q-capacitors.pdf,CAP CER 1.2PF 250V NP0 0805,"Surface Mount, MLCC",0.080 L x 0.050 W (2.03mm x 1.27mm),2,"C0G, NP0",-55°C ~ 125°C,,Johanson Technology Inc.,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S7R5BT250XT,capacitors\0603_1608Metric,7.5pF,±0.1pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0603_RF-N,C0603_RF-L,C0603_RF-M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 7.5PF 250V C0G/NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency",CBR04C680F3GAC,capacitors\0402_1005Metric,68pF,±1%,"High Q, Low Loss, Ultra Low ESR",25V,"C0402_RF-N,C0402_RF-L,C0402_RF-M",0402 (1005 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/CBR04C680F3GAC.pdf,CAP CER 68PF 25V C0G/NP0 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"RF, Microwave, High Frequency",251R15S0R5AV4E,capacitors\0805_2012Metric,0.5pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0805_RF-N,C0805_RF-L,C0805_RF-M",0805 (2012 Metric),C,,,https://www.johansontechnology.com/downloads/catalog/johanson-technology-multi-layer-high-q-capacitors.pdf,CAP CER 0.5PF 250V NP0 0805,"Surface Mount, MLCC",0.080 L x 0.050 W (2.03mm x 1.27mm),2,"C0G, NP0",-55°C ~ 125°C,,Johanson Technology Inc.,,,
Capacitor,"RF, Microwave, High Frequency",CBR04C390F5GAC,capacitors\0402_1005Metric,39pF,±1%,"High Q, Low Loss, Ultra Low ESR",50V,"C0402_RF-N,C0402_RF-L,C0402_RF-M",0402 (1005 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/CBR04C390F5GAC.pdf,CAP CER RF 39PF 50V 1% C0G 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"RF, Microwave, High Frequency",UQCSVA2R7BAT2A\500,capacitors\0603_1608Metric,2.7pF,±0.1pF,"High Q, Low Loss",250V,"C0603_RF-N,C0603_RF-L,C0603_RF-M",0603 (1608 Metric),C,,,http://datasheets.avx.com/UQ-Series.pdf,CAP CER 2.7PF 250V 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,A,-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,"RF, Microwave, High Frequency",251R15S0R7AV4E,capacitors\0805_2012Metric,0.7pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0805_RF-N,C0805_RF-L,C0805_RF-M",0805 (2012 Metric),C,,,https://www.johansontechnology.com/downloads/catalog/johanson-technology-multi-layer-high-q-capacitors.pdf,CAP CER 0.7PF 250V NP0 0805,"Surface Mount, MLCC",0.080 L x 0.050 W (2.03mm x 1.27mm),2,"C0G, NP0",-55°C ~ 125°C,,Johanson Technology Inc.,,,
Capacitor,"RF, Microwave, High Frequency",500R07S0R6AV4T,capacitors\0402_1005Metric,0.6pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",50V,"C0402_RF-N,C0402_RF-L,C0402_RF-M",0402 (1005 Metric),C,,,https://www.johansontechnology.com/downloads/catalog/johanson-technology-multi-layer-high-q-capacitors.pdf,CAP CER 0.6PF 50V C0G/NP0 0402,"Surface Mount, MLCC",0.040 L x 0.020 W (1.02mm x 0.51mm),2,"C0G, NP0",-55°C ~ 125°C,,Johanson Technology Inc.,,,
Capacitor,"RF, Microwave, High Frequency",UQCSVA2R0BAT2A\500,capacitors\0603_1608Metric,2pF,±0.1pF,"High Q, Low Loss",250V,"C0603_RF-N,C0603_RF-L,C0603_RF-M",0603 (1608 Metric),C,,,http://datasheets.avx.com/UQ-Series.pdf,CAP CER 2PF 250V 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,A,-55°C ~ 125°C,,AVX Corporation,,,
