Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,General Purpose,C0402C151F5GAC7867,capacitors\0402_1005Metric,150pF,±1%,Low ESL,50V,"C0402N,C0402L,C0402M",0402 (1005 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C0402C151F5GAC7867.pdf,CAP CER 150PF 50V NP0 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C0402C330F5GACTU,capacitors\0402_1005Metric,33pF,±1%,Low ESL,50V,"C0402N,C0402L,C0402M",0402 (1005 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C0402C330F5GACTU.pdf,CAP CER 33PF 50V C0G/NP0 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600L2R7AT200T,capacitors\0402_1005Metric,2.7pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",200V,"C0402N,C0402L,C0402M",0402 (1005 Metric),C,,,http://www.atceramics.com/UserFiles/600l.pdf,CAP CER 2.7PF 200V C0G/NP0 0402,"Surface Mount, MLCC",0.040 L x 0.020 W (1.02mm x 0.51mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,General Purpose,0402BW224K160YT,capacitors\0402_1005Metric,0.22uF,±10%,,16V,"C0402N,C0402L,C0402M",0402 (1005 Metric),C,,,https://www.knowlescapacitors.com/getattachment/6c8d48ef-fc2b-4752-ae2c-ce6c208de0c4/High-Capacitance-Chip.aspx,CAP CER 0.22UF 16V X5R 0402,"Surface Mount, MLCC",0.040 L x 0.020 W (1.02mm x 0.51mm),2,X5R,-55°C ~ 85°C,,Knowles Novacap,,,
Capacitor,General Purpose,0402BB473K160NGT,capacitors\0402_1005Metric,0.047uF,±10%,Gold Flash Termination,16V,"C0402N,C0402L,C0402M",0402 (1005 Metric),C,,,https://www.knowlescapacitors.com/getattachment/6c8d48ef-fc2b-4752-ae2c-ce6c208de0c4/High-Capacitance-Chip.aspx,CAP CER 0.047UF 16V X7R 0402,"Surface Mount, MLCC",0.040 L x 0.020 W (1.02mm x 0.51mm),2,X7R,-55°C ~ 125°C,,Knowles Novacap,,,
Capacitor,General Purpose,C0402C360F5GAC7867,capacitors\0402_1005Metric,36pF,±1%,Low ESL,50V,"C0402N,C0402L,C0402M",0402 (1005 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C0402C360F5GACTU.pdf,CAP CER 36PF 50V NP0 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C0402C222F4GAC7867,capacitors\0402_1005Metric,2200pF,±1%,Low ESL,16V,"C0402N,C0402L,C0402M",0402 (1005 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C0402C222F4GACTU.pdf,CAP CER 2200PF 16V NP0 0402,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600L3R3AT200T,capacitors\0402_1005Metric,3.3pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",200V,"C0402N,C0402L,C0402M",0402 (1005 Metric),C,,,http://www.atceramics.com/UserFiles/600l.pdf,CAP CER 3.3PF 200V NP0 0402,"Surface Mount, MLCC",0.040 L x 0.020 W (1.02mm x 0.51mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,General Purpose,0402BB223K500NGT,capacitors\0402_1005Metric,0.022uF,±10%,Gold Flash Termination,50V,"C0402N,C0402L,C0402M",0402 (1005 Metric),C,,,https://www.knowlescapacitors.com/getattachment/6c8d48ef-fc2b-4752-ae2c-ce6c208de0c4/High-Capacitance-Chip.aspx,CAP CER 0.022UF 50V X7R 0402,"Surface Mount, MLCC",0.040 L x 0.020 W (1.02mm x 0.51mm),2,X7R,-55°C ~ 125°C,,Knowles Novacap,,,
Capacitor,Automotive,C0402C479C5GACAUTO,capacitors\0402_1005Metric,4.7pF,±0.25pF,Low ESL,50V,"C0402N,C0402L,C0402M",0402 (1005 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C0402C479C5GACAUTO.pdf,CAP CER SMD 0402 4.7PF .25PF% CO,"Surface Mount, MLCC",0.039 L x 0.020 W (1.00mm x 0.50mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
