Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,General Purpose,UWX1C100MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,34.5mA @ 10kHz,23mA @ 120Hz,2000 Hrs @ 85°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwx.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,Automotive,EEE-1CA100SR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,47.6mA @ 10kHz,28mA @ 120Hz,2000 Hrs @ 85°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-0JA220SR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,49.3mA @ 10kHz,29mA @ 120Hz,2000 Hrs @ 85°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 22UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1VA100WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 85°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 10UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1VA2R2NR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",2.2uF,±20%,,,20.4mA @ 10kHz,12mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 2.2UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1HA010NR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,17mA @ 10kHz,10mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1AA100NR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,42.5mA @ 10kHz,25mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 10UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,High Temperature Reflow,UWZ1H010MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,9.45mA @ 10kHz,6.3mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwz.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,EMVA6R3ADA470MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,35.64mA @ 100kHz,33mA @ 120Hz,2000 Hrs @ 85°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,CAP ALUM 47UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,General Purpose,EMVE350ADA4R7MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,,16mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/MVE%20Series.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,EMVA100ADA220MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,28.08mA @ 100kHz,26mA @ 120Hz,2000 Hrs @ 85°C,Polar,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,CAP ALUM 22UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,General Purpose,EMVA100ADA330MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,32.4mA @ 100kHz,30mA @ 120Hz,2000 Hrs @ 85°C,Polar,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,CAP ALUM 33UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,General Purpose,EMVA500ADA4R7MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,27mA @ 100kHz,18mA @ 120Hz,2000 Hrs @ 85°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,CAP ALUM 4.7UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,General Purpose,EMVE500ADA3R3MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,,,,15mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/MVE%20Series.pdf,CAP ALUM 3.3UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,United Chemi-Con,,,
,Automotive,EEE-FC1H3R3R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,,5 Ohms,30mA @ 100kHz,22.5mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1172.pdf,CAP ALUM 3.3UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1HA4R7WAR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,30.6mA @ 10kHz,18mA @ 120Hz,1000 Hrs @ 85°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf,CAP ALUM 4.7UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1CA220WAR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,47.6mA @ 10kHz,28mA @ 120Hz,1000 Hrs @ 85°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf,CAP ALUM 22UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1EA100WAR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 85°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf,CAP ALUM 10UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1VA100WAR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 85°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf,CAP ALUM 10UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,General Purpose,AVE475M25B12T-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,49.38Ohm @ 120Hz,,505.4mA @ 10kHz,19mA @ 120Hz,2000 Hrs @ 85°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.cde.com/resources/catalogs/AVE.pdf,CAP ALUM 4.7UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Cornell Dubilier Electronics (CDE),,,
,General Purpose,AVE105M50B12T-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,165.78Ohm @ 120Hz,,15mA @ 10kHz,10mA @ 120Hz,2000 Hrs @ 85°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.cde.com/resources/catalogs/AVE.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Cornell Dubilier Electronics (CDE),,,
,Automotive,EEE-HAA330WAR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,49.3mA @ 10kHz,29mA @ 120Hz,1000 Hrs @ 105°C,Polar,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1148.pdf,CAP ALUM 33UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HAE100WAR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 105°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1148.pdf,CAP ALUM 10UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HAV100WAR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1148.pdf,CAP ALUM 10UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HA1C100AR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,47.6mA @ 10kHz,28mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1148.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HA1E4R7AR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 105°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1148.pdf,CAP ALUM 4.7UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HA1H1R0AR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,17mA @ 10kHz,10mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1148.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HA1V4R7AR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1148.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FC1E6R8R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",6.8uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1172.pdf,CAP ALUM 6.8UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FC1V3R3R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1172.pdf,CAP ALUM 3.3UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HA1A330WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,49.3mA @ 10kHz,29mA @ 120Hz,1000 Hrs @ 105°C,Polar,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1151.pdf,CAP ALUM 33UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HA0J330WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,49.3mA @ 10kHz,29mA @ 120Hz,1000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1151.pdf,CAP ALUM 33UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,EMVY160ADA100MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,3 Ohms,60mA @ 100kHz,24mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mvy,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,EEE-FC1V2R2AR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",2.2uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1169.pdf,CAP ALUM 2.2UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FC1V4R7AR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1169.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FC0J220AR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1169.pdf,CAP ALUM 22UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FC1C100AR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1169.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FC1V3R3AR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1169.pdf,CAP ALUM 3.3UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,"Automotive, Bypass, Decoupling",AHA225M50B12T-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",2.2uF,±20%,90.5Ohm @ 120Hz,,27.2mA @ 10kHz,16mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.cde.com/resources/catalogs/AHA.pdf,CAP ALUM 2.2UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Cornell Dubilier Electronics (CDE),,,
,General Purpose,UWG1E6R8MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",6.8uF,±20%,,3 Ohms,60mA @ 100kHz,30mA @ 120Hz,1000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwg.pdf,CAP ALUM 6.8UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWG0J220MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,3 Ohms,60mA @ 100kHz,30mA @ 120Hz,1000 Hrs @ 105°C,,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwg.pdf,CAP ALUM 22UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWG1V3R3MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,,3 Ohms,60mA @ 100kHz,30mA @ 120Hz,1000 Hrs @ 105°C,,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwg.pdf,CAP ALUM 3.3UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWG1H3R3MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,,5 Ohms,30mA @ 100kHz,15mA @ 120Hz,1000 Hrs @ 105°C,,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwg.pdf,CAP ALUM 3.3UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWG1V010MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,3 Ohms,60mA @ 100kHz,30mA @ 120Hz,1000 Hrs @ 105°C,,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwg.pdf,CAP ALUM 1UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWG1V2R2MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",2.2uF,±20%,,3 Ohms,60mA @ 100kHz,30mA @ 120Hz,1000 Hrs @ 105°C,,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwg.pdf,CAP ALUM 2.2UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWG1V4R7MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,3 Ohms,60mA @ 100kHz,30mA @ 120Hz,1000 Hrs @ 105°C,,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwg.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,Audio,UUQ1H010MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,9.3mA @ 10kHz,6.2mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uuq.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,Audio,UUQ1C100MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,27mA @ 10kHz,18mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uuq.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,Audio,UUQ1E4R7MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,19.5mA @ 10kHz,13mA @ 120Hz,1000 Hrs @ 105°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uuq.pdf,CAP ALUM 4.7UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,General Purpose,UWG1C100MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,3 Ohms,60mA @ 100kHz,30mA @ 120Hz,1000 Hrs @ 105°C,,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwg.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
