Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,Automotive,10SGV330M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,,234mA @ 10kHz,195mA @ 120Hz,2000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_sgv.pdf,CAP ALUM 330UF 20% 10V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,Automotive,UCD0J471MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",470uF,±20%,,160 mOhms,600mA @ 100kHz,300mA @ 120Hz,2000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucd.pdf,CAP ALUM 470UF 20% 6.3V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UUX2G1R8MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1.8uF,±20%,,,43.42mA @ 10kHz,26mA @ 120Hz,3000 Hrs @ 105°C,Polar,400V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uux.pdf,CAP ALUM 1.8UF 20% 400V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,Automotive,16THV100M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,300mOhm @ 100kHz,,300mA @ 100kHz,150mA @ 120Hz,3000 Hrs @ 125°C,Polar,16V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_THV.pdf,CAP ALUM 100UF 20% 16V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 125°C,,Rubycon,,,
,General Purpose,6.3TRV470M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",470uF,±20%,,150 mOhms,600mA @ 100kHz,360mA @ 120Hz,8000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_TRV.pdf,CAP ALUM 470UF 20% 6.3V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 105°C,,Rubycon,,,
,General Purpose,UUB2G1R8MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1.8uF,±20%,,,40.5mA @ 10kHz,27mA @ 120Hz,2000 Hrs @ 125°C,,400V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uub.pdf,CAP ALUM 1.8UF 20% 400V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 125°C,,Nichicon,,,
,"Automotive, High Temperature Reflow",35JZV100M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,160 mOhms,600mA @ 100kHz,300mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_jzv.pdf,CAP ALUM 100UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,Automotive,EMZA630ADA330MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,700 mOhms,250mA @ 100kHz,100mA @ 120Hz,2000 Hrs @ 105°C,Polar,63V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mza,CAP ALUM 33UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,UCJ1A221MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,2Ohm,,250mA @ 100kHz,125mA @ 120Hz,2000 Hrs @ 125°C,Polar,10V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucj.pdf,CAP ALUM 220UF 20% 10V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 125°C,,Nichicon,,,
,General Purpose,UCX1C101MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,200mOhm,,270mA @ 100kHz,135mA @ 120Hz,2000 Hrs @ 135°C,Polar,16V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucx.pdf,CAP ALUM 100UF 20% 16V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 135°C,,Nichicon,,,
,General Purpose,UCX1A221MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,200mOhm,,270mA @ 100kHz,135mA @ 120Hz,2000 Hrs @ 135°C,Polar,10V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucx.pdf,CAP ALUM 220UF 20% 10V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 135°C,,Nichicon,,,
,Automotive,25TXV100M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,160mOhm,,300mA @ 100kHz,150mA @ 120Hz,2000 Hrs @ 125°C,,25V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_txv.pdf,CAP ALUM 100UF 20% 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 125°C,,Rubycon,,,
,Automotive,25TLV330M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,160 mOhms,600mA @ 100kHz,360mA @ 120Hz,5000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_TLV.pdf,CAP ALUM 330UF 20% 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
