Part Type,Part Number,Schematic Part,Part Value,Current - Continuous Drain (Id) @ 25°C,Drain to Source Voltage (Vdss),"Drive Voltage (Max Rds On,  Min Rds On)",Vgs(th) (Max) @ Id,Vgs (Max),"Rds On (Max) @ Id, Vgs",Gate Charge (Qg) (Max) @ Vgs,Input Capacitance (Ciss) (Max) @ Vds,FET Feature,FET Type,Technology,Allegro PCB Footprint,Package / Case,Pspice Model,Power Dissipation (Max),Technology,Availability,Data Sheet,Description,Mounting Type,Size,Number of FET,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
N CHANNEL,BSC100N10NSFGATMA1,,,"11.4A (Ta), 90A (Tc)",100V,10V,4V @ 110µA,±20V,"10mOhm @ 25A, 10V",44nC @ 10V,2900pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,156W (Tc),,,https://www.infineon.com/dgdl/BSC100N10NSF+Rev2.06.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431b3e89eb011b49a75b607b57,MOSFET N-CH 100V 90A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC016N04LSGATMA1,,,"31A (Ta), 100A (Tc)",40V,"4.5V, 10V",2V @ 85µA,±20V,"1.6mOhm @ 50A, 10V",150nC @ 10V,12000pF @ 20V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 139W (Tc)",,,https://www.infineon.com/dgdl/BSC016N04LSG_rev1.6.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a304318a6cd680118efe284830226,MOSFET N-CH 40V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC042NE7NS3GATMA1,,,"19A (Ta), 100A (Tc)",75V,10V,3.8V @ 91µA,±20V,"4.2mOhm @ 50A, 10V",69nC @ 10V,4800pF @ 37.5V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 125W (Tc)",,,https://www.infineon.com/dgdl/BSC042NE7NS3G_Rev2.21.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a304320d39d590121a5f8baf30c25,MOSFET N-CH 75V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC670N25NSFDATMA1,,,24A (Tc),250V,10V,4V @ 90µA,±20V,"67mOhm @ 24A, 10V",30nC @ 10V,2410pF @ 125V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,150W (Tc),,,https://www.infineon.com/dgdl/Infineon-BSC670N25NSFD-DS-v02_01-EN.pdf?fileId=5546d46259b0420a0159d61b96e90ee7,MOSFET N-CH 250V 24A 8TDSON,Surface Mount,,1,-55°C ~ 175°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC600N25NS3GATMA1,,,25A (Tc),250V,10V,4V @ 90µA,±20V,"60mOhm @ 25A, 10V",29nC @ 10V,2350pF @ 100V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,125W (Tc),,,https://www.infineon.com/dgdl/BSC600N25NS3+G+Rev2.3.pdf?folderId=db3a3043163797a6011637d4bae7003b&fileId=db3a3043243b5f17012496ab13871948,MOSFET N-CH 250V 25A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC190N15NS3GATMA1,,,50A (Tc),150V,"8V, 10V",4V @ 90µA,±20V,"19mOhm @ 50A, 10V",31nC @ 10V,2420pF @ 75V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,125W (Tc),,,https://www.infineon.com/dgdl/BSC190N15NS3_Rev2.4.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431d8a6b3c011d8bf2fcf30076,MOSFET N-CH 150V 50A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC320N20NS3GATMA1,,,36A (Tc),200V,10V,4V @ 90µA,±20V,"32mOhm @ 36A, 10V",29nC @ 10V,2350pF @ 100V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,125W (Tc),,,https://www.infineon.com/dgdl/BSC320N20NS3+G+Rev2.2.pdf?folderId=db3a3043163797a6011637d4bae7003b&fileId=db3a3043243b5f17012495e37b301571,MOSFET N-CH 200V 36A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC190N12NS3GATMA1,,,"8.6A (Ta), 44A (Tc)",120V,10V,4V @ 42µA,±20V,"19mOhm @ 39A, 10V",34nC @ 10V,2300pF @ 60V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,69W (Tc),,,https://www.infineon.com/dgdl/BSC190N12NS3+Rev2.5.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30432239cccd0122a7bb1e767d49,MOSFET N-CH 120V 44A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC011N03LSATMA1,,,"37A (Ta), 100A (Tc)",30V,"4.5V, 10V",2.2V @ 250µA,±20V,"1.1mOhm @ 30A, 10V",72nC @ 10V,4700pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 96W (Tc)",,,https://www.infineon.com/dgdl/BSC011N03LS_Rev+1.2.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30432c64a60d012cbb2c20ff02a0,MOSFET N-CH 30V 100A 8TDSON,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC13DN30NSFDATMA1,,,16A (Tc),300V,10V,4V @ 90µA,±20V,"130mOhm @ 16A, 10V",30nC @ 10V,2450pF @ 150V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,150W (Tc),,,https://www.infineon.com/dgdl/Infineon-BSC13DN30NSFD-DS-v02_01-EN.pdf?fileId=5546d46259b0420a0159d5c940fc0d9a,MOSFET N-CH 300V 16A 8TDSON,Surface Mount,,1,-55°C ~ 175°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC060N10NS3GATMA1,,,"14.9A (Ta), 90A (Tc)",100V,"6V, 10V",3.5V @ 90µA,±20V,"6mOhm @ 50A, 10V",68nC @ 10V,4900pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,125W (Tc),,,https://www.infineon.com/dgdl/BSC060N10NS3+Rev2.4.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431ce5fb52011d1aab7f90133a,MOSFET N-CH 100V 90A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC017N04NSGATMA1,,,"30A (Ta), 100A (Tc)",40V,10V,4V @ 85µA,±20V,"1.7mOhm @ 50A, 10V",108nC @ 10V,8800pF @ 20V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 139W (Tc)",,,https://www.infineon.com/dgdl/BSC017N04NSG_rev1.24.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a304318a6cd680118efe5d5a60236,MOSFET N-CH 40V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC077N12NS3GATMA1,,,"13.4A (Ta), 98A (Tc)",120V,10V,4V @ 110µA,±20V,"7.7mOhm @ 50A, 10V",88nC @ 10V,5700pF @ 60V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,139W (Tc),,,https://www.infineon.com/dgdl/BSC077N12NS3++Rev2.5.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30432239cccd0122a7b3afe37d39,MOSFET N-CH 120V 98A 8TDSON,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC350N20NSFDATMA1,,,35A (Tc),200V,10V,4V @ 90µA,±20V,"35mOhm @ 35A, 10V",30nC @ 10V,2410pF @ 100V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,150W (Tc),,,https://www.infineon.com/dgdl/Infineon-BSC350N20NSFD-DS-v02_01-EN.pdf?fileId=5546d46259b0420a0159d6094ce00ea0,MOSFET N-CH 200V 35A 8TDSON,Surface Mount,,1,-55°C ~ 175°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC016N03MSGATMA1,,,"28A (Ta), 100A (Tc)",30V,"4.5V, 10V",2V @ 250µA,±20V,"1.6mOhm @ 30A, 10V",173nC @ 10V,13000pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 125W (Tc)",,,https://www.infineon.com/dgdl/Infineon-BSC016N03MSG-DS-v02_00-en.pdf?fileId=db3a304313d846880113de4a19bb0334,MOSFET N-CH 30V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC079N03LSCGATMA1,,,"14A (Ta), 50A (Tc)",30V,"4.5V, 10V",2.2V @ 250µA,±20V,"7.9mOhm @ 30A, 10V",19nC @ 10V,1600pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 30W (Tc)",,,//media.digikey.com/pdf/Data%20Sheets/Infineon%20PDFs/BSC079N03LSCG.pdf,MOSFET N-CH 30V 14A 8TDSON,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC030N03MSGATMA1,,,"21A (Ta), 100A (Tc)",30V,"4.5V, 10V",2V @ 250µA,±20V,"3mOhm @ 30A, 10V",73nC @ 10V,5700pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 69W (Tc)",,,https://www.infineon.com/dgdl/Infineon-BSC030N03MSG-DS-v02_00-en.pdf?fileId=db3a304313d846880113de605dea0359,MOSFET N-CH 30V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC265N10LSFGATMA1,,,"6.5A (Ta), 40A (Tc)",100V,"4.5V, 10V",2.4V @ 43µA,±20V,"26.5mOhm @ 20A, 10V",21nC @ 10V,1600pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,78W (Tc),,,https://www.infineon.com/dgdl/BSC265N10LSF+G_+Rev2.06.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431b3e89eb011b49a375207b46,MOSFET N-CH 100V 40A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC196N10NSGATMA1,,,"8.5A (Ta), 45A (Tc)",100V,10V,4V @ 42µA,±20V,"19.6mOhm @ 45A, 10V",34nC @ 10V,2300pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,78W (Tc),,,https://www.infineon.com/dgdl/BSC196N10NS+Rev1.05.pdf?folderId=db3a3043156fd5730115c7d50620107c&fileId=db3a3043163797a601164800549d071f,MOSFET N-CH 100V 45A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC025N03MSGATMA1,,,23A (Ta). 100A (Tc),30V,"4.5V, 10V",2V @ 250µA,±20V,"2.5mOhm @ 30A, 10V",98nC @ 10V,7600pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 83W (Tc)",,,https://www.infineon.com/dgdl/Infineon-BSC025N03MSG-DS-v02_00-en.pdf?fileId=db3a304313d846880113de52b02d034c,MOSFET N-CH 30V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC046N02KSGAUMA1,,,"19A (Ta), 80A (Tc)",20V,"2.5V, 4.5V",1.2V @ 110µA,±12V,"4.6mOhm @ 50A, 4.5V",27.6nC @ 4.5V,4100pF @ 10V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.8W (Ta), 48W (Tc)",,,https://www.infineon.com/dgdl/BSC046N02KS+G+Rev1.05.pdf?folderId=db3a3043163797a6011637c252b10018&fileId=db3a3043163797a6011637c34414001c,MOSFET N-CH 20V 80A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC019N04NSGATMA1,,,"30A (Ta), 100A (Tc)",40V,10V,4V @ 85µA,±20V,"1.9mOhm @ 50A, 10V",108nC @ 10V,8800pF @ 20V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 125W (Tc)",,,https://www.infineon.com/dgdl/Infineon-BSC019N04NSG-DS-v01_04-en.pdf?fileId=db3a30431689f4420116c45be78a0832,MOSFET N-CH 40V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC886N03LSGATMA1,,,"13A (Ta), 65A (Tc)",30V,"4.5V, 10V",2.2V @ 250µA,±20V,"6mOhm @ 30A, 10V",26nC @ 10V,2100pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 39W (Tc)",,,//media.digikey.com/pdf/Data%20Sheets/Infineon%20PDFs/BSC886N03LS_G.pdf,MOSFET N-CH 30V 65A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC018N04LSGATMA1,,,"30A (Ta), 100A (Tc)",40V,"4.5V, 10V",2V @ 85µA,±20V,"1.8mOhm @ 50A, 10V",150nC @ 10V,12000pF @ 20V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 125W (Tc)",,,https://www.infineon.com/dgdl/BSC018N04LSG_rev1.2.pdf?folderId=db3a304412b407950112b408e8c90004&fileId=db3a30431689f4420116c42d085d0808,MOSFET N-CH 40V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC118N10NSGATMA1,,,"11A (Ta), 71A (Tc)",100V,10V,4V @ 70µA,±20V,"11.8mOhm @ 50A, 10V",56nC @ 10V,3700pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,114W (Tc),,,https://www.infineon.com/dgdl/BSC118N10NS+Rev1.06.pdf?folderId=db3a3043156fd5730115c7d50620107c&fileId=db3a3043163797a6011647fdc2d4071c,MOSFET N-CH 100V 71A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
