Part Type,Part Number,Schematic Part,Part Value,Current - Continuous Drain (Id) @ 25°C,Drain to Source Voltage (Vdss),"Drive Voltage (Max Rds On,  Min Rds On)",Vgs(th) (Max) @ Id,Vgs (Max),"Rds On (Max) @ Id, Vgs",Gate Charge (Qg) (Max) @ Vgs,Input Capacitance (Ciss) (Max) @ Vds,FET Feature,FET Type,Technology,Allegro PCB Footprint,Package / Case,Pspice Model,Power Dissipation (Max),Technology,Availability,Data Sheet,Description,Mounting Type,Size,Number of FET,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
N CHANNEL,BSS670S2LH6327XTSA1,,,540mA (Ta),55V,"4.5V, 10V",2V @ 2.7µA,±20V,"650mOhm @ 270mA, 10V",2.26nC @ 10V,75pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,360mW (Ta),,,https://www.infineon.com/dgdl/BSS670S2L_Rev2.5.pdf?folderId=db3a3043156fd573011622e10b5c1f67&fileId=db3a304330f68606013109e4a7fb0094,MOSFET N-CH 55V 540MA SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS123NH6327XTSA1,,,190mA (Ta),100V,"4.5V, 10V",1.8V @ 13µA,±20V,"6Ohm @ 190mA, 10V",0.9nC @ 10V,20.9pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,500mW (Ta),,,https://www.infineon.com/dgdl/Infineon-BSS123N-DS-v02_03-en.pdf?fileId=db3a304335f1f4b6013639adfaaa1631,MOSFET N-CH 100V 0.19A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS316NH6327XTSA1,,,1.4A (Ta),30V,"4.5V, 10V",2V @ 3.7µA,±20V,"160mOhm @ 1.4A, 10V",0.6nC @ 5V,94pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,500mW (Ta),,,https://www.infineon.com/dgdl/BSS316N_Rev2.3.pdf?folderId=db3a3043156fd573011622e10b5c1f67&fileId=db3a304330f686060130ff7ee4b07f16,MOSFET N-CH 30V 1.4A SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS806NH6327XTSA1,,,2.3A (Ta),20V,"1.8V, 2.5V",750mV @ 11µA,±8V,"57mOhm @ 2.3A, 2.5V",1.7nC @ 2.5V,529pF @ 10V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,500mW (Ta),,,https://www.infineon.com/dgdl/BSS806N_Rev2.3_.pdf?folderId=db3a3043156fd573011622e10b5c1f67&fileId=db3a304330f686060131185f0553451c,MOSFET N-CH 20V 2.3A SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS205NH6327XTSA1,,,2.5A (Ta),20V,"2.5V, 4.5V",1.2V @ 11µA,±12V,"50mOhm @ 2.5A, 4.5V",3.2nC @ 4.5V,419pF @ 10V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,500mW (Ta),,,https://www.infineon.com/dgdl/BSS205N_Rev2.4.pdf?folderId=db3a3043156fd573011622e10b5c1f67&fileId=db3a304330f686060131091244950062,MOSFET N-CH 20V 2.5A SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,IRLML6246TRPBF,,,4.1A (Ta),20V,"2.5V, 4.5V",1.1V @ 5µA,±12V,"46mOhm @ 4.1A, 4.5V",3.5nC @ 4.5V,290pF @ 16V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,1.3W (Ta),,,https://www.infineon.com/dgdl/irlml6246pbf.pdf?fileId=5546d462533600a40153566878f22621,MOSFET N-CH 20V 4.1A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS119NH6327XTSA1,,,190mA (Ta),100V,"4.5V, 10V",2.3V @ 13µA,±20V,"6Ohm @ 190mA, 10V",0.6nC @ 10V,20.9pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,500mW (Ta),,,https://www.infineon.com/dgdl/Infineon-BSS119N-DS-v02_01-en.pdf?fileId=db3a304335f1f4b6013639b6532a164a,MOSFET N-CH 100V 0.19A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS127H6327XTSA2,,,21mA (Ta),600V,"4.5V, 10V",2.6V @ 8µA,±20V,"500Ohm @ 16mA, 10V",1nC @ 10V,28pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,500mW (Ta),,,https://www.infineon.com/dgdl/Infineon-BSS127-DS-v02_01-en.pdf?fileId=db3a304330f686060131049ef4883edb,MOSFET N-CH 600V 0.021A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,IRLML6346TRPBF,,,3.4A (Ta),30V,"2.5V, 4.5V",1.1V @ 10µA,±12V,"63mOhm @ 3.4A, 4.5V",2.9nC @ 4.5V,270pF @ 24V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,1.3W (Ta),,,https://www.infineon.com/dgdl/irlml6346pbf.pdf?fileId=5546d462533600a401535668a336262e,MOSFET N-CH 30V 3.4A SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,IRLML2030TRPBF,,,2.7A (Ta),30V,"4.5V, 10V",2.3V @ 25µA,±20V,"100mOhm @ 2.7A, 10V",1nC @ 4.5V,110pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,1.3W (Ta),,,https://www.infineon.com/dgdl/irlml2030pbf.pdf?fileId=5546d462533600a401535664aef525ec,MOSFET N-CH 30V 2.7A SOT-23-3,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,IRFML8244TRPBF,,,5.8A (Ta),25V,"4.5V, 10V",2.35V @ 10µA,±20V,"24mOhm @ 5.8A, 10V",5.4nC @ 10V,430pF @ 10V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,1.25W (Ta),,,https://www.infineon.com/dgdl/irfml8244pbf.pdf?fileId=5546d462533600a40153562817c91fc0,MOSFET N-CH 25V 5.8A SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS806NEH6327XTSA1,,,2.3A (Ta),20V,"1.8V, 2.5V",0.75V @ 11µA,±8V,"57mOhm @ 2.3A, 2.5V",1.7nC @ 2.5V,529pF @ 10V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,500mW (Ta),,,https://www.infineon.com/dgdl/Infineon-BSS806NE-DS-v02_01-en.pdf?fileId=db3a304340f610c201410d1548de3366,MOSFET N-CH 20V 2.3A SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS126H6327XTSA2,,,21mA (Ta),600V,"0V, 10V",1.6V @ 8µA,±20V,"500Ohm @ 16mA, 10V",2.1nC @ 5V,28pF @ 25V,Depletion Mode,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,500mW (Ta),,,https://www.infineon.com/dgdl/Infineon-BSS126-DS-v02_01-en.pdf?fileId=db3a304330f6860601310483af163eba,MOSFET N-CH 600V 0.021A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS306NH6327XTSA1,,,2.3A (Ta),30V,"4.5V, 10V",2V @ 11µA,±20V,"57mOhm @ 2.3A, 10V",1.5nC @ 5V,275pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,500mW (Ta),,,https://www.infineon.com/dgdl/BSS306N_Rev2.3.pdf?folderId=db3a3043156fd573011622e10b5c1f67&fileId=db3a304330f686060130ff4c1f867ef5,MOSFET N-CH 30V 2.3A SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS139H6327XTSA1,,,100mA (Ta),250V,"0V, 10V",1V @ 56µA,±20V,"14Ohm @ 100µA, 10V",3.5nC @ 5V,76pF @ 25V,Depletion Mode,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,360mW (Ta),,,https://www.infineon.com/dgdl/Infineon-BSS139-DS-v01_08-en.pdf?fileId=db3a304333b8a7ca0133eed3136c61f2,MOSFET N-CH 250V 100MA SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS159NH6327XTSA2,,,230mA (Ta),60V,"0V, 10V",2.4V @ 26µA,±20V,"3.5Ohm @ 160mA, 10V",1.4nC @ 5V,39pF @ 25V,Depletion Mode,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,360mW (Ta),,,https://www.infineon.com/dgdl/Infineon-BSS159N-DS-v02_02-en.pdf?fileId=db3a304330f68606013108d8b2230036,MOSFET N-CH 60V 230MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS131H6327XTSA1,,,110mA (Ta),240V,"4.5V, 10V",1.8V @ 56µA,±20V,"14Ohm @ 100mA, 10V",3.1nC @ 10V,77pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,360mW (Ta),,,https://www.infineon.com/dgdl/BSS131_V2.5+G.pdf?folderId=db3a3043156fd573011622e10b5c1f67&fileId=db3a304330f68606013104bf65993eeb,MOSFET N-CH 240V 0.11A SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS214NH6327XTSA1,,,1.5A (Ta),20V,"2.5V, 4.5V",1.2V @ 3.7µA,±12V,"140mOhm @ 1.5A, 4.5V",0.8nC @ 5V,143pF @ 10V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,500mW (Ta),,,https://www.infineon.com/dgdl/BSS214N_Rev2.3.pdf?folderId=db3a3043156fd573011622e10b5c1f67&fileId=db3a304330f6860601311828a70444e9,MOSFET N-CH 20V 1.5A SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,IRLML2803TRPBF,,,1.2A (Ta),30V,"4.5V, 10V",1V @ 250µA,±20V,"250mOhm @ 910mA, 10V",5nC @ 10V,85pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,540mW (Ta),,,https://www.infineon.com/dgdl/irlml2803pbf.pdf?fileId=5546d462533600a4015356682aff260f,MOSFET N-CH 30V 1.2A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,IRLML2402TRPBF,,,1.2A (Ta),20V,"2.7V, 4.5V",700mV @ 250µA,±12V,"250mOhm @ 930mA, 4.5V",3.9nC @ 4.5V,110pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,540mW (Ta),,,https://www.infineon.com/dgdl/irlml2402pbf.pdf?fileId=5546d462533600a401535664e5ef25fa,MOSFET N-CH 20V 1.2A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,IRLML2060TRPBF,,,1.2A (Ta),60V,"4.5V, 10V",2.5V @ 25µA,±16V,"480mOhm @ 1.2A, 10V",0.67nC @ 4.5V,64pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,1.25W (Ta),,,https://www.infineon.com/dgdl/irlml2060pbf.pdf?fileId=5546d462533600a401535664b7fb25ee,MOSFET N-CH 60V 1.2A SOT23-3,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,IRLML6244TRPBF,,,6.3A (Ta),20V,"2.5V, 4.5V",1.1V @ 10µA,±12V,"21mOhm @ 6.3A, 4.5V",8.9nC @ 4.5V,700pF @ 16V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,1.3W (Ta),,,https://www.infineon.com/dgdl/irlml6244pbf.pdf?fileId=5546d462533600a4015356686fed261f,MOSFET N-CH 20V 6.3A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,IRLML0030TRPBF,,,5.3A (Ta),30V,"4.5V, 10V",2.3V @ 25µA,±20V,"27mOhm @ 5.2A, 10V",2.6nC @ 4.5V,382pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,1.3W (Ta),,,https://www.infineon.com/dgdl/irlml0030pbf.pdf?fileId=5546d462533600a401535664773825df,MOSFET N-CH 30V 5.3A SOT-23-3,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,IRLML2502TRPBF,,,4.2A (Ta),20V,"2.5V, 4.5V",1.2V @ 250µA,±12V,"45mOhm @ 4.2A, 4.5V",12nC @ 5V,740pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,1.25W (Ta),,,https://www.infineon.com/dgdl/irlml2502pbf.pdf?fileId=5546d462533600a401535668048e2606,MOSFET N-CH 20V 4.2A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,IRLML0060TRPBF,,,2.7A (Ta),60V,"4.5V, 10V",2.5V @ 25µA,±16V,"92mOhm @ 2.7A, 10V",2.5nC @ 4.5V,290pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,1.25W (Ta),,,https://www.infineon.com/dgdl/irlml0060pbf.pdf?fileId=5546d462533600a40153566493ef25e6,MOSFET N-CH 60V 2.7A SOT-23-3,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSS159NH6906XTSA1,,,230mA (Ta),60V,"0V, 10V",2.4V @ 26µA,±20V,"3.5Ohm @ 160mA, 10V",2.9nC @ 5V,44pF @ 25V,Depletion Mode,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,360mW (Ta),,,https://www.infineon.com/dgdl/Infineon-BSS159N-DS-v02_02-en.pdf?fileId=db3a304330f68606013108d8b2230036,MOSFET N-CH 60V 230MA SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,2N7002LT1G,,,115mA (Tc),60V,"5V, 10V",2.5V @ 250µA,±20V,"7.5Ohm @ 500mA, 10V",,50pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,225mW (Ta),,,https://www.onsemi.com/pub/Collateral/2N7002L-D.PDF,MOSFET N-CH 60V 0.115A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,FDV301N,,,220mA (Ta),25V,"2.7V, 4.5V",1.06V @ 250µA,±8V,"4Ohm @ 400mA, 4.5V",0.7nC @ 4.5V,9.5pF @ 10V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,350mW (Ta),,,https://www.onsemi.com/pub/Collateral/FDV301N-D.PDF,MOSFET N-CH 25V 220MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,2V7002LT1G,,,115mA (Tc),60V,"5V, 10V",2.5V @ 250µA,±20V,"7.5Ohm @ 500mA, 10V",,50pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,225mW (Ta),,,http://www.onsemi.com/pub/Collateral/2N7002L-D.PDF,MOSFET N-CH 60V 0.115A SOT-23-3,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,BSS138K,,,220mA (Ta),50V,"1.8V, 2.5V",1.2V @ 250µA,±12V,"1.6Ohm @ 50mA, 5V",2.4nC @ 10V,58pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,350mW (Ta),,,https://www.onsemi.com/pub/Collateral/BSS138K-D.pdf,MOSFET N-CH 50V 220MA SOT-23-3,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,MGSF1N03LT1G,,,1.6A (Ta),30V,"4.5V, 10V",2.4V @ 250µA,±20V,"100mOhm @ 1.2A, 10V",,140pF @ 5V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,420mW (Ta),,,http://www.onsemi.com/pub/Collateral/MGSF1N03LT1-D.PDF,MOSFET N-CH 30V 1.6A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,BSS138LT3G,,,200mA (Ta),50V,5V,1.5V @ 1mA,±20V,"3.5Ohm @ 200mA, 5V",,50pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,225mW (Ta),,,http://www.onsemi.com/pub/Collateral/BSS138LT1-D.PDF,MOSFET N-CH 50V 200MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,BSS123LT1G,,,170mA (Ta),100V,10V,2.6V @ 1mA,±20V,"6Ohm @ 100mA, 10V",,20pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,225mW (Ta),,,http://www.onsemi.com/pub/Collateral/BSS123LT1-D.PDF,MOSFET N-CH 100V 170MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,BSS123L,,,170mA (Ta),100V,"4.5V, 10V",2V @ 1mA,±20V,"6Ohm @ 170mA, 10V",2.5nC @ 10V,21.5pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,360mW (Ta),,,https://www.onsemi.com/pub/Collateral/BSS123L-D.pdf,MOSFET N-CH 100V 0.17A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,BSS138LT1G,,,200mA (Ta),50V,5V,1.5V @ 1mA,±20V,"3.5Ohm @ 200mA, 5V",,50pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,225mW (Ta),,,http://www.onsemi.com/pub/Collateral/BSS138LT1-D.PDF,MOSFET N-CH 50V 200MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,BSS138,,,220mA (Ta),50V,"4.5V, 10V",1.5V @ 1mA,±20V,"3.5Ohm @ 220mA, 10V",2.4nC @ 10V,27pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,360mW (Ta),,,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF,MOSFET N-CH 50V 220MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,MMBF170LT1G,,,500mA (Ta),60V,10V,3V @ 1mA,±20V,"5Ohm @ 200mA, 10V",,60pF @ 10V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,225mW (Ta),,,http://www.onsemi.com/pub/Collateral/MMBF170LT1-D.PDF,MOSFET N-CH 60V 500MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,BSS123,,,170mA (Ta),100V,"4.5V, 10V",2V @ 1mA,±20V,"6Ohm @ 170mA, 10V",2.5nC @ 10V,73pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,360mW (Ta),,,https://www.onsemi.com/pub/Collateral/BSS123-D.PDF,MOSFET N-CH 100V 170MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,2N7002,,,115mA (Ta),60V,"5V, 10V",2.5V @ 250µA,±20V,"7.5Ohm @ 500mA, 10V",,50pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,200mW (Ta),,,https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF,MOSFET N-CH 60V 115MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,2N7002K,,,300mA (Ta),60V,"5V, 10V",2.5V @ 250µA,±20V,"2Ohm @ 500mA, 10V",,50pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,350mW (Ta),,,https://www.onsemi.com/pub/Collateral/2N7002K-D.pdf,MOSFET N-CH 60V 300MA SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,NDS7002A,,,280mA (Ta),60V,"5V, 10V",2.5V @ 250µA,±20V,"2Ohm @ 500mA, 10V",,50pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,300mW (Ta),,,https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF,MOSFET N-CH 60V 280MA SOT-23,Surface Mount,,1,-65°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,FDV303N,,,680mA (Ta),25V,"2.7V, 4.5V",1.5V @ 250µA,±8V,"450mOhm @ 500mA, 4.5V",2.3nC @ 4.5V,50pF @ 10V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,350mW (Ta),,,https://www.onsemi.com/pub/Collateral/FDV303N-D.PDF,MOSFET N-CH 25V 680MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,2N7002LT3G,,,115mA (Tc),60V,"5V, 10V",2.5V @ 250µA,±20V,"7.5Ohm @ 500mA, 10V",,50pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,225mW (Ta),,,https://www.onsemi.com/pub/Collateral/2N7002L-D.PDF,MOSFET N-CH 60V 0.115A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,NTR5103NT1G,,,260mA (Ta),60V,"4.5V, 10V",2.6V @ 250µA,±30V,"2.5Ohm @ 240mA, 10V",0.81nC @ 5V,40pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,300mW (Ta),,,http://www.onsemi.com/pub/Collateral/NTR5103N-D.PDF,MOSFET N-CH 60V 0.26A SOT23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,2N7002ET1G,,,260mA (Ta),60V,"4.5V, 10V",2.5V @ 250µA,±20V,"2.5Ohm @ 240mA, 10V",0.81nC @ 5V,26.7pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,300mW (Tj),,,http://www.onsemi.com/pub/Collateral/2N7002E-D.PDF,MOSFET N-CH 60V 260MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,2N7002KT1G,,,320mA (Ta),60V,"4.5V, 10V",2.5V @ 250µA,±20V,"1.6Ohm @ 500mA, 10V",0.7nC @ 4.5V,24.5pF @ 20V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,350mW (Ta),,,http://www.onsemi.com/pub/Collateral/2N7002K-D.PDF,MOSFET N-CH 60V 320MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,NTR4003NT3G,,,500mA (Ta),30V,"2.5V, 4V",1.4V @ 250µA,±20V,"1.5Ohm @ 10mA, 4V",1.15nC @ 5V,21pF @ 5V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,690mW (Ta),,,http://www.onsemi.com/pub/Collateral/NTR4003N-D.PDF,MOSFET N-CH 30V 500MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,2V7002KT1G,,,320mA (Ta),60V,"4.5V, 10V",2.3V @ 250µA,±20V,"1.6Ohm @ 500mA, 10V",0.7nC @ 4.5V,24.5pF @ 20V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,300mW (Tj),,,http://www.onsemi.com/pub/Collateral/2N7002K-D.PDF,MOSFET N-CH 60V 320MA SOT-23-3,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,NTR4003NT1G,,,500mA (Ta),30V,"2.5V, 4V",1.4V @ 250µA,±20V,"1.5Ohm @ 10mA, 4V",1.15nC @ 5V,21pF @ 5V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,690mW (Ta),,,http://www.onsemi.com/pub/Collateral/NTR4003N-D.PDF,MOSFET N-CH 30V 500MA SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,BSS138L,,,200mA (Ta),50V,"2.75V, 5V",1.5V @ 1mA,±20V,"3.5Ohm @ 200mA, 5V",2.4nC @ 10V,50pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,350mW (Ta),,,https://www.onsemi.com/pub/Collateral/BSS138LT1-D.PDF,MOSFET N-CH 50V 0.2A SOT-23,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,NVR4003NT3G,,,500mA (Ta),30V,"2.5V, 4V",1.4V @ 250µA,±20V,"1.5Ohm @ 10mA, 4V",1.15nC @ 5V,21pF @ 5V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,690mW (Ta),,,http://www.onsemi.com/pub/Collateral/NTR4003N-D.PDF,MOSFET N-CH 30V SOT-23-3,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,BVSS138LT1G,,,200mA (Ta),50V,5V,1.5V @ 1mA,±20V,"3.5Ohm @ 200mA, 5V",,50pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,225mW (Ta),,,http://www.onsemi.com/pub/Collateral/BSS138LT1-D.PDF,MOSFET N-CH 50V 200MA SOT-23-3,Surface Mount,,1,-55°C ~ 150°C (TJ),,ON Semiconductor,,,
N CHANNEL,CPH3457-TL-W,,,3A (Ta),30V,"1.8V, 4.5V",1.3V @ 1mA,±12V,"95mOhm @ 1.5A, 4.5V",3.5nC @ 4.5V,265pF @ 10V,,N-Channel,MOSFET (Metal Oxide),,"TO-236-3, SC-59, SOT-23-3",,1W (Ta),,,http://www.onsemi.com/pub/Collateral/CPH3457-D.PDF,MOSFET N-CH 30V 3A CPH3,Surface Mount,,1,150°C (TJ),,ON Semiconductor,,,
