Part Type,Part Number,Schematic Part,Part Value,Tolerance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Resistor,RK73B2ETTD332J,resistors\1210_3225Metric,3.3k,±5%,,"R1210N,R1210L,R1210M",1210 (3225 Metric),R,"0.5W, 1/2W",,http://www.koaspeer.com/catimages/Products/RK73B/RK73B.pdf,RES 3.3K OHM 5% 1/2W 1210,Surface Mount,,2,±200ppm/°C,-55°C ~ 155°C,,"KOA Speer Electronics, Inc.",,,
Resistor,RK73H2ETTD2R00F,resistors\1210_3225Metric,2,±1%,,"R1210N,R1210L,R1210M",1210 (3225 Metric),R,"0.5W, 1/2W",,http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf,RES 2 OHM 1% 1/2W 1210,Surface Mount,,2,±200ppm/°C,-55°C ~ 155°C,,"KOA Speer Electronics, Inc.",,,
Resistor,ESR25JZPJ301,resistors\1210_3225Metric,300,±5%,,"R1210N,R1210L,R1210M",1210 (3225 Metric),R,"0.667W, 2/3W",,https://www.rohm.com/datasheet/ESR01MZPF/esr-e,RES SMD 300 OHM 5% 2/3W 1210,Surface Mount,0.126 L x 0.098 W (3.20mm x 2.50mm),2,±200ppm/°C,-55°C ~ 155°C,,Rohm Semiconductor,,,
Resistor,RMCF1210FT187K,resistors\1210_3225Metric,187k,±1%,,"R1210N,R1210L,R1210M",1210 (3225 Metric),R,"0.333W, 1/3W",,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RES 187K OHM 1% 1/3W 1210,Surface Mount,0.126 L x 0.098 W (3.20mm x 2.50mm),2,±100ppm/°C,-55°C ~ 155°C,,Stackpole Electronics Inc,,,
Resistor,ERJ-14BQJR39U,resistors\1210_3225Metric,390m,±5%,,"R1210N,R1210L,R1210M",1210 (3225 Metric),R,"0.5W, 1/2W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.39 OHM 5% 1/2W 1210,Surface Mount,0.126 L x 0.098 W (3.20mm x 2.50mm),2,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
Resistor,CRCW12106K80JNEAHP,resistors\1210_3225Metric,6.8k,±5%,,"R1210N,R1210L,R1210M",1210 (3225 Metric),R,"0.75W, 3/4W",,http://www.vishay.com/docs/20043/crcwhpe3.pdf,RES SMD 6.8K OHM 5% 3/4W 1210,Surface Mount,0.126 L x 0.098 W (3.20mm x 2.50mm),2,±200ppm/°C,-55°C ~ 155°C,,Vishay Dale,,,
Resistor,CRCW121030R0JNEAHP,resistors\1210_3225Metric,30,±5%,,"R1210N,R1210L,R1210M",1210 (3225 Metric),R,"0.75W, 3/4W",,http://www.vishay.com/docs/20043/crcwhpe3.pdf,RES SMD 30 OHM 5% 3/4W 1210,Surface Mount,0.126 L x 0.098 W (3.20mm x 2.50mm),2,±200ppm/°C,-55°C ~ 155°C,,Vishay Dale,,,
Resistor,CRCW12102K70JNEAHP,resistors\1210_3225Metric,2.7k,±5%,,"R1210N,R1210L,R1210M",1210 (3225 Metric),R,"0.75W, 3/4W",,http://www.vishay.com/docs/20043/crcwhpe3.pdf,RES SMD 2.7K OHM 5% 3/4W 1210,Surface Mount,0.126 L x 0.098 W (3.20mm x 2.50mm),2,±200ppm/°C,-55°C ~ 155°C,,Vishay Dale,,,
Resistor,KTR25JZPF5100,resistors\1210_3225Metric,510,±1%,,"R1210N,R1210L,R1210M",1210 (3225 Metric),R,"0.333W, 1/3W",,https://www.rohm.com/datasheet/KTR03EZPF/ktr-e,RES SMD 510 OHM 1% 1/3W 1210,Surface Mount,0.126 L x 0.098 W (3.20mm x 2.50mm),2,±100ppm/°C,-55°C ~ 155°C,,Rohm Semiconductor,,,
Resistor,ERJ-P14J180U,resistors\1210_3225Metric,18,±5%,,"R1210N,R1210L,R1210M",1210 (3225 Metric),R,"0.5W, 1/2W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 18 OHM 5% 1/2W 1210,Surface Mount,0.126 L x 0.098 W (3.20mm x 2.50mm),2,±200ppm/°C,-55°C ~ 155°C,,Panasonic Electronic Components,,,
