Part Type,Part Number,Schematic Part,Part Value,Tolerance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Resistor,7-2176074-4,resistors\0201_0603Metric,33.2k,±0.5%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.03W, 1/32W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773200&DocType=DS&DocLang=English,RES SMD 33.2KOHM 0.5% 1/32W 0201,Surface Mount,0.023 L x 0.011 W (0.58mm x 0.29mm),2,±50ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,CRG0201F100K,resistors\0201_0603Metric,100k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204&DocType=DS&DocLang=English,RES SMD 100K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,CRG0201F10R,resistors\0201_0603Metric,10,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204&DocType=DS&DocLang=English,RES SMD 10 OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,RC0201FR-07715RL,resistors\0201_0603Metric,715,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,RES SMD 715 OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Yageo,,,
Resistor,RK73H1HTTC1022F,resistors\0201_0603Metric,10.2k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf,RES 10.2K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 155°C,,"KOA Speer Electronics, Inc.",,,
Resistor,RC0201FR-07348KL,resistors\0201_0603Metric,348k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,RES SMD 348K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Yageo,,,
Resistor,RC0201FR-07909RL,resistors\0201_0603Metric,909,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,RES SMD 909 OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Yageo,,,
Resistor,RC0201FR-0786K6L,resistors\0201_0603Metric,86.6k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,RES SMD 86.6K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Yageo,,,
Resistor,RMCF0201FT37K4,resistors\0201_0603Metric,37.4k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RES 37.4K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Stackpole Electronics Inc,,,
Resistor,RC0201FR-0723K7L,resistors\0201_0603Metric,23.7k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,RES SMD 23.7K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Yageo,,,
Resistor,AC0201FR-0764K9L,resistors\0201_0603Metric,64.9k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_7.pdf,RES SMD 64.9K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 155°C,,Yageo,,,
Resistor,ERJ-1GNF4533C,resistors\0201_0603Metric,453k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 453K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
Resistor,ERJ-1GNF3741C,resistors\0201_0603Metric,3.74k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 3.74K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
Resistor,ERJ-1GNF7500C,resistors\0201_0603Metric,750,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 750 OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
Resistor,RC0201FR-072K43L,resistors\0201_0603Metric,2.43k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,RES SMD 2.43K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Yageo,,,
Resistor,RC0201JR-0762KL,resistors\0201_0603Metric,62k,±5%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,RES SMD 62K OHM 5% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Yageo,,,
Resistor,RMCF0201JT1K60,resistors\0201_0603Metric,1.6k,±5%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.seielect.com/catalog/sei-packaging.pdf,RES 1.6K OHM 5% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Stackpole Electronics Inc,,,
Resistor,ERJ-1GNF6490C,resistors\0201_0603Metric,649,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 649 OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
Resistor,RC0201JR-0743RL,resistors\0201_0603Metric,43,±5%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,RES SMD 43 OHM 5% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Yageo,,,
Resistor,RK73H1HTTC2740F,resistors\0201_0603Metric,274,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf,RES 274 OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 155°C,,"KOA Speer Electronics, Inc.",,,
Resistor,ERJ-1GNF3012C,resistors\0201_0603Metric,30.1k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 30.1K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
Resistor,RC0201JR-074R3L,resistors\0201_0603Metric,4.3,±5%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,RES SMD 4.3 OHM 5% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,-100/ +350ppm/°C,-55°C ~ 125°C,,Yageo,,,
Resistor,RMCF0201FT2K20,resistors\0201_0603Metric,2.2k,±1%,,"R0201N,R0201L,R0201M",0201 (0603 Metric),R,"0.05W, 1/20W",,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RES 2.2K OHM 1% 1/20W 0201,Surface Mount,0.024 L x 0.012 W (0.60mm x 0.30mm),2,±200ppm/°C,-55°C ~ 125°C,,Stackpole Electronics Inc,,,
