Part Type,Part Number,Schematic Part,Part Value,Type,Absolute Pull Range (APR),Base Resonator,Current - Supply (Max),Frequency,Frequency Stability,Function,Output,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Oscillator,ASDM1-32.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,32MHz,XO (Standard),,MEMS,10mA,32MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 32.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-64.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,64MHz,XO (Standard),,MEMS,10mA,64MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 64.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-10.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,10MHz,XO (Standard),,MEMS,10mA,10MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 10.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-7.3728MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,7.3728MHz,XO (Standard),,MEMS,10mA,7.3728MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 7.3728MHZ LVCMOS SMD,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-33.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,33MHz,XO (Standard),,MEMS,10mA,33MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 33.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-11.0592MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,11.0592MHz,XO (Standard),,MEMS,10mA,11.0592MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 11.0592MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-4.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,4MHz,XO (Standard),,MEMS,10mA,4MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 4.0000MHZ LVCMOS SMD,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-12.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,12MHz,XO (Standard),,MEMS,10mA,12MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 12.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-1.8432MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,1.8432MHz,XO (Standard),,MEMS,10mA,1.8432MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 1.8432MHZ LVCMOS SMD,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-16.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,16MHz,XO (Standard),,MEMS,10mA,16MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 16.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
